項目,階層,大分類,中分類,小分類,中間計,符号,項目名,都平均／実数（円）,都平均／対前年同月増加率（％）,35歳未満（円）,35～39歳（円）,40～44歳（円）,45～49歳（円）,50～54歳（円）,55～59歳（円）,60～64歳（円）,65歳以上（円）,（再掲）75歳以上（円）
0,0,0,0,0,0,0,世帯数分布,10000,-,460,506,968,845,789,889,1015,4527,2257
0,0,0,0,0,0,0,調査世帯数,712,-,32,35,71,60,57,59,73,325,167
0,0,0,0,0,0,0,世帯人員,2.9,-,2.94,3.83,3.65,3.62,3.39,3.28,2.88,2.35,2.28
0,0,0,0,0,0,0,有業人員,1.31,-,1.55,1.41,1.61,1.79,1.76,2.06,1.8,0.79,0.57
0,0,0,0,0,0,0,世帯主平均年齢,60.8,-,31.1,36.9,42,47.1,52,56.8,61.8,75.2,81.2
2,2,0,0,0,0,0,生計支出,360867,1.7,315525,403892,427078,431459,388545,409777,363458,318307,291484
2,3,0,0,0,102-981,0,消費支出,360867,1.7,315525,403892,427078,431459,388545,409777,363458,318307,291484
2,4,1,0,0,"102-399,　39A,　39B,　39X,　39Y",0,食料,116711,5.8,85032,116566,105992,125162,106314,121267,136743,117087,108865
2,5,1,1,0,102-160,0,穀類,8082,7.2,5260,9084,7134,8074,7944,7641,9267,8307,8043
2,6,1,1,1,102,0,米類,1906,11.5,971,2507,1488,1771,1765,1525,1383,2265,2361
2,7,1,1,1,102,102,米,1906,11.5,971,2507,1488,1771,1765,1525,1383,2265,2361
2,6,1,1,2,"120,　129",0,パン,3026,6.5,2398,3791,3137,3261,3750,3201,3849,2591,2362
2,7,1,1,2,"120,　129",120,食パン,880,8,619,954,776,793,1104,1005,966,853,809
2,7,1,1,2,"120,　129",129,他のパン,2146,5.9,1779,2837,2361,2468,2646,2196,2883,1739,1553
2,6,1,1,3,130-139,0,麺類,1663,-1.8,1350,1915,1523,1985,1536,1870,1860,1574,1466
2,7,1,1,3,130-139,130,生うどん・そば,417,-3.5,308,452,301,363,281,447,487,461,459
2,7,1,1,3,130-139,131,乾うどん・そば,177,-23,106,113,107,220,132,161,88,230,222
2,7,1,1,3,130-139,134,スパゲッティ,119,0.8,124,243,88,198,144,166,135,80,64
2,7,1,1,3,130-139,133,中華麺,308,-0.6,156,436,293,425,270,328,323,290,280
2,7,1,1,3,130-139,135,カップ麺,371,11.7,506,437,453,505,401,439,523,256,227
2,7,1,1,3,130-139,132,即席麺,164,-2.4,96,143,155,152,229,236,168,151,122
2,7,1,1,3,130-139,139,他の麺類,106,1.9,55,92,125,122,79,93,136,107,92
