実数・増加率,年次・四半期・月次コード,年次・四半期・月次,西暦（年）,月,調査世帯数（世帯）,世帯人員（人）,有業人員（人）,世帯主平均年齢（歳）,実収入（円）,実収入／経常収入（円）,実収入／経常収入／勤め先収入（円）,実収入／経常収入／勤め先収入／世帯主の定期収入（円）,実収入／経常収入／勤め先収入／世帯主の臨時収入・賞与（円）,実収入／経常収入／勤め先収入／配偶者・他の世帯員収入（円）,実収入／経常収入／事業・内職収入（円）,実収入／経常収入／他の経常収入（円）,実収入／特別収入（円）,実収入以外の受取(繰入金を除く)（円）,繰入金（円）,可処分所得（円）,貯蓄純増（円）,平均消費性向（％）,実支出（円）,実支出／生計支出（円）,実支出／生計支出／消費支出（円）,実支出／生計支出／消費支出／食料（円）,実支出／生計支出／消費支出／住居（円）,実支出／生計支出／消費支出／光熱・水道（円）,実支出／生計支出／消費支出／家具・家事用品（円）,実支出／生計支出／消費支出／被服及び履物（円）,実支出／生計支出／消費支出／保健医療（円）,実支出／生計支出／消費支出／交通・通信（円）,実支出／生計支出／消費支出／教育（円）,実支出／生計支出／消費支出／教養娯楽（円）,実支出／生計支出／消費支出／その他の消費支出（円）,実支出／生計支出／土地家屋購入（円）,実支出／その他の実支出（円）,実支出以外の支払(繰越金を除く)（円）,繰越金（円）
jissu,nen,実数_平成25年平均,2013,,384,3.37,1.64,47.1,578628,570606,549846,408351,74067,67428,2811,17949,8022,473520,76044,465083,72068,78.2,500147,386602,363721,83196,33120,22869,11908,18206,14311,47836,27464,40441,64369,22881,113545,564863,63181
jissu,nen,実数_平成26年平均,2014,,361,3.35,1.62,48.4,585636,576120,553922,414967,79231,59724,4654,17544,9516,446197,74365,465913,90951,75.8,476753,357031,353261,83860,29430,22907,13005,18629,13153,46330,25194,41353,59400,3770,119723,567144,62301
jissu,nen,実数_平成27年平均,2015,,373,3.31,1.64,48.5,574733,567024,542219,404193,77147,60879,3756,21049,7709,451924,75434,459901,86788,77,478111,363280,354241,86581,28009,22241,11957,18319,13403,42397,30224,40164,60946,9039,114831,556590,67390
jissu,nen,実数_平成28年平均,2016,,365,3.38,1.68,48.3,605530,599434,572681,412007,80996,79678,5040,21713,6096,440672,100160,483888,112360,73.7,480773,359130,356829,88441,26752,19634,12297,18337,13802,39450,34188,41175,62752,2301,121642,573961,91629
jissu,sihan,実数_平成27年10～12月,2015,10～12,376,3.3,1.61,48.5,659511,651195,619982,401489,147548,70945,2974,28238,8316,422318,77625,535741,167704,64.9,472197,348428,347827,90646,31129,17157,12602,18628,14342,36266,25766,39838,61452,601,123770,610241,77015
jissu,sihan,実数_平成28年1～3月,2016,1～3,367,3.4,1.67,48.1,505638,499130,479677,400820,13122,65735,3931,15522,6508,431265,108375,403909,36517,89,461336,359608,359608,86964,24618,25221,11382,17896,13087,39028,38876,41175,61362,-,101729,488098,95843
jissu,sihan,実数_平成28年4～6月,2016,4～6,368,3.37,1.7,48.3,645760,642965,610620,"417,928","98,760","93,933","5,255","27,090","2,795","465,002","88,820","501,806","123,747",71.9,"505,868","361,914",360702,"87,652","25,459","19,704","11,514","19,318","13,117","38,036","40,202","39,677","66,024","1,212","143,954","614,021","79,693"
jissu,sihan,実数_平成28年7～9月,2016,7～9,365,3.38,1.69,48.5,572862,568023,547678,"409,506","58,597","79,576","5,096","15,249","4,839","420,288","110,800","461,305","104,345",74.7,"462,168","350,611",344574,"87,561","26,053","16,136","12,776","14,819","13,658","39,838","30,071","43,267","60,396","6,037","111,557","540,871","100,912"
jissu,sihan,実数_平成28年10～12月,2016,10～12,359,3.37,1.66,48.4,697862,687618,652747,"419,773","153,507","79,468","5,878","28,993","10,243","446,133","92,646","568,532","184,833",63.7,"493,718","364,388",362432,"91,589","30,880","17,476","13,517","21,316","15,344","40,899","27,604","40,581","63,226","1,955","129,330","652,854","90,068"
jissu,tuki,実数_平成28年2月,2016,2,369,3.42,1.67,48,519169,515943,476757,"403,109","4,460","69,189","2,453","36,733","3,226","423,681","99,589","414,634","46,943",83.3,"449,836","345,302",345302,"84,936","23,918","26,152","9,371","13,578","12,742","35,085","50,850","37,619","51,050",-,"104,535","490,984","101,619"
jissu,tuki,実数_平成28年3月,2016,3,364,3.4,1.67,47.5,519410,515669,507027,"413,006","20,573","73,448","4,284","4,358","3,741","448,488","105,201","411,715","32,212",91.2,"482,995","375,300",375300,"89,831","24,604","25,501","13,779","18,170","13,725","40,210","40,466","42,618","66,396",-,"107,694","492,615",97489
jissu,tuki,実数_平成28年4月,2016,4,366,3.37,1.68,48.1,557320,553329,517875,"429,497","13,247","75,131","4,315","31,138","3,991","496,079","93,948","451,203","26,012",90.1,"512,790","406,673",406673,"87,899","25,528","22,478","10,503","17,899","17,145","44,830","70,542","37,511","72,339",-,"106,117","550,331",84225
jissu,tuki,実数_平成28年5月,2016,5,370,3.36,1.7,48.7,510231,507690,497075,"413,197","4,484","79,394","6,740","3,875","2,541","461,844","87,957","388,696","34,304",91,"475,389","353,854",353854,"92,357","22,090","20,243","14,312","22,651","11,075","38,029","31,106","40,476","61,516",-,"121,535","519,633","65,011"
jissu,tuki,実数_平成28年6月,2016,6,369,3.37,1.71,48.1,869728,867876,816911,"411,089","278,548","127,274","4,709","46,256","1,852","437,084","84,556","665,518","310,924",48.3,"529,425","325,215",321578,"82,699","28,758","16,390","9,728","17,404","11,131","31,249","18,958","41,044","64,216","3,637","204,210","772,099","89,844"
jissu,tuki,実数_平成28年7月,2016,7,373,3.38,1.72,47.9,668423,661293,649038,"409,276","145,767","93,995","5,446","6,809","7,129","430,356","103,120","534,872","169,231",64.8,"498,266","364,715",346604,"89,162","28,191","15,431","14,148","17,856","13,641","38,666","23,814","41,246","64,449","18,111","133,551","612,377","91,257"
jissu,tuki,実数_平成28年8月,2016,8,368,3.39,1.69,48.8,546189,542232,501342,"407,179","16,691","77,473","4,609","36,281","3,958","421,997","116,516","439,897","86,972",78.6,"451,979","345,687",345687,"88,769","25,686","16,629","11,896","12,483","11,975","42,813","24,675","50,499","60,262",-,"106,292","527,828",104895
jissu,tuki,実数_平成28年9月,2016,9,354,3.38,1.66,48.7,503975,500544,492654,"412,063","13,332","67,259","5,232","2,658","3,430","408,512","112,764","409,147","56,831",83.4,"436,260","341,432",341432,"84,752","24,281","16,348","12,284","14,118","15,357","38,035","41,724","38,056","56,478",-,"94,828","482,407",106583
jissu,tuki,実数_平成28年10月,2016,10,359,3.37,1.68,48.6,554506,550650,489250,"419,618","6,053","63,580","6,919","54,482","3,855","438,745","114,201","454,183","82,335",76.7,"448,581","348,258",348258,"88,580","26,019","16,510","11,863","22,627","15,997","42,869","34,047","37,462","52,284",-,"100,323","553,533",105337
