項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,夫婦のみの世帯／実数（円）,夫婦のみの世帯／構成比（％）,夫婦と未婚の子供から成る世帯／実数（円）,夫婦と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／実数（円）,一人親と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／実数（円）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／構成比（％）,その他／実数（円）,その他／構成比（％）,（再掲）夫婦共働き世帯／実数（円）,（再掲）夫婦共働き世帯／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,3832,-,4600,-,741,-,84,-,827,-,3098,-
0,0,0,0,0,調査世帯数,712,-,274,-,326,-,52,-,6,-,60,-,220,-
0,0,0,0,0,世帯人員,2.9,-,2,-,3.63,-,2.28,-,2.11,-,3.62,-,3.33,-
0,0,0,0,0,有業人員,1.31,-,0.72,-,1.77,-,1.23,-,1,-,1.56,-,2.28,-
0,0,0,0,0,世帯主平均年齢,60.8,-,69.6,-,52.7,-,67,-,38.2,-,59.7,-,51.5,-
2,2,0,0,0,生計支出,360867,-,330705,-,405789,-,263566,-,261432,-,337964,-,419904,-
2,3,0,0,0,消費支出,360867,100,330705,100,405789,100,263566,100,261432,100,337964,100,419904,100
2,4,1,0,0,食料,104727,29,99067,30,112703,27.8,79222,30.1,69468,26.6,109452,32.4,113284,27
2,5,1,1,0,穀類,7734,2.1,6847,2.1,8703,2.1,5508,2.1,4942,1.9,8454,2.5,7710,1.8
2,6,1,1,1,米類,1847,0.5,1655,0.5,2002,0.5,1224,0.5,854,0.3,2431,0.7,1459,0.3
2,6,1,1,2,パン,2960,0.8,2456,0.7,3531,0.9,2292,0.9,2157,0.8,2716,0.8,3352,0.8
2,6,1,1,3,麺類,1587,0.4,1293,0.4,1920,0.5,1003,0.4,1068,0.4,1618,0.5,1653,0.4
2,6,1,1,4,他の穀類,1341,0.4,1443,0.4,1250,0.3,989,0.4,862,0.3,1689,0.5,1246,0.3
2,5,1,2,0,魚介類,10580,2.9,11593,3.5,9688,2.4,9826,3.7,2895,1.1,11523,3.4,8849,2.1
2,6,1,2,1,生鮮魚介,5573,1.5,6081,1.8,5393,1.3,4869,1.8,1211,0.5,4852,1.4,4987,1.2
2,6,1,2,2,塩干魚介,1549,0.4,1642,0.5,1409,0.3,1727,0.7,602,0.2,1734,0.5,1161,0.3
2,6,1,2,3,魚肉練製品,1678,0.5,1935,0.6,1357,0.3,1536,0.6,785,0.3,2399,0.7,1260,0.3
2,6,1,2,4,他の魚介加工品,1780,0.5,1936,0.6,1529,0.4,1695,0.6,297,0.1,2538,0.8,1441,0.3
2,5,1,3,0,肉類,9756,2.7,8355,2.5,11372,2.8,7373,2.8,4439,1.7,9393,2.8,10862,2.6
2,6,1,3,1,生鮮肉,8139,2.3,6918,2.1,9580,2.4,6198,2.4,3523,1.3,7524,2.2,9142,2.2
2,6,1,3,2,加工肉,1617,0.4,1437,0.4,1792,0.4,1175,0.4,916,0.4,1869,0.6,1721,0.4
2,5,1,4,0,乳卵類,4621,1.3,4268,1.3,4991,1.2,3539,1.3,2234,0.9,5169,1.5,4785,1.1
2,6,1,4,1,牛乳,1428,0.4,1403,0.4,1422,0.4,1187,0.5,1073,0.4,1790,0.5,1460,0.3
2,6,1,4,2,乳製品,2348,0.7,2116,0.6,2627,0.6,1629,0.6,501,0.2,2517,0.7,2418,0.6
2,6,1,4,3,卵,845,0.2,749,0.2,942,0.2,723,0.3,660,0.3,862,0.3,907,0.2
2,5,1,5,0,野菜・海藻,12236,3.4,12601,3.8,11744,2.9,10602,4,4504,1.7,14750,4.4,11051,2.6
2,6,1,5,1,生鮮野菜,8296,2.3,8426,2.5,8178,2,7069,2.7,2876,1.1,9455,2.8,7810,1.9
2,6,1,5,2,乾物・海藻,1197,0.3,1229,0.4,1059,0.3,1079,0.4,192,0.1,1920,0.6,931,0.2
2,6,1,5,3,大豆加工品,1186,0.3,1221,0.4,1122,0.3,1200,0.5,837,0.3,1364,0.4,1062,0.3
2,6,1,5,4,他の野菜・海藻加工品,1557,0.4,1724,0.5,1386,0.3,1254,0.5,600,0.2,2011,0.6,1247,0.3
2,5,1,6,0,果物,3847,1.1,4470,1.4,3397,0.8,3211,1.2,2601,1,4036,1.2,3325,0.8
