項目,階層,大分類,中分類,小分類,中間計,符号,項目名,都平均／実数（円）,都平均／対前年同月増加率（％）,35歳未満（円）,35～39歳（円）,40～44歳（円）,45～49歳（円）,50～54歳（円）,55～59歳（円）,60～64歳（円）,65歳以上（円）,（再掲）75歳以上（円）
0,0,0,0,0,0,0,世帯数分布,10000,-,471,424,993,803,915,894,1021,4478,2289
0,0,0,0,0,0,0,調査世帯数,709,-,32,29,73,57,64,59,74,321,168
0,0,0,0,0,0,0,世帯人員,2.94,-,2.9,3.89,3.67,3.78,3.52,3.32,2.87,2.37,2.27
0,0,0,0,0,0,0,有業人員,1.31,-,1.54,1.42,1.54,1.75,1.71,1.99,1.86,0.81,0.61
0,0,0,0,0,0,0,世帯主平均年齢,60.9,-,31.3,37,42.1,46.9,52.1,56.9,61.8,75.3,81.1
2,2,0,0,0,0,0,生計支出,299426,-5.1,290425,310658,303270,352539,315028,353153,390607,254230,237142
2,3,0,0,0,102-981,0,消費支出,299426,-4.3,290425,310658,303270,352539,315028,353153,390607,254230,237142
2,4,1,0,0,"102-399,　39A,　39B,　39X,　39Y",0,食料,89954,4.5,79911,86750,90480,98909,82866,100259,105390,85465,79033
2,5,1,1,0,102-160,0,穀類,6450,8.8,5483,7596,6577,6546,8543,6729,7366,5706,5188
2,6,1,1,1,102,0,米類,1752,13.8,906,1574,1765,1524,3061,1685,1742,1644,1518
2,7,1,1,1,102,102,米,1752,13.8,906,1574,1765,1524,3061,1685,1742,1644,1518
2,6,1,1,2,"120,　129",0,パン,2824,6.2,2554,3894,2897,2802,3686,3315,3394,2335,2113
2,7,1,1,2,"120,　129",120,食パン,851,5.6,582,1208,747,629,1057,899,1165,785,810
2,7,1,1,2,"120,　129",129,他のパン,1973,6.5,1972,2686,2149,2172,2629,2417,2230,1550,1302
2,6,1,1,3,130-139,0,麺類,1356,9,1590,1480,1437,1772,1284,1266,1451,1237,1145
2,7,1,1,3,130-139,130,生うどん・そば,270,-4.9,279,258,262,209,229,263,306,283,267
2,7,1,1,3,130-139,131,乾うどん・そば,118,-7.8,53,64,63,192,85,88,104,145,164
2,7,1,1,3,130-139,134,スパゲッティ,118,18,183,207,170,226,84,110,137,75,60
2,7,1,1,3,130-139,133,中華麺,257,-0.4,226,282,319,327,210,200,299,243,229
2,7,1,1,3,130-139,135,カップ麺,337,35.3,380,316,370,536,399,375,351,268,215
2,7,1,1,3,130-139,132,即席麺,153,15.9,146,277,177,145,165,124,136,146,147
2,7,1,1,3,130-139,139,他の麺類,103,12,322,75,75,137,112,106,118,77,63
2,6,1,1,4,140-160,0,他の穀類,518,6.6,433,648,478,449,513,463,778,490,412
2,7,1,1,4,140-160,140,小麦粉,47,9.3,22,80,77,64,44,58,34,39,36
2,7,1,1,4,140-160,150,もち,208,23.1,121,148,111,175,97,155,324,257,220
2,7,1,1,4,140-160,160,他の穀類のその他,263,-4,290,421,290,210,372,250,420,194,156
2,5,1,2,0,170-217,0,魚介類,6712,-0.6,2717,4155,3837,5752,4234,6234,8283,8429,8678
2,6,1,2,1,170-194,0,生鮮魚介,3640,-6.7,1599,2145,2375,3400,2593,3143,4709,4390,4254
2,7,1,2,1,170-189,0,鮮魚,3282,-5.9,1452,1985,2159,3133,2417,2828,4155,3941,3880
2,7,1,2,1,170-189,170,まぐろ,660,5.4,145,324,223,647,664,619,956,785,826
2,7,1,2,1,170-189,172,あじ,121,21,61,66,83,85,79,51,188,155,121
2,7,1,2,1,170-189,173,いわし,44,69.2,-,7,16,25,53,37,41,62,45
2,7,1,2,1,170-189,174,かつお,59,-16.9,33,18,3,34,35,116,47,79,78
2,7,1,2,1,170-189,175,かれい,80,-35,-,10,18,53,42,48,100,124,101
2,7,1,2,1,170-189,176,さけ,371,-14.3,238,274,317,558,265,403,338,395,369
2,7,1,2,1,170-189,177,さば,83,2.5,55,80,82,70,62,64,96,94,74
2,7,1,2,1,170-189,178,さんま,90,-24.4,40,70,48,56,73,70,108,117,85
