項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,35歳未満／実数（円）,35歳未満／構成比（％）,35～39歳／実数（円）,35～39歳／構成比（％）,40～44歳／実数（円）,40～44歳／構成比（％）,45～49歳／実数（円）,45～49歳／構成比（％）,50～54歳／実数（円）,50～54歳／構成比（％）,55～59歳／実数（円）,55～59歳／構成比（％）,60～64歳／実数（円）,60～64歳／構成比（％）,65歳以上／実数（円）,65歳以上／構成比（％）,（再掲）75歳以上／実数（円）,（再掲）75歳以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,460,-,506,-,968,-,845,-,789,-,889,-,1015,-,4527,-,2257,-
0,0,0,0,0,調査世帯数,712,-,32,-,35,-,71,-,60,-,57,-,59,-,73,-,325,-,167,-
0,0,0,0,0,世帯人員,2.9,-,2.94,-,3.83,-,3.65,-,3.62,-,3.39,-,3.28,-,2.88,-,2.35,-,2.28,-
0,0,0,0,0,有業人員,1.31,-,1.55,-,1.41,-,1.61,-,1.79,-,1.76,-,2.06,-,1.8,-,0.79,-,0.57,-
0,0,0,0,0,世帯主平均年齢,60.8,-,31.1,-,36.9,-,42,-,47.1,-,52,-,56.8,-,61.8,-,75.2,-,81.2,-
2,2,0,0,0,生計支出,360867,-,315525,-,403892,-,427078,-,431459,-,388545,-,409777,-,363458,-,318307,-,291484,-
2,3,0,0,0,消費支出,360867,100,315525,100,403892,100,427078,100,431459,100,388545,100,409777,100,363458,100,318307,100,291484,100
2,4,1,0,0,食料,104727,29,81984,26,108376,26.8,101265,23.7,116150,26.9,100478,25.9,111712,27.3,119600,32.9,101273,31.8,94770,32.5
2,5,1,1,0,穀類,7734,2.1,5260,1.7,8812,2.2,7123,1.7,7776,1.8,7933,2,7506,1.8,8966,2.5,7722,2.4,7517,2.6
2,6,1,1,1,米類,1847,0.5,971,0.3,2507,0.6,1488,0.3,1771,0.4,1765,0.5,1421,0.3,1383,0.4,2155,0.7,2305,0.8
2,6,1,1,2,パン,2960,0.8,2398,0.8,3519,0.9,3133,0.7,3164,0.7,3750,1,3201,0.8,3730,1,2521,0.8,2250,0.8
2,6,1,1,3,麺類,1587,0.4,1350,0.4,1915,0.5,1523,0.4,1795,0.4,1526,0.4,1839,0.4,1790,0.5,1465,0.5,1357,0.5
2,6,1,1,4,他の穀類,1341,0.4,540,0.2,871,0.2,979,0.2,1046,0.2,893,0.2,1045,0.3,2063,0.6,1582,0.5,1605,0.6
2,5,1,2,0,魚介類,10580,2.9,3851,1.2,5409,1.3,5784,1.4,7894,1.8,6659,1.7,8088,2,13768,3.8,13827,4.3,13656,4.7
2,6,1,2,1,生鮮魚介,5573,1.5,2340,0.7,3093,0.8,3129,0.7,4831,1.1,3713,1,3806,0.9,7429,2,7095,2.2,6938,2.4
2,6,1,2,2,塩干魚介,1549,0.4,459,0.1,889,0.2,798,0.2,903,0.2,893,0.2,1244,0.3,2016,0.6,2084,0.7,2200,0.8
2,6,1,2,3,魚肉練製品,1678,0.5,534,0.2,723,0.2,960,0.2,980,0.2,919,0.2,1620,0.4,2384,0.7,2170,0.7,2147,0.7
2,6,1,2,4,他の魚介加工品,1780,0.5,518,0.2,705,0.2,896,0.2,1179,0.3,1135,0.3,1419,0.3,1939,0.5,2478,0.8,2371,0.8
2,5,1,3,0,肉類,9756,2.7,5177,1.6,8844,2.2,8175,1.9,13293,3.1,10689,2.8,10125,2.5,11522,3.2,9370,2.9,8004,2.7
2,6,1,3,1,生鮮肉,8139,2.3,3991,1.3,7244,1.8,6553,1.5,11484,2.7,9110,2.3,8317,2,9656,2.7,7832,2.5,6585,2.3
2,6,1,3,2,加工肉,1617,0.4,1187,0.4,1601,0.4,1622,0.4,1809,0.4,1578,0.4,1808,0.4,1866,0.5,1538,0.5,1419,0.5
2,5,1,4,0,乳卵類,4621,1.3,4097,1.3,5557,1.4,4210,1,4761,1.1,4545,1.2,4508,1.1,5401,1.5,4491,1.4,4397,1.5
2,6,1,4,1,牛乳,1428,0.4,1124,0.4,1427,0.4,1416,0.3,1382,0.3,1256,0.3,1312,0.3,1757,0.5,1449,0.5,1653,0.6
2,6,1,4,2,乳製品,2348,0.7,2391,0.8,3276,0.8,2043,0.5,2474,0.6,2404,0.6,2383,0.6,2781,0.8,2168,0.7,1895,0.7
2,6,1,4,3,卵,845,0.2,582,0.2,854,0.2,752,0.2,906,0.2,886,0.2,814,0.2,863,0.2,874,0.3,849,0.3
2,5,1,5,0,野菜・海藻,12236,3.4,6135,1.9,8145,2,7912,1.9,10033,2.3,8994,2.3,12516,3.1,14285,3.9,14700,4.6,14612,5
2,6,1,5,1,生鮮野菜,8296,2.3,4625,1.5,5891,1.5,5614,1.3,7281,1.7,6387,1.6,9107,2.2,9473,2.6,9611,3,9319,3.2
2,6,1,5,2,乾物・海藻,1197,0.3,280,0.1,562,0.1,689,0.2,896,0.2,801,0.2,743,0.2,1283,0.4,1665,0.5,1910,0.7
2,6,1,5,3,大豆加工品,1186,0.3,737,0.2,842,0.2,793,0.2,1013,0.2,864,0.2,1094,0.3,1454,0.4,1400,0.4,1373,0.5
2,6,1,5,4,他の野菜・海藻加工品,1557,0.4,493,0.2,849,0.2,815,0.2,842,0.2,942,0.2,1573,0.4,2074,0.6,2025,0.6,2010,0.7
2,5,1,6,0,果物,3847,1.1,2007,0.6,2662,0.7,2931,0.7,2178,0.5,2868,0.7,3216,0.8,3939,1.1,4948,1.6,5305,1.8
2,6,1,6,1,生鮮果物,3327,0.9,1921,0.6,2398,0.6,2547,0.6,1832,0.4,2588,0.7,2684,0.7,3195,0.9,4305,1.4,4619,1.6
2,6,1,6,2,果物加工品,520,0.1,86,0,264,0.1,384,0.1,346,0.1,281,0.1,532,0.1,743,0.2,643,0.2,687,0.2
2,5,1,7,0,油脂・調味料,4384,1.2,3430,1.1,4760,1.2,3968,0.9,4412,1,4074,1,4755,1.2,4994,1.4,4367,1.4,4158,1.4
2,6,1,7,1,油脂,440,0.1,231,0.1,690,0.2,445,0.1,346,0.1,542,0.1,430,0.1,454,0.1,431,0.1,412,0.1
2,6,1,7,2,調味料,3944,1.1,3199,1,4070,1,3523,0.8,4065,0.9,3531,0.9,4325,1.1,4540,1.2,3936,1.2,3746,1.3
2,5,1,8,0,菓子類,7379,2,7930,2.5,10128,2.5,9589,2.2,9047,2.1,7304,1.9,8443,2.1,7953,2.2,5907,1.9,5198,1.8
2,5,1,9,0,調理食品,16015,4.4,11842,3.8,12876,3.2,12169,2.8,16619,3.9,16439,4.2,17837,4.4,18201,5,16578,5.2,16659,5.7
2,6,1,9,1,主食的調理食品,5382,1.5,5282,1.7,4845,1.2,4533,1.1,5353,1.2,6291,1.6,6113,1.5,6534,1.8,5080,1.6,4753,1.6
2,6,1,9,2,他の調理食品,10632,2.9,6561,2.1,8031,2,7635,1.8,11266,2.6,10149,2.6,11724,2.9,11667,3.2,11498,3.6,11906,4.1
2,5,1,10,0,飲料,4645,1.3,4086,1.3,5384,1.3,4364,1,5083,1.2,4835,1.2,5411,1.3,5975,1.6,4115,1.3,3519,1.2
2,6,1,10,1,茶類,1196,0.3,1070,0.3,1126,0.3,868,0.2,954,0.2,1248,0.3,1075,0.3,1787,0.5,1214,0.4,1330,0.5
2,6,1,10,2,コーヒー・ココア,1054,0.3,757,0.2,1400,0.3,710,0.2,1285,0.3,1183,0.3,1445,0.4,1409,0.4,897,0.3,632,0.2
2,6,1,10,3,他の飲料,2395,0.7,2259,0.7,2857,0.7,2786,0.7,2844,0.7,2405,0.6,2891,0.7,2779,0.8,2004,0.6,1557,0.5
2,5,1,11,0,酒類,4507,1.2,2231,0.7,2280,0.6,4603,1.1,5772,1.3,5673,1.5,3709,0.9,4978,1.4,4578,1.4,3734,1.3
2,5,1,12,0,外食,19024,5.3,25937,8.2,33518,8.3,30436,7.1,29283,6.8,20464,5.3,25597,6.2,19618,5.4,10669,3.4,8010,2.7
2,6,1,12,1,一般外食,18242,5.1,25560,8.1,31305,7.8,26991,6.3,26580,6.2,19788,5.1,25509,6.2,19371,5.3,10660,3.3,7991,2.7
2,6,1,12,2,学校給食,782,0.2,377,0.1,2213,0.5,3445,0.8,2703,0.6,677,0.2,88,0,247,0.1,9,0,19,0
2,4,2,0,0,住居,20116,5.6,33861,10.7,36592,9.1,21547,5,18939,4.4,21599,5.6,23658,5.8,6916,1.9,18795,5.9,22360,7.7
2,5,2,1,0,家賃地代,13714,3.8,32278,10.2,36044,8.9,20398,4.8,18224,4.2,17465,4.5,15244,3.7,4699,1.3,8126,2.6,6331,2.2
2,5,2,2,0,設備修繕・維持,6402,1.8,1583,0.5,548,0.1,1149,0.3,715,0.2,4134,1.1,8414,2.1,2217,0.6,10669,3.4,16029,5.5
2,6,2,2,1,設備材料,1537,0.4,41,0,113,0,111,0,418,0.1,80,0,7049,1.7,796,0.2,1698,0.5,1583,0.5
2,6,2,2,2,工事その他のサービス,4865,1.3,1541,0.5,435,0.1,1037,0.2,297,0.1,4054,1,1365,0.3,1421,0.4,8971,2.8,14446,5
2,4,3,0,0,光熱・水道,22262,6.2,19405,6.2,19997,5,19657,4.6,19981,4.6,23238,6,23815,5.8,22884,6.3,23174,7.3,23858,8.2
2,5,3,1,0,電気代,9921,2.7,7854,2.5,9333,2.3,9198,2.2,9390,2.2,9853,2.5,10179,2.5,10012,2.8,10391,3.3,10827,3.7
