実数・増加率,年次・四半期・月次コード,年次・四半期・月次,西暦（年）,月,調査世帯数（世帯）,世帯人員（人）,有業人員（人）,世帯主平均年齢（歳）,実収入（円）,実収入／経常収入（円）,実収入／経常収入／勤め先収入（円）,実収入／経常収入／勤め先収入／世帯主の配偶者の収入（円）,実収入／経常収入／勤め先収入／他の世帯員収入（円）,実収入／経常収入／事業・内職収入（円）,実収入／経常収入／他の経常収入（円）,実収入／経常収入／他の経常収入／社会保障給付（円）,実収入／特別収入（円）,可処分所得（円）,消費支出（円）,消費支出／食料（円）,消費支出／住居（円）,消費支出／光熱・水道（円）,消費支出／家具・家事用品（円）,消費支出／被服及び履物（円）,消費支出／保健医療（円）,消費支出／交通・通信（円）,消費支出／教育（円）,消費支出／教養娯楽（円）,消費支出／その他の消費支出（円）
jissu,nen,実数_平成25年平均,2013,,238,2.42,0.42,73.2,192310,184314,18617,5420,13198,6886,158810,155120,7996,158608,281130,73278,25174,23374,10359,8865,18574,24016,1158,32610,63723
jissu,nen,実数_平成26年平均,2014,,245,2.39,0.43,73.3,183975,179279,18046,3308,14738,8226,153008,146170,4696,152488,269469,74216,20647,23168,10169,8259,17970,24596,716,32668,57060
jissu,nen,実数_平成27年平均,2015,,237,2.39,0.44,74.1,181141,176763,17846,6148,11698,9890,149027,144132,4379,146876,276745,76515,21571,23275,9805,9034,17496,26249,3175,33255,56370
jissu,nen,実数_平成28年平均,2016,,237,2.4,0.46,73.9,179109,171438,15929,6291,9638,9608,145901,138199,7671,150720,251346,76545,20332,20214,9177,8156,14825,20442,639,28800,52217
jissu,sihan,実数_平成28年1～3月,2016,1～3,222,2.37,0.49,74.1,129663,124465,14334,6244,8090,6542,103590,96743,5198,110902,246537,72203,20354,26704,8246,7413,14899,18338,739,28042,49601
jissu,sihan,実数_平成28年4～6月,2016,4～6,238,2.45,0.5,74.2,222735,216338,15130,4749,10381,8585,192624,183039,6396,185080,241205,76629,18203,20599,8030,8077,12710,19721,772,29554,46910
jissu,sihan,実数_平成28年7～9月,2016,7～9,245,2.42,0.46,73.7,146863,135899,20413,6884,13530,10135,105350,94019,10964,119377,247918,75497,17315,16158,10682,7691,16925,20017,139,26868,56628
jissu,sihan,実数_平成28年10～12月,2016,10～12,241,2.35,0.38,73.8,217174,209050,13839,7285,6553,13169,182042,178993,8124,187519,269724,81850,25456,17393,9752,9443,14765,23693,907,30736,55729
jissu,sihan,実数_平成29年1～3月,2017,1～3,241,2.33,0.4,74.4,128201,124410,12408,4921,7487,8257,103744,100707,3791,103759,245881,71003,14529,25191,7732,8726,15221,21278,239,24766,57195
jissu,tuki,実数_平成28年3月,2016,3,231,2.39,0.5,73.8,40843,35050,13146,4450,8697,6108,15796,7967,5793,31091,259697,76717,19094,26930,8140,7410,16732,19810,352,32842,51671
jissu,tuki,実数_平成28年4月,2016,4,242,2.41,0.51,74.2,304961,298449,14140,5322,8818,8555,275754,267354,6512,279603,235200,74860,13805,25077,7321,7460,12360,16959,1939,28310,47108
jissu,tuki,実数_平成28年5月,2016,5,237,2.46,0.51,74.3,47242,41188,19238,5319,13919,5348,16602,8693,6054,17911,250090,80510,16726,18591,7895,8553,12742,23788,76,32794,48415
jissu,tuki,実数_平成28年6月,2016,6,234,2.49,0.48,74,316001,309378,12011,3606,8405,11851,285516,273071,6623,257725,238324,74517,24078,18130,8874,8217,13027,18416,300,27558,45207
jissu,tuki,実数_平成28年7月,2016,7,241,2.45,0.48,73.6,80606,75041,32175,8266,23909,12524,30341,9582,5565,58417,245638,75531,21605,15072,14204,8524,12452,19535,62,25612,53041
jissu,tuki,実数_平成28年8月,2016,8,247,2.39,0.43,73.9,301854,292982,16112,6711,9401,9642,267228,262959,8872,260341,245835,76766,14996,16910,9993,6152,19934,20223,183,25315,55363
jissu,tuki,実数_平成28年9月,2016,9,246,2.43,0.46,73.5,58128,39673,12953,5674,7280,8239,18481,9515,18455,39374,252282,74193,15343,16491,7849,8396,18390,20292,172,29676,61479
jissu,tuki,実数_平成28年10月,2016,10,243,2.39,0.38,73.7,298665,293271,11897,7223,4674,13908,267465,263792,5394,258280,281339,77122,42465,16614,7400,9472,14460,23647,839,33582,55738
jissu,tuki,実数_平成28年11月,2016,11,243,2.36,0.38,73.8,43464,36529,14083,7413,6670,13208,9238,7006,6935,30859,249122,72328,16255,16529,10229,9015,15050,27068,1330,28621,52696
jissu,tuki,実数_平成28年12月,2016,12,238,2.3,0.39,73.9,309392,297349,15536,7219,8316,12391,269422,266182,12043,273418,278712,96099,17648,19037,11627,9843,14785,20365,551,30006,58752
jissu,tuki,実数_平成29年1月,2017,1,244,2.32,0.39,73.8,28275,24634,9310,2395,6914,5741,9583,6428,3641,12115,249564,69150,16865,24479,5865,10502,15026,19737,427,23097,64416
jissu,tuki,実数_平成29年2月,2017,2,239,2.33,0.37,74.3,319280,316310,11638,5062,6576,13492,291180,288549,2970,275499,226085,69681,12269,26472,7267,7042,14160,19752,231,25936,43275
jissu,tuki,実数_平成29年3月,2017,3,240,2.35,0.43,75,37047,32285,16277,7307,8970,5539,10469,7143,4762,23664,261993,74177,14453,24623,10064,8633,16477,24345,58,25266,63895
meimoku,nen,対前年（同期・同月）名目増加率_平成25年平均,2013,,-,-,-,-,1.6,0.1,0.4,-32.5,25.5,11.1,-0.3,0.2,52.1,-0.5,3,-0.8,9.6,4.1,7,-0.9,1.2,1.5,-64.7,5,8.6
meimoku,nen,対前年（同期・同月）名目増加率_平成26年平均,2014,,-,-,-,-,-4.3,-2.7,-3.1,-39,11.7,19.5,-3.7,-5.8,-41.3,-3.9,-4.1,1.3,-18,-0.9,-1.8,-6.8,-3.3,2.4,-38.2,0.2,-10.5
meimoku,nen,対前年（同期・同月）名目増加率_平成27年平均,2015,,-,-,-,-,-1.5,-1.4,-1.1,85.9,-20.6,20.2,-2.6,-1.4,-6.8,-3.7,2.7,3.1,4.5,0.5,-3.6,9.4,-2.6,6.7,343.4,1.8,-1.2
meimoku,nen,対前年（同期・同月）名目増加率_平成28年平均,2016,,-,-,-,-,-1.1,-3,-10.7,2.3,-17.6,-2.9,-2.1,-4.1,75.2,2.6,-9.2,0,-5.7,-13.2,-6.4,-9.7,-15.3,-22.1,-79.9,-13.4,-7.4
meimoku,sihan,対前年（同期・同月）名目増加率_平成28年1～3月,2016,1～3,-,-,-,-,8.2,8,12.1,83,-13.7,-10.1,8.8,4.7,15.2,22.2,-11.1,2.1,-12.8,-17.6,10.1,7.6,-8,-42.9,...,-15,-10.3
meimoku,sihan,対前年（同期・同月）名目増加率_平成28年4～6月,2016,4～6,-,-,-,-,-1.6,-2.9,2.7,37.5,-8,-13.5,-2.7,-4.8,79.4,4.6,-13.3,1.8,-14.5,-10.5,-21.6,-14.6,-9.6,-25.5,-90.6,-18.5,-12.8
meimoku,sihan,対前年（同期・同月）名目増加率_平成28年7～9月,2016,7～9,-,-,-,-,-1.6,-6.1,9.7,12.6,8.2,-31.4,-5.4,-10.3,140,-0.6,-5.1,-1.5,2.5,-16.1,8,-16.5,-8.3,-8.8,-92.6,-10.1,-1.2
meimoku,sihan,対前年（同期・同月）名目増加率_平成28年10～12月,2016,10～12,-,-,-,-,-5.3,-6.8,-45.2,-37.3,-51.9,73.6,-5,-4.3,66.9,-6.1,-7,-1.9,2.8,-5.4,-16,-10.7,-30.6,-3.2,-64.7,-9.2,-5.7
meimoku,sihan,対前年（同期・同月）名目増加率_平成29年1～3月,2017,1～3,-,-,-,-,-1.1,0,-13.4,-21.2,-7.5,26.2,0.1,4.1,-27.1,-6.4,-0.3,-1.7,-28.6,-5.7,-6.2,17.7,2.2,16,-67.7,-11.7,15.3
meimoku,tuki,対前年（同期・同月）名目増加率_平成28年3月,2016,3,-,-,-,-,4.6,4.1,-0.3,24.3,-9.5,-22.8,25.7,-5,7.8,485.3,-9,0,-33.5,-13.5,-7.9,21,-7.7,-15.6,517.5,-13.9,-4.3
meimoku,tuki,対前年（同期・同月）名目増加率_平成28年4月,2016,4,-,-,-,-,-0.3,-1.2,11.3,178.2,-18.2,-24.4,-0.8,-2.3,73.2,2.2,-16.1,-0.7,-35.3,-10.1,33.8,-23.2,-4.8,-11.3,-91.4,-17.7,-8.5
meimoku,tuki,対前年（同期・同月）名目増加率_平成28年5月,2016,5,-,-,-,-,18.2,8.5,32.8,28.6,34.5,-28.7,3.9,-14.9,201.5,-3.7,-7.9,5.6,9.1,-15.4,-47.3,-10.1,4.8,6.9,-96.2,-25.8,-8.6
meimoku,tuki,対前年（同期・同月）名目増加率_平成28年6月,2016,6,-,-,-,-,-5.1,-5.7,-29.4,-16.4,-33.8,8.1,-4.9,-6.8,34.4,7.9,-15.6,0.3,-11.3,-5.5,-13.4,-10.1,-23.5,-51.6,275,-8.7,-20.7
meimoku,tuki,対前年（同期・同月）名目増加率_平成28年7月,2016,7,-,-,-,-,51.1,55.1,87.9,67.9,96,10,52.7,21.7,12.2,130.3,-4.4,-1.1,36.4,-17.8,48,-21.1,-32.6,-8.6,-57.8,-10.8,-7.3
meimoku,tuki,対前年（同期・同月）名目増加率_平成28年8月,2016,8,-,-,-,-,-11,-12.5,-8.1,18.9,-20.8,-48.9,-10.5,-10.5,114.4,-13.2,-7.6,-0.8,-2.1,-16.9,-8.5,-7.4,-8.6,-0.5,-71.9,-18,-10.4
meimoku,tuki,対前年（同期・同月）名目増加率_平成28年9月,2016,9,-,-,-,-,5,-21.8,-38.9,-26.9,-45.8,-41.4,19.4,-23.9,300.5,12.5,-3.4,-2.6,-21.4,-13.5,-14.2,-17.5,21.9,-16,-96.4,-1.3,16.2
meimoku,tuki,対前年（同期・同月）名目増加率_平成28年10月,2016,10,-,-,-,-,-5.1,-5.9,-39.4,-16.6,-57.4,112.7,-6.3,-6.2,87.2,-8.4,0.6,-0.9,141.8,-3.6,-33.2,-16.2,-26.3,6.4,-86.8,-9.6,-5.9
meimoku,tuki,対前年（同期・同月）名目増加率_平成28年11月,2016,11,-,-,-,-,14.8,5.6,-27.4,25.3,-50.5,80.7,17.1,32.8,112.9,48.1,-11.1,-3.2,-15.7,-7,-7.7,-24.3,-39.6,-6.4,115.2,-17.9,-6.3
meimoku,tuki,対前年（同期・同月）名目増加率_平成28年12月,2016,12,-,-,-,-,-7.7,-9,-57.7,-64.4,-49.4,39.2,-4.2,-3.1,42.2,-7.7,-10.2,-1.7,-52.9,-5.7,-8,15.5,-23.3,-8.6,-22,1.5,-5
meimoku,tuki,対前年（同期・同月）名目増加率_平成29年1月,2017,1,-,-,-,-,-29.7,-29.6,-27.5,-69.4,37.7,-24.5,-34.2,-33.7,-29.9,-62,-0.4,0.8,-16.9,-6,-43.9,30.7,1.5,30.8,-45.8,-13.7,7.9
