実数・増加率,年次・四半期・月次コード,年次・四半期・月次,西暦（年）,月,調査世帯数（世帯）,世帯人員（人）,有業人員（人）,世帯主平均年齢（歳）,生計支出（円）,生計支出／消費支出（円）,生計支出／消費支出／食料（円）,生計支出／消費支出／住居（円）,生計支出／消費支出／光熱・水道（円）,生計支出／消費支出／家具・家事用品（円）,生計支出／消費支出／被服及び履物（円）,生計支出／消費支出／保健医療（円）,生計支出／消費支出／交通・通信（円）,生計支出／消費支出／教育（円）,生計支出／消費支出／教養娯楽（円）,生計支出／消費支出／その他の消費支出（円）,生計支出／消費支出／その他の消費支出／諸雑費（円）,生計支出／土地家屋購入（円）
jissu,nen,実数_平成25年平均,2013,,753,3.02,1.3,57.3,345213,333423,80264,29540,23605,11264,15276,15676,37703,17517,38107,64471,27018,11790
jissu,nen,実数_平成26年平均,2014,,745,2.98,1.29,58.8,327418,324036,81162,25459,23893,11920,15231,15326,36670,15303,38299,60775,26111,3381
jissu,nen,実数_平成27年平均,2015,,743,2.96,1.29,59,331379,326795,83742,25136,23312,11154,15219,15250,35376,18994,37562,61052,25656,4584
jissu,nen,実数_平成28年平均,2016,,735,2.99,1.31,59.1,321733,320605,84611,24703,20563,11219,14495,15045,33439,19946,36360,60225,26043,1128
jissu,sihan,実数_平成28年7～9月,2016,7～9,737,3,1.31,59.1,308801,305823,82949,23036,16642,12080,12069,15287,31651,17280,36920,57909,26567,2978
jissu,sihan,実数_平成29年10～12月,2017,10～12,735,2.96,1.29,59.2,337407,336469,88293,28567,18279,12897,16545,15975,38210,15665,36858,65181,27650,938
jissu,sihan,実数_平成29年1～3月,2017,1～3,732,2.96,1.29,59.6,325952,325952,81239,22639,25330,12824,14852,15380,35615,18866,33723,65483,28622,-
jissu,sihan,実数_平成29年4～6月,2017,4～6,737,2.96,1.27,59.7,346768,334584,85437,24054,20763,11533,14045,14898,37504,28235,38867,59248,24215,12184
jissu,sihan,実数_平成29年7～9月,2017,7～9,727,2.94,1.25,60.5,324021,324021,85178,26709,18274,12572,11897,15500,39289,15666,39761,59175,25188,-
jissu,tuki,実数_平成28年10月,2016,10,735,2.98,1.3,59.2,341798,341798,84350,30198,17143,11053,17119,16152,47215,18358,34652,65559,30434,-
jissu,tuki,実数_平成28年11月,2016,11,742,2.95,1.27,59.1,315597,312783,80635,28302,17374,12740,16634,16729,33180,12501,36595,58093,23878,2815
jissu,tuki,実数_平成28年12月,2016,12,729,2.94,1.29,59.2,354827,354827,99895,27202,20319,14898,15881,15043,34235,16136,39327,71892,28638,-
jissu,tuki,実数_平成29年1月,2017,1,730,2.93,1.28,59.4,336347,336347,80864,21154,24561,18721,16597,13683,36407,15109,35596,73656,30747,-
jissu,tuki,実数_平成29年2月,2017,2,730,2.97,1.29,59.6,308816,308816,77814,23812,26620,9550,11433,16481,33633,26620,29032,53821,27894,-
jissu,tuki,実数_平成29年3月,2017,3,737,2.97,1.3,59.7,332693,332693,85039,22952,24809,10202,16527,15977,36804,14869,36540,68972,27224,-
jissu,tuki,実数_平成29年4月,2017,4,736,2.98,1.31,59.5,401441,364890,85382,22045,23556,10318,14799,15450,33178,61109,38434,60619,25055,36551
jissu,tuki,実数_平成29年5月,2017,5,740,2.95,1.27,59.7,341700,341700,88489,27813,20514,12559,15013,15324,48442,13371,37514,62660,24613,-
jissu,tuki,実数_平成29年6月,2017,6,735,2.94,1.24,59.8,297163,297163,82441,22305,18218,11722,12324,13919,30891,10225,40652,54466,22978,-
jissu,tuki,実数_平成29年7月,2017,7,733,2.94,1.23,60.4,331018,331018,84972,27748,17418,14979,14237,16555,41551,12940,40643,59975,26735,-
jissu,tuki,実数_平成29年8月,2017,8,724,2.95,1.26,60.3,320556,320556,87048,21172,18952,11302,9976,14056,38852,10138,42583,66478,27042,-
jissu,tuki,実数_平成29年9月,2017,9,723,2.93,1.26,60.7,320489,320489,83515,31206,18451,11434,11478,15890,37465,23920,36057,51072,21786,-
jissu,tuki,実数_平成29年10月,2017,10,722,2.93,1.28,61,320871,320871,82143,25510,17797,9196,14018,15722,36023,26565,35634,58265,24299,-
meimoku,nen,対前年（同期・同月）名目増加率_平成25年平均,2013,,-,-,-,-,4.9,3.6,1.7,15.5,2.1,1.5,3.4,0.7,7,-9.1,4.2,4.3,7,69.1
meimoku,nen,対前年（同期・同月）名目増加率_平成26年平均,2014,,-,-,-,-,-5.2,-2.8,1.1,-13.8,1.2,5.8,-0.3,-2.2,-2.7,-12.6,0.5,-5.7,-3.4,-71.3
meimoku,nen,対前年（同期・同月）名目増加率_平成27年平均,2015,,-,-,-,-,1.2,0.9,3.2,-1.3,-2.4,-6.4,-0.1,-0.5,-3.5,24.1,-1.9,0.5,-1.7,35.6
meimoku,nen,対前年（同期・同月）名目増加率_平成28年平均,2016,,-,-,-,-,-2.9,-1.9,1,-1.7,-11.8,0.6,-4.8,-1.3,-5.5,5,-3.2,-1.4,1.5,-75.4
meimoku,sihan,対前年（同期・同月）名目増加率_平成28年7～9月,2016,7～9,-,-,-,-,1.3,0.3,-0.2,-4.2,-11.4,10.9,-6.1,3.3,0.6,21.8,-6,4.4,12.3,...
meimoku,sihan,対前年（同期・同月）名目増加率_平成29年10～12月,2017,10～12,-,-,-,-,3.9,3.7,-0.4,2.5,2.4,1.9,2.3,-6,22,-0.1,-0.9,8.4,11.6,206.5
meimoku,sihan,対前年（同期・同月）名目増加率_平成29年1～3月,2017,1～3,-,-,-,-,2.1,2.1,-2.2,-3,-5.4,31,6.8,3.2,16.6,-15.4,-6.2,11.6,13,-
meimoku,sihan,対前年（同期・同月）名目増加率_平成29年4～6月,2017,4～6,-,-,-,-,7.9,4.3,1.5,0.8,1,14.1,-9.2,6.3,12.5,15.1,8.8,0.2,-1.6,...
meimoku,sihan,対前年（同期・同月）名目増加率_平成29年7～9月,2017,7～9,-,-,-,-,4.9,6,2.7,15.9,9.8,4.1,-1.4,1.4,24.1,-9.3,7.7,2.2,-5.2,-100
meimoku,tuki,対前年（同期・同月）名目増加率_平成28年10月,2016,10,-,-,-,-,8.1,8.1,1.7,30.3,-1,-12,4,0,58.2,-6.6,-4.3,5.8,18.8,-
meimoku,tuki,対前年（同期・同月）名目増加率_平成28年11月,2016,11,-,-,-,-,-0.1,-0.7,-0.8,0.2,2.9,6,3.8,-4.9,-7.1,-10.2,-4.7,5.9,0,206.6
meimoku,tuki,対前年（同期・同月）名目増加率_平成28年12月,2016,12,-,-,-,-,3.7,3.7,-1.7,-15.4,4.9,11.2,-1,-12.7,20.4,19.6,6.5,13.3,15.4,-
meimoku,tuki,対前年（同期・同月）名目増加率_平成29年1月,2017,1,-,-,-,-,6.6,6.6,-0.3,-4.7,-4.1,82.1,-1.1,-2,20.2,1.2,-2.3,15.3,14.1,-
meimoku,tuki,対前年（同期・同月）名目増加率_平成29年2月,2017,2,-,-,-,-,1.1,1.1,-4.4,1.3,-3.5,22.9,4.9,16.3,17.6,-4.9,-11.8,6.4,19.2,-
meimoku,tuki,対前年（同期・同月）名目増加率_平成29年3月,2017,3,-,-,-,-,-1.2,-1.2,-1.9,-5.6,-8.5,-9.9,17.9,-3.5,12.3,-38,-5,12,6.1,-
