"年度","番号","受付日","建築物名称","建築主氏名","建築主住所","標識設置日","設計者事務所","設計者住所","施工者事務所","施工者住所","建築敷地地名地番","建築敷地住居表示","用途地域1","用途地域2","建築物用途","工事種別","建築物高さ(ｍ)","建築物階数","建築物構造","建築物基礎","敷地面積(㎡)","建築面積(㎡)","延べ面積(㎡)","工事着工予定","工事完了予定","表示用(ラベル)","経度","緯度","分類"
"5","72","2023/06/27 0:00:00","個人","個人","個人","2023/06/26 0:00:00","株式会社　ヒノキヤグループ　レスコハウスカンパニー","江戸川区篠崎町7-21-8","未定","","上高田1-145-10","上高田1-37-10","第１種低層住居専用地域","第１種住居地域","共同住宅","新築","9.18","地上3階","鉄筋コンクリート造","布基礎","169.63","98.53","253.63","2023/08/21 0:00:00","2023/12/26 0:00:00","5-72","139.673399597352","35.7097204998219","令和５年度"
"4","29","2022/04/26 0:00:00","(仮称)quador中野新橋　新築工事","株式会社　リビングコーポレーション","渋谷区渋谷4-2-12","2022/04/25 0:00:00","株式会社　リビングコーポレーション","渋谷区渋谷4-2-12","未定","","弥生町2-29-28、34、37、40","弥生町2-31","第1種住居地域","近隣商業地域","共同住宅","新築","12.995","地上5階","鉄筋コンクリート造","杭基礎","283.68","178.26","845.27","2022/07/01 0:00:00","2023/03/31 0:00:00","4-29","139.673441030894","35.6911257802071","令和４年度"
"5","35","2023/05/12 0:00:00","中野６丁目　新築工事　Ａ棟","個人","個人","2023/05/11 0:00:00","一級建築士事務所　株式会社　マネジメントオブスペース","世田谷区給田3-34-1-104","株式会社　ワイ・エヌ・プロジェクト","中野区新井1-12-14","中野6-22-23、18の一部","中野6-29-7","第１種低層住居専用地域","","一戸建ての住宅","新築","9.19","地上3階","木造","べた基礎","60.08","39.72","97.36","2023/06/25 0:00:00","2023/12/16 0:00:00","5-35","139.673463345547","35.7076211296332","令和５年度"
"5","58","2023/06/05 0:00:00","中野６丁目　新築工事　B棟","秀光建設株式会社","中野区新井1-12-14","2023/06/02 0:00:00","一級建築士事務所　株式会社　マネジメントオブスペース","世田谷区給田3-34-1","株式会社　ワイ・エヌ・プロジェクト","中野区新井1-12-14","中野6-22-18","中野6-29-17","第１種低層住居専用地域","","一戸建ての住宅","新築","9.754","地上3階","木造","べた基礎","92.5","64.16","146.48","2023/07/20 0:00:00","2024/01/31 0:00:00","5-58","139.67346680357","35.7076188807538","令和５年度"
"5","141","2023/11/10 0:00:00","（仮称）中野区本町五丁目計画","三田産業株式会社","兵庫県神戸市中央区東町122-2　港都ビル　8F","2023/11/08 0:00:00","株式会社　佐藤秀　一級建築士事務所","新宿区新宿5-6-11","株式会社　佐藤秀","新宿区新宿5-6-11","本町5-74-4、12","本町5-6-6","近隣商業地域","","共同住宅・店舗","新築","15.3","地上5階","鉄筋コンクリート造","杭基礎","196.27","157.66","587.5","2024/02/14 0:00:00","2025/04/18 0:00:00","5-141","139.673452085732","35.6936809394548","令和５年度"
"4","140","2022/11/16 0:00:00","(仮称)中野区江原町１丁目住宅　新築工事","愛三土地建物株式会社","中野区中野3-33-8","2022/11/14 0:00:00","アーキメディア　一級建築士事務所","神奈川県川崎市川崎区渡田東町14-11-101","愛三土地建物株式会社","中野区中野3-33-8","江原町1-502-6","江原町1-22","第1種低層住居専用地域","","一戸建ての住宅","新築","9.4","地上3階","鉄筋コンクリート造","杭基礎","67.68","46.22","111.69","2023/01/15 0:00:00","2023/05/31 0:00:00","4-140","139.673568780412","35.7272858227205","令和４年度"
"3","134","2021/11/15 0:00:00","（仮称）中野区弥生町YKマンション新築工事","吉岡環境開発株式会社","渋谷区代々木4-29-3　西参道梅村ビル　1F","2021/11/10 0:00:00","吉岡工務店株式会社","渋谷区代々木4-29-3　西参道梅村ビル　1F","吉岡工務店株式会社","渋谷区代々木4-29-3　西参道梅村ビル　1F","弥生町2-29-29、31の一部","弥生町2-31","第1種住居地域","近隣商業地域","共同住宅・長屋","新築","14.4","地上5階","鉄筋コンクリート造","べた基礎","247.17","152.7","575.9","2022/01/11 0:00:00","2022/12/31 0:00:00","3-134","139.673600429852","35.691199222345","令和３年度"
"3","1","2021/04/01 0:00:00","（仮称）中野区江原町１丁目　AP計画","株式会社　ジャパン・トラスト","豊島区長崎4-7-11","2021/03/29 0:00:00","ランドアーク　株式会社","豊島区池袋2-37-4","ランドアーク株式会社","豊島区池袋2-37-4","江原町1-70-7","江原町1-45","第1種低層住居専用地域","","共同住宅","新築","9.893","地上3階","木造","べた基礎","137.9","77.96","212.49","2021/05/24 0:00:00","2021/11/30 0:00:00","3-1","139.673575542217","35.7305894256539","令和３年度"
"5","116","2023/09/15 0:00:00","（仮称）中野区松が丘PJ　新築工事","株式会社　東京ミライズ","渋谷区東3-16-3　エフ・ニッセイ恵比寿ビル　3F","2023/09/15 0:00:00","一級建築士事務所　有限会社　石川公久建築設計事務所","渋谷区代々木4-56-18-304","未定","","松が丘1-2147-1、18、21、22、2148-5、7","松が丘1-29","近隣商業地域","","共同住宅","新築","14.665","地上5階","鉄筋コンクリート造","直接基礎","180.66","144.29","616.62","2024/01/10 0:00:00","2024/11/30 0:00:00","5-116","139.673685154704","35.719313676943","令和５年度"
"4","162","2022/12/22 0:00:00","(仮称)中野区本町マンション","株式会社　アウル","北海道札幌市中央区南１条西20-1-25","2022/12/19 0:00:00","聖建築設計事務所","石川県金沢市百坂町ロ73-3","成弘建設株式会社","町田市忠生4-11-7","本町5-73-38","本町5-5-1","近隣商業地域","","共同住宅","新築","11.97","地上5階","鉄筋コンクリート造","杭基礎","120.98","88.02","440.1","2023/03/01 0:00:00","2023/10/31 0:00:00","4-162","139.67374765757","35.6933670278267","令和４年度"
"4","100","2022/08/10 0:00:00","（仮称）PREMIUM　CUBE　中野新橋　DEUX　新築工事","株式会社　ヴェリタス・インベストメント","渋谷区道玄坂1-12-1　渋谷マークシティウェスト　19F","2022/08/09 0:00:00","株式会社　SPACE－CREW","渋谷区笹塚2-22-3　ステージファースト笹塚　1F","未定","","弥生町3-36-6","弥生町3-21","近隣商業地域","","共同住宅","新築","13.882","地上5階","鉄筋コンクリート造","杭基礎","201.6","151.89","637.26","2023/01/05 0:00:00","2024/03/31 0:00:00","4-100","139.673757173558","35.687898817501","令和４年度"
"3","207","2022/03/15 0:00:00","個人","個人","個人","2022/03/10 0:00:00","フォーライフ株式会社","神奈川県横浜市西区北幸1-4-1　横浜天理ビル　20F","フォーライフ株式会社","神奈川県横浜市港北区大倉山3-6-5","中野6-19-14の一部","中野6-29-8","第1種低層住居専用地域","","一戸建ての住宅","新築","9.052","地上3階","木造","べた基礎","65.19","43.29","99.13","2022/04/15 0:00:00","2022/09/15 0:00:00","3-207","139.673767360684","35.7078044598598","令和３年度"
