"年度","番号","受付日","建築物名称","建築主氏名","建築主住所","標識設置日","設計者事務所","設計者住所","施工者事務所","施工者住所","建築敷地地名地番","建築敷地住居表示","用途地域1","用途地域2","建築物用途","工事種別","建築物高さ(ｍ)","建築物階数","建築物構造","建築物基礎","敷地面積(㎡)","建築面積(㎡)","延べ面積(㎡)","工事着工予定","工事完了予定","表示用(ラベル)","経度","緯度","分類"
"4","53","2022/06/08 0:00:00","(仮称)株式会社丸喜様上鷺宮５丁目計画　新築工事","株式会社　丸喜","杉並区和泉4-43-13","2022/06/06 0:00:00","スターツＣＡＭ株式会社　建設技術本部　一級建築士事務所","中央区日本橋3-1-8","スターツＣＡＭ株式会社","江戸川区中葛飾西3-37-4","上鷺宮5-761-24","上鷺宮5-16","第1種低層住居専用地域","","一戸建ての住宅","新築","8.425","地上2階","木造","べた基礎","122.67","59.28","106.12","2022/07/19 0:00:00","2022/12/09 0:00:00","4-53","139.625899925202","35.729063070292","令和４年度"
"3","194","2022/02/24 0:00:00","三鷹支店　中野区鷺宮第５期（全３棟）１号棟","株式会社　ホーク・ワン","三鷹市下連雀4-16-11 1F","2022/02/24 0:00:00","株式会社　アサノ設計事務所","東久留米市弥生1-1-38-401","株式会社　ホーク・ワン","杉並区宮前1-15-13","鷺宮6-817-7の一部","鷺宮6-18","第1種低層住居専用地域","","一戸建ての住宅","新築","9.132","地上3階","木造","べた基礎","70","41.91","99.6","2022/05/01 0:00:00","2022/09/01 0:00:00","3-194","139.627094552168","35.7252575939594","令和３年度"
"3","212","2022/03/31 0:00:00","鷺宮607③3　新築工事","個人","個人","2022/03/17 0:00:00","株式会社　オープンハウス・ディベロップメント　渋谷一級建築士事務所","渋谷区渋谷3-12-18","株式会社　オープンハウス・ディベロップメント","渋谷区渋谷3-12-18","鷺宮6-820-67","鷺宮6-7","第1種低層住居専用地域","","一戸建ての住宅","新築","9.05","地上3階","木造","べた基礎","72.48","41.83","111.73","2022/05/13 0:00:00","2022/10/20 0:00:00","3-212","139.627323578973","35.7243031474339","令和３年度"
"3","195","2022/02/25 0:00:00","鷺宮６０７③１　新築工事","個人","個人","2022/02/09 0:00:00","株式会社　オープンハウス・ディベロップメント　渋谷一級建築士事務所","渋谷区渋谷3-12-18","株式会社　オープンハウス・ディベロップメント","渋谷区渋谷3-12-18","鷺宮6-820-13","鷺宮6-7","第1種低層住居専用地域","","一戸建ての住宅","新築","9.05","地上3階","木造","べた基礎","70.06","41.4","111.3","2022/04/26 0:00:00","2022/09/23 0:00:00","3-195","139.627426169379","35.7243029534883","令和３年度"
"3","170","2022/01/24 0:00:00","ローズガーデン鷺宮ＥＬＶ　新築工事","個人","個人","2022/01/21 0:00:00","内野建設株式会社　一級建築士事務所","練馬区豊玉北5-24-15","内野建設株式会社","練馬区豊玉北5-24-15","上鷺宮5-713-1","上鷺宮5-29","第1種低層住居専用地域","","共同住宅（昇降機）","増築","9.68","地上3階","鉄骨造","直接基礎","1573.99","606.92","1344.11","2022/04/01 0:00:00","2022/06/30 0:00:00","3-170","139.627312604226","35.7326746115341","令和３年度"
"4","223","2023/03/17 0:00:00","取下げ","","","","","","","","","","","","","","","","","","","","","","","4-223","139.628229069646","35.7236840526401","令和４年度"
"4","224","2023/03/17 0:00:00","取下げ","","","","","","","","","","","","","","","","","","","","","","","4-224","139.628297447221","35.7236998539101","令和４年度"
"4","222","2023/03/17 0:00:00","取下げ","","","","","","","","","","","","","","","","","","","","","","","4-222","139.628243978276","35.7237942260131","令和４年度"
"4","225","2023/03/17 0:00:00","取下げ","","","","","","","","","","","","","","","","","","","","","","","4-225","139.62835540868","35.7237201823901","令和４年度"
"3","56","2021/06/23 0:00:00","（仮称）中野区鷺宮６丁目計画　新築工事","トーマ建設株式会社、日神不動産株式会社","埼玉県朝霞市岡3-25-37、新宿区新宿5-8-1","2021/06/18 0:00:00","株式会社　アート総合企画　一級建築士事務所","豊島区巣鴨1-14-8　巣鴨中野ビル　7F","未定","","鷺宮6-798-43他","鷺宮6-28","第1種低層住居専用地域","","共同住宅","新築","9.63","地上3階","鉄筋コンクリート造","杭基礎","2830.32","1684.07","4339.09","2021/10/01 0:00:00","2023/04/30 0:00:00","3-56","139.629039153046","35.7263611694806","令和３年度"
"3","201","2022/03/07 0:00:00","個人","個人","個人","2022/03/01 0:00:00","パナソニックホームズ株式会社　東京一級建築士事務所","新宿区西新宿2-3-1新宿モノリス　11F","パナソニックホームズ株式会社　東京支社","新宿区西新宿2-3-1新宿モノリス　11F","鷺宮6-864-1、6","鷺宮6-24-2","第1種低層住居専用地域","","共同住宅・長屋","新築","9.53","地上3階","鉄骨造","直接基礎","202.79","113.54","285.36","2022/06/06 0:00:00","2023/02/04 0:00:00","3-201","139.62975169388","35.7254034804831","令和３年度"
"4","217","2023/03/13 0:00:00","（仮称）中野区上鷺宮５丁目計画　新築工事","個人","個人","2023/03/09 0:00:00","積水ハウス株式会社　東京南シャーメゾン支店","渋谷区渋谷1-7-7　住友不動産青山通ビル　4F","積水ハウス株式会社　東京南シャーメゾン支店","渋谷区渋谷1-7-7　住友不動産青山通ビル　4F","上鷺宮5-593-1、11の一部","上鷺宮5-2","第1種低層住居専用地域","","共同住宅","新築","9.883","地上3階","鉄骨造","直接基礎","693.24","246.18","655.1","2023/05/17 0:00:00","2024/01/28 0:00:00","4-217","139.630084055783","35.7285998438414","令和４年度"
"3","8","2021/04/12 0:00:00","（仮称）中野区鷺宮６丁目計画　新築工事","個人","個人","2021/03/16 0:00:00","スターツＣＡＭ株式会社　建設技術本部　一級建築士事務所","中央区日本橋3-1-8　スターツ日本橋ビル　3F","スターツＣＡＭ株式会社","江戸川区中葛西3-37-4","鷺宮6-861-8、9、10、11","鷺宮6-12-2","第1種低層住居専用地域","","共同住宅","新築","9.13","地上3階","鉄筋コンクリート造","べた基礎","1837.35","1094.37","3031.6","2021/06/10 0:00:00","2022/06/10 0:00:00","3-8","139.6306254399","35.7246902686027","令和３年度"
"3","199","2022/02/25 0:00:00","０Ｈ５０４_Ａ様邸　新築工事","個人","個人","2022/02/22 0:00:00","住友不動産株式会社　注文住宅　東京一級建築士事務所","新宿区西新宿8-15-1　住友不動産西新宿８丁目ビル　4F","住友不動産株式会社","新宿区西新宿8-15-19","鷺宮5-547-24","鷺宮5-18-19","第1種低層住居専用地域","","一戸建ての住宅","新築","9.173","地上3階","木造","べた基礎","106.35","59.62","141.59","2022/05/09 0:00:00","2022/09/30 0:00:00","3-199","139.631128210432","35.7263911467286","令和３年度"
"5","184","2024/01/22 0:00:00","鷺宮５丁目１棟現場　新築工事","ウィズ・コネクション株式会社","調布市布田1-43-2　グレースメゾン谷中N－201","2024/01/18 0:00:00","株式会社　ライベスト　一級建築士事務所","渋谷区鶯谷町4-21　エル・カーサ3-C","株式会社　ライベスト","渋谷区鶯谷町4-21　エル・カーサ3-C","鷺宮5-872-25の一部","鷺宮5-12","第１種低層住居専用地域","","一戸建ての住宅","新築","9.095","地上3階","木造","べた基礎","72.94","43.16","114.67","2024/02/29 0:00:00","2024/06/29 0:00:00","5-184","139.632018484076","35.7245288212659","令和５年度"
"4","123","2022/10/07 0:00:00","個人","個人","個人","2022/07/12 0:00:00","株式会社　三栄建築設計　一級建築士事務所","杉並区上荻1-2-1","株式会社　三栄建築設計","新宿区西新宿1-25-1","鷺宮5-538-27、29","鷺宮5-20-4","第1種低層住居専用地域","","一戸建ての住宅","新築","9.418","地上3階","木造","べた基礎","102.1","59.9","134.23","2022/10/16 0:00:00","2023/02/20 0:00:00","4-123","139.63218510443","35.7256139362189","令和４年度"
"4","166","2022/12/26 0:00:00","(仮称)Konomi Jyunibankan 上鷺宮三丁目","有限会社　アイティベイシック","埼玉県狭山市広瀬台3-23-9","2022/12/22 0:00:00","清水敦建築設計事務所","杉並区清水3-26-24","有限会社　白石土建","埼玉県川越市的場801-3","上鷺宮3-300-6","上鷺宮3-10-13","近隣商業地域","","共同住宅","新築","15.3","地上5階","鉄筋コンクリート造","杭基礎","130.18","102.99","465.64","2023/04/03 0:00:00","2024/03/31 0:00:00","4-166","139.632300084532","35.7349261755159","令和４年度"
"4","121","2022/10/05 0:00:00","(仮称)クレイシア鷺宮　新築工事","プロパティエージェント株式会社","新宿区西新宿6-5-1　新宿アイランドタワー　41F","2022/10/04 0:00:00","株式会社　SPACE－CREW","渋谷区笹塚2-22-3　ステージファースト笹塚　1F","未定","","鷺宮4-878-1","鷺宮4-20","第1種低層住居専用地域","","共同住宅","新築","9.99","地上3階／地下1階","鉄筋コンクリート造","杭基礎","582.23","397.08","1403.77","2023/02/15 0:00:00","2024/03/31 0:00:00","4-121","139.632361615933","35.7241968717439","令和４年度"
"3","30","2021/05/12 0:00:00","個人","個人","個人","2021/04/28 0:00:00","株式会社　アイダ設計　一級建築士事務所","埼玉県上尾市大字川286","株式会社　アイダ設計","埼玉県さいたま市大宮区桜木町2-286","鷺宮5-543-9","鷺宮5-22-9","第1種低層住居専用地域","","一戸建ての住宅","新築","9.637","地上3階","木造","べた基礎","88.23","38.92","109.91","2021/05/30 0:00:00","2021/12/20 0:00:00","3-30","139.632532882076","35.7267539392053","令和３年度"
"3","171","2022/01/24 0:00:00","中野区上鷺宮プロジェクト　Ⅰ","大和ハウス工業　株式会社","千代田区飯田橋3-13-1","2022/01/15 0:00:00","大和ハウス工業株式会社　東京集合　一級建築士事務所","千代田区飯田橋3-13-1","大和ハウス工業株式会社　東京本店","千代田区飯田橋3-13-1","上鷺宮3-303-1","上鷺宮3-11","第1種低層住居専用地域","","共同住宅","新築","9.125","地上3階","鉄骨造","布基礎","738.71","502.61","1300.92","2022/03/07 0:00:00","2022/09/15 0:00:00","3-171","139.632490004936","35.7341441021891","令和３年度"
"3","172","2022/01/24 0:00:00","中野区上鷺宮プロジェクト　Ⅱ","大和ハウス工業　株式会社","千代田区飯田橋3-13-1","2022/01/15 0:00:00","大和ハウス工業株式会社　東京集合　一級建築士事務所","千代田区飯田橋3-13-1","大和ハウス工業株式会社　東京本店","千代田区飯田橋3-13-1","上鷺宮3-283-1","上鷺宮3-12","第1種低層住居専用地域","","共同住宅","新築","9.125","地上3階","鉄骨造","布基礎","920.81","636.44","1691.52","2022/03/07 0:00:00","2022/09/15 0:00:00","3-172","139.632730629083","35.7341833361331","令和３年度"
"4","105","2022/08/25 0:00:00","中野区白鷺プロジェクト　新築工事","大和ハウス工業株式会社","千代田区飯田橋3-13-1","2022/08/20 0:00:00","大和ハウス工業株式会社　東京集合　一級建築士事務所","千代田区飯田橋3-13-1","大和ハウス工業株式会社　東京支店","千代田区飯田橋3-13-1","白鷺2-850-7","白鷺2-24","第1種低層住居専用地域","","共同住宅","新築","9.125","地上3階","鉄骨造","杭基礎","399.24","239.21","569.88","2022/10/03 0:00:00","2023/02/28 0:00:00","4-105","139.633102587134","35.7193181181381","令和４年度"
"4","189","2023/02/15 0:00:00","（仮称）中野区白鷺２丁目計画　新築工事","個人","個人","2023/02/13 0:00:00","積水ハウス株式会社　東京南シャーメゾン支店","渋谷区渋谷1-7-7　住友不動産青山通ビル　4F","積水ハウス株式会社　東京南シャーメゾン支店","渋谷区渋谷1-7-7　住友不動産青山通ビル　4F","白鷺2-924","白鷺2-13","第1種低層住居専用地域","","長屋","新築","9.802","地上3階","鉄骨造","直接基礎","873.2","434.11","961.52","2023/06/15 0:00:00","2024/06/18 0:00:00","4-189","139.633255246697","35.7182835229781","令和４年度"
"4","70","2022/06/28 0:00:00","個人","個人","個人","2022/05/28 0:00:00","ミサワホーム株式会社　東京西一級建築士事務所","杉並区高井戸東2-4-5","ミサワホーム株式会社","千代田区有楽町1-7-1","上鷺宮2-332-12、336-2、4","上鷺宮2-24","第1種低層住居専用地域","","共同住宅","新築","7.391","地上2階","木造","布基礎","289.59","131.92","255.62","2022/07/20 0:00:00","2022/12/20 0:00:00","4-70","139.633407641011","35.7307201758053","令和４年度"
"5","127","2023/10/19 0:00:00","（仮称）鷺宮１５期B号棟","八正建設株式会社","練馬区豊玉北4-12-1","2023/10/16 0:00:00","八正建設株式会社　一級建築士事務所","練馬区豊玉北4-12-1","八正建設株式会社","練馬区豊玉北4-12-1","白鷺2-919-26の一部","白鷺2-12","第１種低層住居専用地域","","一戸建ての住宅","新築","9.15","地上3階","木造","べた基礎","74.25","44.5","106.84","2023/12/11 0:00:00","2024/04/30 0:00:00","5-127","139.63363142815","35.718232745797","令和５年度"
"5","154","2023/12/04 0:00:00","中野区白鷺２丁目計画　新築工事","ミサワホーム株式会社","千代田区有楽町1-7-1","2023/12/01 0:00:00","ミサワホーム株式会社　東京西一級建築士事務所","杉並区高井戸東2-4-5","ライズホーム株式会社","府中市天神町1-19-23","白鷺2-918-11の一部","白鷺2-11-11","第１種低層住居専用地域","","一戸建ての住宅","新築","9.311","地上3階","木造","べた基礎","70.41","41.81","111.63","2024/01/22 0:00:00","2024/06/10 0:00:00","5-154","139.63423632826","35.7185428539083","令和５年度"
"5","16","2023/04/17 0:00:00","（仮称）中野区上鷺宮３丁目計画","川口土木建築工業株式会社","埼玉県川口市本町4-11-6","2023/04/13 0:00:00","五十嵐建設工業株式会社","新潟県新潟市江南区下早通柳田2-2-17","五十嵐建設工業株式会社","新潟県新潟市江南区下早通柳田2-2-17","上鷺宮3-273-14","上鷺宮3-3","第１種低層住居専用地域","","有料老人ホーム","新築","9.7","地上3階","鉄筋コンクリート造","ベタ基礎","2893.83","1109.62","2934.6","2023/06/15 0:00:00","2024/07/31 0:00:00","5-16","139.634321354916","35.7337534173903","令和５年度"
"4","144","2022/11/21 0:00:00","(仮称)中野区上鷺宮２丁目計画　新築工事","株式会社　START株式会社　トーワ綜合システム","港区六本木1-6-1、港区南麻布2-14-13　南麻布山口ビル　5F","2022/11/17 0:00:00","株式会社　伊藤陸川設計室","渋谷区神宮前6-33-11","未定","","上鷺宮2-393-11、394、395-9","上鷺宮2-4","第1種低層住居専用地域","","共同住宅","新築","9.99","地上4階","鉄筋コンクリート造","杭基礎","3216.54","1793.98","6132.28","2023/03/15 0:00:00","2024/11/15 0:00:00","4-144","139.63495553305","35.7278606944371","令和４年度"
"5","209","2024/03/15 0:00:00","（仮称）白鷺２丁目共同住宅　新築工事","株式会社　リアルウィンズ","国分寺市本町2-5-4　ウィンズ・パレ国分寺","2024/02/29 0:00:00","創作社株式会社","武蔵野市吉祥寺南町2-20-8　E`bld　2F","未定","","白鷺2-904-25","白鷺2-7-10","第一種低層住居専用地域","","共同住宅","新築","9.904","地上３階","W","べた基礎","97.18","55.81","167.43","2024/05/10 0:00:00","2024/11/10 0:00:00","5-209","139.635723623648","35.7183222176687","令和５年度"
"5","150","2023/11/22 0:00:00","個人","個人","個人","2023/11/20 0:00:00","旭化成ホームズ株式会社　東京中央　一級建築士事務所","新宿区西新宿2-4-1","旭化成ホームズ株式会社","千代田区神田神保町1-105","上鷺宮1-224-21","上鷺宮1-19-12","第１種低層住居専用地域","","一戸建ての住宅","新築","9.273","地上3階","鉄骨造","布基礎","85.29","56.54","123.61","2024/06/04 0:00:00","2024/10/28 0:00:00","5-150","139.635729720293","35.7295606380748","令和５年度"
"3","33","2021/05/17 0:00:00","（仮称）中野区白鷺２丁目B号棟（借）新築工事","株式会社　三栄建築設計","杉並区西荻北2-1-11","2021/05/04 0:00:00","株式会社　三栄建築設計　東京支店","杉並区上荻1-2-1","株式会社　三栄建築設計","新宿区西新宿1-25-1","白鷺2-790-1の一部","白鷺2-47","第1種低層住居専用地域","","一戸建ての住宅","新築","9.503","地上3階","木造","べた基礎","70","44.52","107.48","2021/06/17 0:00:00","2021/09/15 0:00:00","3-33","139.636652640313","35.7214667085146","令和３年度"
"3","32","2021/05/17 0:00:00","（仮称）中野区白鷺２丁目Ａ号棟（借）新築工事","株式会社　三栄建築設計","杉並区西荻北2-1-11","2021/05/04 0:00:00","株式会社　三栄建築設計　東京支店","杉並区上荻1-2-1","株式会社　三栄建築設計","新宿区西新宿1-25-1","白鷺2-790-1の一部","白鷺2-47","第1種低層住居専用地域","","一戸建ての住宅","新築","9.272","地上3階","木造","べた基礎","70","41.71","106.6","2021/06/17 0:00:00","2021/09/15 0:00:00","3-32","139.636704391006","35.7214567391741","令和３年度"
"5","36","2023/05/15 0:00:00","中野区鷺宮４丁目　新築工事","株式会社　良栄","新宿区西新宿6-14-1　新宿グリーンタワービル 18F","2023/05/12 0:00:00","株式会社　良栄一級建築士事務所","新宿区西新宿6-14-1　新宿グリーンタワービル 18F","株式会社　良栄","新宿区西新宿6-14-1　新宿グリーンタワービル 18F","鷺宮4-1025-3、10の各一部","鷺宮4-4","第１種低層住居専用地域","","一戸建ての住宅","新築","8.461","地上3階","木造","べた基礎","78.6","36.36","88.92","2023/07/01 0:00:00","2023/11/30 0:00:00","5-36","139.636716640336","35.7238559276956","令和５年度"
"4","80","2022/07/12 0:00:00","(仮称)鷺宮13期A号棟","八正建設株式会社","練馬区豊玉北4-12-1","2022/07/08 0:00:00","八正建設株式会社　一級建築士事務所","練馬区豊玉北4-12-1","八正建設株式会社","練馬区豊玉北4-12-1","白鷺1-749-27の一部","白鷺1-9-24","第1種低層住居専用地域","","一戸建ての住宅","新築","9.27","地上3階","木造","べた基礎","65.12","40.22","108.87","2022/09/15 0:00:00","2023/01/30 0:00:00","4-80","139.636800639501","35.7181282392884","令和４年度"
"4","127","2022/10/27 0:00:00","(仮称)中野区鷺宮４丁目プロジェクト　新築工事","リスジャパン株式会社","港区芝3-5-2　FUSEBLDG-I　5F","2022/10/20 0:00:00","株式会社　ＷＡ建築設計","港区南青山2-2-8　DFビルディング 2F","未定","","鷺宮4-411-1","鷺宮4-45","第1種低層住居専用地域","第1種住居地域","共同住宅","新築","21.98","地上8階","鉄筋コンクリート造","杭基礎","382.97","227.42","1576.5","2022/12/01 0:00:00","2024/02/29 0:00:00","4-127","139.636751836428","35.7264482593417","令和４年度"
"4","81","2022/07/12 0:00:00","(仮称)鷺宮13期B号棟","八正建設株式会社","練馬区豊玉北4-12-1","2022/07/08 0:00:00","八正建設株式会社　一級建築士事務所","練馬区豊玉北4-12-1","八正建設株式会社","練馬区豊玉北4-12-1","白鷺1-749-27の一部","白鷺1-9-24","第1種低層住居専用地域","","一戸建ての住宅","新築","9.678","地上3階","木造","べた基礎","65.12","35.71","97.32","2022/09/15 0:00:00","2023/01/30 0:00:00","4-81","139.636867943989","35.7181241311472","令和４年度"
"5","190","2024/02/06 0:00:00","（仮称）中野区鷺宮４丁目計画","個人","個人","2024/02/05 0:00:00","積水ハウス株式会社　東京西シャーメゾン支店","渋谷区代々木2-1-1　新宿マインズタワー 24F","積水ハウス株式会社　東京西シャーメゾン支店","渋谷区代々木2-1-1　新宿マインズタワー 24F","鷺宮4-405-1","鷺宮4-39-19","第１種低層住居専用地域","","共同住宅","新築","9.957","地上3階","鉄骨造","布基礎","569.5","341.63","901.53","2024/05/31 0:00:00","2025/03/12 0:00:00","5-190","139.636731397618","35.7251561728279","令和５年度"
"4","82","2022/07/12 0:00:00","(仮称)鷺宮13期C号棟","八正建設株式会社","練馬区豊玉北4-12-1","2022/07/08 0:00:00","八正建設株式会社　一級建築士事務所","練馬区豊玉北4-12-1","八正建設株式会社","練馬区豊玉北4-12-1","白鷺1-749-27の一部","白鷺1-9-24","第1種低層住居専用地域","","一戸建ての住宅","新築","9.485","地上3階","木造","べた基礎","65.11","40.24","94.34","2022/09/15 0:00:00","2023/01/30 0:00:00","4-82","139.63694274624","35.7181208629141","令和４年度"
"3","180","2022/01/28 0:00:00","（仮称）中野区上鷺宮１丁目計画","大和ハウス工業株式会社","江戸川区瑞江4-51-10","2022/01/27 0:00:00","株式会社　キャピタルウィン開発　一級建築士事務所","港区虎ノ門5-11-15　虎ノ門ＫＴビル　3F","未定","","上鷺宮1-216-18","上鷺宮1-8","第1種低層住居専用地域","","老人福祉施設(ｸﾞﾙｰﾌﾟﾎｰﾑ)","新築","9.5","地上3階","鉄骨造","べた基礎","349.07","220.41","646.8","2022/03/20 0:00:00","2022/09/30 0:00:00","3-180","139.637052921859","35.7282302890005","令和３年度"
"4","86","2022/07/13 0:00:00","中野区鷺宮４丁目　B棟　新築計画","株式会社　アルティス","目黒区碑文谷5-2-5　T&Aビル　2F","2022/07/08 0:00:00","株式会社　アルティス　一級建築士事務所","目黒区碑文谷5-2-5","未定","","鷺宮4-1026-15の一部","鷺宮4-4","第1種低層住居専用地域","","一戸建ての住宅","新築","9.518","地上3階","木造","べた基礎","70.01","40.99","107.72","2022/09/15 0:00:00","2023/02/15 0:00:00","4-86","139.63729028046","35.7239938733794","令和４年度"
"4","85","2022/07/13 0:00:00","中野区鷺宮４丁目　A棟　新築計画","株式会社　アルティス","目黒区碑文谷5-2-5　T&Aビル　2F","2022/07/08 0:00:00","株式会社　アルティス　一級建築士事務所","目黒区碑文谷5-2-5","未定","","鷺宮4-1026-15の一部","鷺宮4-4","第1種低層住居専用地域","","一戸建ての住宅","新築","9.553","地上3階","木造","べた基礎","70.01","43.47","113.78","2022/09/15 0:00:00","2023/02/15 0:00:00","4-85","139.637353888924","35.7239892866721","令和４年度"
"3","145","2021/12/02 0:00:00","（仮称）上鷺宮１丁目マンション　新築工事","株式会社　福子工務店","千代田区神田東松下町31-1","2021/11/29 0:00:00","株式会社　福子工務店　一級建築士事務所","千代田区神田東松下町31-1","株式会社　福子工務店","千代田区神田東松下町31-1","上鷺宮1-204-2、3","上鷺宮1-7-22","第1種低層住居専用地域","","共同住宅","新築","9.97","地上4階","鉄筋コンクリート造","杭基礎","508.2","280.64","1097.98","2022/03/01 0:00:00","2023/01/31 0:00:00","3-145","139.637720691778","35.7280957929676","令和３年度"
"4","23","2022/04/22 0:00:00","中野区上鷺宮一丁目　A号棟","株式会社　プロバンク","新宿区西新宿8-1-1　アゼリアビル　6F","2022/04/18 0:00:00","株式会社　プロバンク　一級建築士事務所","新宿区西新宿8-1-1　アゼリアビル　6F","未定","","上鷺宮1-208-4の一部","上鷺宮1-6","第1種低層住居専用地域","","一戸建ての住宅","新築","9.09","地上3階","木造","べた基礎","70","40.99","96.87","2022/06/01 0:00:00","2022/11/30 0:00:00","4-23","139.637822088706","35.7273418165364","令和４年度"
"4","24","2022/04/22 0:00:00","中野区上鷺宮一丁目　C号棟","株式会社　プロバンク","新宿区西新宿8-1-1　アゼリアビル　6F","2022/04/18 0:00:00","株式会社　プロバンク　一級建築士事務所","新宿区西新宿8-1-1　アゼリアビル　6F","未定","","上鷺宮1-208-4の一部","上鷺宮1-6","第1種低層住居専用地域","","一戸建ての住宅","新築","9.16","地上3階","木造","べた基礎","70","39.74","96.46","2022/06/01 0:00:00","2022/11/30 0:00:00","4-24","139.637906806885","35.7273536703034","令和４年度"
"4","25","2022/04/22 0:00:00","中野区上鷺宮一丁目　E号棟","株式会社　プロバンク","新宿区西新宿8-1-1　アゼリアビル　6F","2022/04/18 0:00:00","株式会社　プロバンク　一級建築士事務所","新宿区西新宿8-1-1　アゼリアビル　6F","未定","","上鷺宮1-208-4の一部","上鷺宮1-6","第1種低層住居専用地域","","一戸建ての住宅","新築","9.29","地上3階","木造","べた基礎","70","40.57","95.84","2022/06/01 0:00:00","2022/11/30 0:00:00","4-25","139.637999288853","35.7273666828348","令和４年度"
"5","11","2023/04/14 0:00:00","個人","個人","個人","2023/04/13 0:00:00","パナソニックホームズ株式会社　東京一級建築士事務所","新宿区西新宿2-3-1　新宿モノリス 11F","パナソニックホームズ株式会社　東京支社","新宿区西新宿2-3-1　新宿モノリス 11F","鷺宮4-425-9","鷺宮4-34-1","近隣商業地域","","共同住宅・店舗","新築","11.922","地上4階","鉄骨造","杭基礎","151.37","73.12","279.02","2023/08/24 0:00:00","2024/03/16 0:00:00","5-11","139.638010886952","35.724047446104","令和５年度"
"4","26","2022/04/22 0:00:00","中野区上鷺宮一丁目　G号棟","株式会社　プロバンク","新宿区西新宿8-1-1　アゼリアビル　6F","2022/04/18 0:00:00","株式会社　プロバンク　一級建築士事務所","新宿区西新宿8-1-1　アゼリアビル　6F","未定","","上鷺宮1-208-4の一部","上鷺宮1-6","第1種低層住居専用地域","","一戸建ての住宅","新築","9.02","地上3階","木造","べた基礎","70","41.97","97.93","2022/06/01 0:00:00","2022/11/30 0:00:00","4-26","139.638090842864","35.7273753286836","令和４年度"
"4","76","2022/07/01 0:00:00","中野区白鷺106Ⅱ　C","株式会社　ヒロホーム","中野区東中野3-9-13","2022/06/29 0:00:00","株式会社　ヒロホーム","中野区東中野3-9-13","株式会社　ヒロホーム","中野区東中野3-9-13","白鷺1-760-12、16の各一部、761-34、35の各一部","白鷺1-6-2","第1種低層住居専用地域","","一戸建ての住宅","新築","8.608","地上3階","木造","べた基礎","81.47","53.67","126.13","2022/08/15 0:00:00","2022/12/25 0:00:00","4-76","139.638275193503","35.716181122308","令和４年度"
"4","75","2022/07/01 0:00:00","中野区白鷺106Ⅱ　B","株式会社　ヒロホーム","中野区東中野3-9-13","2022/06/29 0:00:00","株式会社　ヒロホーム","中野区東中野3-9-13","株式会社　ヒロホーム","中野区東中野3-9-13","白鷺1-760-12、16の各一部","白鷺1-6-2","第1種低層住居専用地域","","一戸建ての住宅","新築","8.513","地上3階","木造","べた基礎","75.11","50.85","123.43","2022/08/15 0:00:00","2022/12/25 0:00:00","4-75","139.638332506212","35.7161581793917","令和４年度"
"4","74","2022/07/01 0:00:00","中野区白鷺106Ⅱ　A","株式会社　ヒロホーム","中野区東中野3-9-13","2022/06/29 0:00:00","株式会社　ヒロホーム","中野区東中野3-9-13","株式会社　ヒロホーム","中野区東中野3-9-13","白鷺1-760-16の一部","白鷺1-6-2","第1種低層住居専用地域","","一戸建ての住宅","新築","8.534","地上3階","木造","べた基礎","75.1","50.85","123.43","2022/08/15 0:00:00","2022/12/25 0:00:00","4-74","139.638388961322","35.7161361800783","令和４年度"
"3","50","2021/06/11 0:00:00","（仮称）鷺宮３丁目計画　有限会社光和　新築工事","有限会社　光和","中野区上鷺宮2-1-14","2021/06/07 0:00:00","大成建設ハウジング株式会社　千葉支店　一級建築士事務所","千葉県市川市市川南4-4-35","大成建設ハウジング株式会社　千葉支店","千葉県市川市市川南4-4-35","鷺宮3-172-10の一部、173-27","鷺宮3-34","第1種低層住居専用地域","近隣商業地域","共同住宅","新築","8.934","地上3階","鉄筋コンクリート造","直接基礎","346.23","203.42","606.16","2021/08/29 0:00:00","2022/03/31 0:00:00","3-50","139.638590398707","35.7250264160042","令和３年度"
"5","55","2023/06/05 0:00:00","（仮称）中野区白鷺１丁目No.３　A号棟　新築工事","株式会社　三栄建築設計","杉並区西荻北2-1-11","2023/06/02 0:00:00","株式会社　三栄建築設計　東京支店","杉並区上荻1-2-1","株式会社　三栄建築設計","新宿区西新宿1-25-1","白鷺1-617-7の一部","白鷺1-5","第１種低層住居専用地域","","一戸建ての住宅","新築","8.983","地上3階","木造","べた基礎","60.29","40.06","96.85","2023/07/21 0:00:00","2023/10/23 0:00:00","5-55","139.638719295964","35.7159022114515","令和５年度"
"5","50","2023/05/29 0:00:00","上鷺宮１丁目計画　新築工事","徳興株式会社","渋谷区神宮前3-42-8-101","2023/05/27 0:00:00","株式会社　UDS設計","墨田区横綱1-10-8-202","未定","","上鷺宮1-196-15","上鷺宮1-3-15","近隣商業地域","","店舗・共同住宅","新築","12.1","地上4階","鉄筋コンクリート造","べた基礎","46.11","37.87","153.46","2023/08/10 0:00:00","2024/01/30 0:00:00","5-50","139.638703012464","35.7267150063916","令和５年度"
