"施設名","年度","宿泊利用人員 大人[人]","宿泊利用人員 小人[人]","宿泊利用人員 合計[人]","定員[人]","利用率[%]","部屋数","部屋利用率[%]"
"伊豆稲取 稲取東海ホテル湯苑","2014","165","18","183","10","45.8","2","85"
"伊豆稲取 稲取東海ホテル湯苑","2015","179","30","209","10","52.3","2","86.3"
"伊豆稲取 稲取東海ホテル湯苑","2016","175","24","199","10","49.8","2","88.8"
"伊豆稲取 稲取東海ホテル湯苑","2017","197","29","226","10","56.5","2","93.8"
"熱川 熱川プリンスホテル","2016","165","28","193","10","48.3","2","85"
"熱川 熱川プリンスホテル","2017","200","29","229","10","57.3","2","93.8"
"安房鴨川 鴨川グランドホテル","2014","177","30","207","10","51.8","2","87.5"
"安房鴨川 鴨川グランドホテル","2015","176","43","219","10","54.8","2","93.8"
"安房鴨川 鴨川グランドホテル","2016","194","26","220","10","55","2","88.8"
"鬼怒川 鬼怒川グランドホテル 夢の季","2014","158","13","171","10","42.8","2","82.5"
"鬼怒川 鬼怒川グランドホテル 夢の季","2015","162","12","174","10","43.5","2","82.5"
"鬼怒川 鬼怒川グランドホテル 夢の季","2016","152","17","169","10","42.3","2","75"
"鬼怒川 鬼怒川グランドホテル 夢の季","2017","179","16","195","10","48.8","2","93.8"
"鬼怒川 鬼怒川グランドホテル 夢の季","2018","175","17","192","10","48","2","92.5"
"犬吠崎 犬吠崎ホテル","2015","157","13","170","10","42.5","2","81.3"
"熱海 ホテルニューアカオ","2014","200","76","276","10","69","2","98.8"
"熱海 ホテルニューアカオ","2015","187","61","248","10","62","2","93.8"
"熱海 ホテルニューアカオ","2016","172","61","233","10","58.3","2","91.3"
"熱海 ホテルニューアカオ","2017","165","38","203","10","50.8","2","86.3"
"熱海 ホテルニューアカオ","2018","184","48","232","10","58","2","91.3"
"川治湯元 湯けむりの里 柏屋","2014","153","19","172","10","43","2","80"
"川治湯元 湯けむりの里 柏屋","2015","171","18","189","10","47.3","2","88.8"
"川治湯元 湯けむりの里 柏屋","2016","164","25","189","10","47.3","2","87.5"
"川治湯元 湯けむりの里 柏屋","2017","184","11","195","10","48.8","2","85"
"川治湯元 湯けむりの里 柏屋","2018","176","11","187","10","46.8","2","87.5"
"舞浜 ホテルオークラ東京ベイ","2014","162","13","175","8","54.7","2","88.8"
"舞浜 ホテルオークラ東京ベイ","2015","159","14","173","8","54.1","2","90"
"舞浜 ホテルオークラ東京ベイ","2016","158","10","168","8","52.5","2","88.8"
"舞浜 ホテルオークラ東京ベイ","2017","152","13","165","8","51.6","2","90"
"舞浜 ホテルオークラ東京ベイ","2018","141","11","152","8","47.5","2","83.8"
"春日居 ホテル春日居","2014","185","36","221","10","55.3","2","93.8"
"春日居 ホテル春日居","2015","196","28","224","10","56","2","88.8"
"春日居 ホテル春日居","2016","189","25","214","10","53.5","2","88.8"
"春日居 ホテル春日居","2017","169","33","202","10","50.5","2","85"
"春日居 ホテル春日居","2018","179","39","218","10","54.5","2","92.5"
"箱根湯本 箱根路 開雲","2014","198","7","205","10","51.3","2","100"
"箱根湯本 箱根路 開雲","2015","166","9","175","10","43.8","2","87.5"
"箱根湯本 箱根路 開雲","2016","164","13","177","10","44.3","2","85"
"箱根湯本 箱根路 開雲","2017","146","9","155","10","38.8","2","76.3"
"箱根湯本 箱根路 開雲","2018","160","12","172","10","43","2","80"
"安房小湊 満ちてくる心の宿 吉夢","2017","177","31","208","10","52","2","91.3"
"安房小湊 満ちてくる心の宿 吉夢","2018","164","23","187","10","46.8","2","85"
"伊東 ホテル聚楽","2018","190","36","226","10","59.5","2","96.1"

"令和元年度港区行政資料集　施設利用状況一覧 夏季保養施設","Ver201903",,,,,,,
