地域階層,地域コード,区市町村,総数(万円),09食料品(万円),10飲料・飼料等(万円),11繊維工業(万円),12木材・木製品(万円),13家具・装備品(万円),14紙・紙加工品(万円),15印刷・同関連業(万円),16化学工業(万円),17石油・石炭(万円),18プラスチック(万円),19ゴム製品(万円),20皮革・同製品(万円),21窯業・土石(万円),22鉄鋼業(万円),23非鉄金属(万円),24金属製品(万円),25はん用機械(万円),26生産用機械(万円),27業務用機械(万円),28電子・デバイス(万円),29電気機械(万円),30情報通信機械(万円),31輸送用機械(万円),32その他(万円)
0,13000,東京都,762831766,71621313,10837129,5154125,1065941,9773452,13569405,77096447,36096772,3376643,12438906,3455210,7531077,17374697,16652241,9073109,27548962,17302011,40136668,31813349,39725331,74479933,57269411,158660805,20778829
1,13100,区部,291295370,27354931,x,4262467,930432,3043437,11832458,65807271,28479227,2015583,8559445,3098523,x,10860471,13003241,5559465,21055011,7617539,19356312,18693478,2123784,10561088,2242683,4773673,11931906
2,13101,千代田区,4268193,x,-,52989,-,-,42374,3862350,-,-,x,-,-,-,-,-,x,-,x,x,23240,x,-,-,191665
2,13102,中央区,3286719,281370,-,90896,-,-,36986,2564844,x,-,x,-,-,-,-,-,x,-,x,x,x,x,-,-,123949
2,13103,港区,3068374,228333,x,x,-,32945,-,1288325,-,-,-,-,-,1109329,x,-,17967,143957,83036,-,-,68626,-,-,74340
2,13104,新宿区,10497973,355719,x,92871,-,x,500130,8696645,x,-,79616,-,-,-,-,-,24616,-,x,241266,x,80491,227901,-,85839
2,13105,文京区,9878811,235623,-,101286,30024,x,11339,7350437,106098,-,80767,x,x,128882,-,-,x,-,x,1118614,-,91597,x,x,219087
2,13106,台東区,6315019,509491,-,415079,6778,140408,360335,1202401,53348,-,66826,42686,1663983,13142,-,x,224915,-,x,142443,-,83784,x,12442,1269553
2,13107,墨田区,26576924,864023,94446,1041584,38298,130644,592178,3459126,10483483,x,627322,781225,1645962,635176,1831800,106938,1906191,375499,687030,47875,x,135575,x,134155,831655
2,13108,江東区,27773378,4350310,x,262502,714874,471618,490237,6328696,3720041,x,716535,87825,x,2949720,1669083,1126705,1285202,142233,984807,296688,x,270058,x,406631,217048
