地域階層,地域コード,地域,従業者規模階層,従業者規模コード,従業者規模,事業所数,従業者数（送出者を除く）／総数（人）,従業者数（送出者を除く）／うち男（人）,常用労働者／総数（人）,常用労働者／うち男（人）,個人業主及び無給家族従業者（人）,現金給与総額（万円）,原材料使用額等（万円）,製造品出荷額等／総額（万円）,製造品出荷額等／製造品出荷額（万円）,製造品出荷額等／加工賃収入額（万円）,製造品出荷額等／修理料収入額（万円）,製造品出荷額等／くず・廃物出荷額（万円）,製造品出荷額等／その他の収入額（万円）,付加価値額（29人以下は粗付加価値額）（万円）,粗付加価値額（万円）,有形固定資産額（30人以上）／年初現在高（万円）,有形固定資産額（30人以上）／取得額（万円）,有形固定資産額（30人以上）／除却額（万円）,有形固定資産額（30人以上）／減価償却額（万円）
0,13000,東京都,0,00,総数,10322,251310,177079,254092,179634,409,114874501,410310281,762831766,666267861,42721627,2462715,73347,51306216,321445700,329856642,143364374,19716786,2662754,13411808
0,13000,東京都,1,01,4～9人,5124,30881,20032,30568,19800,392,10577157,17980812,38663278,28913600,8222720,167136,8592,1351230,19159423,19159423,…,…,…,…
0,13000,東京都,1,02,10～19人,2686,36252,24508,36401,24638,17,14102421,35389284,65972085,53452832,9370625,311255,9213,2828160,28373587,28373587,…,…,…,…
0,13000,東京都,1,03,20～29人,1107,26816,18361,26927,18451,-,11427735,28844123,55204893,45333861,6732601,338503,15435,2784493,24503768,24503768,…,…,…,…
0,13000,東京都,1,04,30～49人,642,24882,17682,25001,17787,-,11045997,29658225,55869734,46342208,4957807,256776,5949,4306994,23632221,24561824,19774038,2109753,434683,1188683
0,13000,東京都,1,05,50～99人,457,30753,21598,30925,21755,-,14026546,42802458,77461901,65286650,6506999,416294,14601,5237357,29976504,32479780,28978387,2888942,365021,2092008
0,13000,東京都,1,06,100～199人,191,25863,18118,26236,18441,-,12349675,43034405,78252214,68316149,3941688,725355,15054,5253968,28812791,30915005,29281371,2604838,632205,2374672
0,13000,東京都,1,07,200～299人,42,10090,6927,10191,7020,-,4771665,17333583,28558145,26151626,555512,103812,-,1747195,9904590,10735539,9190159,1169835,233347,799674
0,13000,東京都,1,08,300～499人,33,12616,7679,12755,7804,-,5828243,20407824,36302760,34894642,866670,x,x,x,14274358,15191331,15818748,1222516,171869,997947
0,13000,東京都,1,09,500～999人,20,12704,9300,13142,9684,-,7416473,27115258,42271923,41646847,347603,x,x,x,14031816,14850754,10698359,1900390,214746,1422421
0,13000,東京都,1,10,1000人以上,20,40453,32874,41946,34254,-,23328589,147744309,284274833,255929446,1219402,-,-,27125985,128776642,129085631,29623312,7820512,610883,4536403
1,13100,区部,0,00,総数,7837,138638,95012,139551,95845,299,60906980,153113913,291295370,241199530,31485965,1535292,62429,17012154,123968833,129008478,72944025,6175038,1494877,4629249
1,13100,区部,1,01,4～9人,4188,25129,16403,24914,16246,288,8688021,14744320,31446927,23447713,6787605,146424,7236,1057949,15482016,15482016,…,…,…,…
1,13100,区部,1,02,10～19人,2044,27471,18701,27603,18816,11,10893507,28115739,51666897,41852175,7484767,254086,8630,2067239,21857825,21857825,…,…,…,…
1,13100,区部,1,03,20～29人,768,18580,12838,18667,12913,-,8053094,20139318,38782024,31897752,4820844,184996,14340,1864092,17308640,17308640,…,…,…,…
1,13100,区部,1,04,30～49人,424,16405,11862,16465,11916,-,7405365,19312056,36033224,29881712,3226882,74905,4205,2845520,14953178,15660372,13859040,1648737,293323,779367
1,13100,区部,1,05,50～99人,284,19075,13698,19157,13768,-,9039697,27098466,48918239,40886357,3853414,209493,13679,3955296,18481772,20399486,20792164,1773868,190383,1375346
1,13100,区部,1,06,100～199人,92,12482,8797,12694,8988,-,6127698,19416284,34955457,28890200,2759534,601563,9836,2694324,13661548,14500175,14970343,1215813,499520,1026166
1,13100,区部,1,07,200～299人,15,3590,2388,3616,2413,-,x,x,x,x,x,x,-,x,x,x,x,x,x,x
1,13100,区部,1,08,300～499人,13,5001,3212,5079,3287,-,2313039,8773205,16093271,14725449,866670,x,x,x,6284051,6905473,11436525,620995,69648,617215
1,13100,区部,1,09,500～999人,3,2159,1663,2311,1786,-,1885991,3369826,6290268,6285765,-,x,x,-,2575445,2941864,839912,199284,107236,172157
1,13100,区部,1,10,1000人以上,6,8746,5450,9045,5712,-,x,x,x,x,x,-,-,x,x,x,x,x,x,x
2,13101,千代田区,0,00,総数,91,2098,1515,2100,1517,-,970132,2154523,4268193,3499452,741033,3259,200,24249,1894927,1962855,788970,55711,2710,70888
2,13101,千代田区,1,01,4～9人,47,294,197,294,197,-,124374,185590,420425,328083,88669,50,-,3623,217438,217438,…,…,…,…
2,13101,千代田区,1,02,10～19人,15,197,152,197,152,-,90704,276406,456221,392036,48415,-,-,15770,166661,166661,…,…,…,…
2,13101,千代田区,1,03,20～29人,10,240,181,240,181,-,108746,120213,298385,260444,32716,3209,200,1816,165899,165899,…,…,…,…
2,13101,千代田区,1,04,30～49人,10,385,280,385,280,-,206778,204627,627302,440787,186496,-,-,19,374067,392405,243348,14478,676,19172
2,13101,千代田区,1,05,50～99人,4,268,191,269,192,-,117842,299583,528700,528700,-,-,-,-,197808,212982,230390,10757,35,17267
2,13101,千代田区,1,06,100～199人,5,714,514,715,515,-,321688,1068104,1937160,1549402,384737,-,-,3021,773054,807470,315232,30476,1999,34449
2,13102,中央区,0,00,総数,108,1816,1271,1850,1304,1,850616,1536897,3286719,2943400,311752,535,1,31031,1546777,1629179,838282,97229,169904,84628
2,13102,中央区,1,01,4～9人,54,313,191,313,190,1,107044,163197,393045,310386,64539,535,1,17584,213406,213406,…,…,…,…
2,13102,中央区,1,02,10～19人,30,382,272,382,272,-,161867,284154,594498,509666,76848,-,-,7984,287354,287354,…,…,…,…
2,13102,中央区,1,03,20～29人,11,284,166,284,166,-,125540,271546,541272,455810,83590,-,-,1872,250665,250665,…,…,…,…
2,13102,中央区,1,04,30～49人,7,279,202,281,204,-,109837,159974,381769,342565,39102,-,-,102,199794,205942,162130,7305,399,6858
2,13102,中央区,1,05,50～99人,4,286,212,286,212,-,x,x,x,x,x,-,-,x,x,x,x,x,x,x
2,13102,中央区,1,06,100～199人,2,272,228,304,260,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
2,13103,港区,0,00,総数,84,1279,933,1285,938,1,613291,1629011,3068374,2874825,122125,1736,-,69688,1312924,1337029,256453,25734,1466,20900
2,13103,港区,1,01,4～9人,46,252,165,253,166,1,97804,219934,439793,387922,45668,-,-,6203,203594,203594,…,…,…,…
2,13103,港区,1,02,10～19人,19,260,203,265,207,-,128416,673470,1142627,1075054,50193,-,-,17380,436337,436337,…,…,…,…
2,13103,港区,1,03,20～29人,11,283,216,283,216,-,145889,417349,746421,674272,26264,1736,-,44149,304924,304924,…,…,…,…
2,13103,港区,1,04,30～49人,4,158,131,158,131,-,80727,118789,285057,283101,-,-,-,1956,145727,154509,125815,5367,206,5695
2,13103,港区,1,05,50～99人,4,326,218,326,218,-,160455,199469,454476,454476,-,-,-,-,222342,237665,130638,20367,1260,15205
2,13104,新宿区,0,00,総数,247,5986,4363,6080,4446,2,2743211,5441410,10497973,9420037,994430,5830,1721,75955,4564411,4695495,1761285,161959,52734,108451
2,13104,新宿区,1,01,4～9人,122,738,504,745,511,2,253825,323655,800195,567427,203319,192,237,29020,442118,442118,…,…,…,…
2,13104,新宿区,1,02,10～19人,57,805,590,881,656,-,375999,2385893,3352865,3079734,270632,-,235,2264,895344,895344,…,…,…,…
2,13104,新宿区,1,03,20～29人,28,672,499,675,501,-,312540,519175,1093361,841695,230233,5638,526,15269,531798,531798,…,…,…,…
2,13104,新宿区,1,04,30～49人,22,848,622,849,623,-,379050,708874,1550761,1396439,138292,-,665,15365,747346,784899,554473,72754,18364,36307
2,13104,新宿区,1,05,50～99人,13,886,638,893,645,-,394690,875466,1599782,1524585,61865,-,-,13332,623447,672309,515092,16070,2240,27424
2,13104,新宿区,1,06,100～199人,3,436,329,436,329,-,x,x,x,x,x,-,x,x,x,x,x,x,x,x
2,13104,新宿区,1,08,300～499人,1,378,145,378,145,-,x,x,x,x,-,-,-,-,x,x,x,x,-,x
2,13104,新宿区,1,10,1000人以上,1,1223,1036,1223,1036,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
2,13105,文京区,0,00,総数,216,5257,3709,5557,3970,5,2447233,5005846,9878811,8329361,947824,4501,1399,595726,4477424,4523681,1675525,108923,8280,105972
2,13105,文京区,1,01,4～9人,116,709,477,704,472,5,251251,362007,807399,481367,287896,1701,60,36375,412729,412729,…,…,…,…
2,13105,文京区,1,02,10～19人,47,634,453,635,454,-,246727,455235,963887,725368,197693,503,56,40267,471410,471410,…,…,…,…
2,13105,文京区,1,03,20～29人,23,583,426,585,428,-,251988,530022,1049026,909838,105928,500,154,32606,483922,483922,…,…,…,…
2,13105,文京区,1,04,30～49人,13,517,389,524,393,-,260914,308660,785661,444382,211037,1797,1129,127316,427798,442851,332814,27618,1953,17545
2,13105,文京区,1,05,50～99人,12,778,521,778,521,-,354032,803214,1719953,1344094,145270,-,-,230589,828697,849996,709173,13818,2468,24877
2,13105,文京区,1,06,100～199人,2,231,149,231,149,-,x,x,x,x,-,-,-,x,x,x,x,x,x,x
2,13105,文京区,1,07,200～299人,2,449,302,449,302,-,x,x,x,x,-,-,-,x,x,x,x,x,x,x
2,13105,文京区,1,10,1000人以上,1,1356,992,1651,1251,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
2,13106,台東区,0,00,総数,362,3827,2420,3814,2409,17,1419890,3489297,6315019,5332109,606133,5173,482,371122,2611033,2619518,427660,29144,518,14795
2,13106,台東区,1,01,4～9人,241,1413,891,1396,878,17,461688,1033590,1861387,1503874,319380,3038,47,35048,766830,766830,…,…,…,…
2,13106,台東区,1,02,10～19人,83,1101,691,1102,692,-,435662,1151010,2024093,1808596,156703,1925,82,56787,809229,809229,…,…,…,…
2,13106,台東区,1,03,20～29人,23,539,359,540,360,-,216288,660141,1148774,983960,130050,210,345,34209,452577,452577,…,…,…,…
2,13106,台東区,1,04,30～49人,9,373,232,374,232,-,164195,445826,694206,526763,-,-,8,167435,230354,229584,130385,4833,215,5332
2,13106,台東区,1,05,50～99人,6,401,247,402,247,-,142057,198730,586559,508916,-,-,-,77643,352043,361298,297275,24311,303,9463
2,13107,墨田区,0,00,総数,703,12187,7986,12194,7992,32,5552887,12460999,26576924,24000828,1635748,18768,5877,915703,12920596,13136292,4366958,418918,61183,299174
2,13107,墨田区,1,01,4～9人,423,2585,1707,2577,1701,32,850362,1566524,3217166,2483580,643510,11218,1972,76886,1530115,1530115,…,…,…,…
2,13107,墨田区,1,02,10～19人,171,2301,1527,2304,1529,-,846375,1840044,3643325,2828051,633842,7017,515,173900,1675445,1675445,…,…,…,…
2,13107,墨田区,1,03,20～29人,56,1314,896,1314,896,-,556492,1279619,2456526,2166968,242643,533,3153,43229,1091967,1091967,…,…,…,…
2,13107,墨田区,1,04,30～49人,25,977,606,982,611,-,357675,762959,1706833,1544317,106250,-,-,56266,817517,883051,717614,149369,39024,66390
2,13107,墨田区,1,05,50～99人,18,1177,793,1177,793,-,537903,1343759,2270466,2067255,767,-,237,202207,808130,862192,953449,44773,5382,59189
2,13107,墨田区,1,06,100～199人,9,1184,826,1191,831,-,x,x,x,x,x,-,-,x,x,x,x,x,x,x
2,13107,墨田区,1,10,1000人以上,1,2649,1631,2649,1631,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
2,13108,江東区,0,00,総数,469,9242,6477,9285,6518,9,4051423,13815654,27773378,23584869,3051253,77917,1442,1057897,12520745,12977010,9211494,668366,101144,520745
2,13108,江東区,1,01,4～9人,229,1353,913,1346,906,9,478707,930776,1957689,1380240,520079,5953,384,51033,951074,951074,…,…,…,…
2,13108,江東区,1,02,10～19人,138,1882,1339,1892,1348,-,806226,3618737,5798570,4935020,584024,24709,458,254359,2018793,2018793,…,…,…,…
2,13108,江東区,1,03,20～29人,44,1059,772,1060,773,-,489553,2608398,5230224,4838740,312711,-,-,78773,2427719,2427719,…,…,…,…
2,13108,江東区,1,04,30～49人,26,1020,746,1020,746,-,440635,1897523,3185262,2798450,102400,3108,83,281221,1170886,1214572,1069673,310621,3967,54200
2,13108,江東区,1,05,50～99人,20,1374,1009,1376,1011,-,619385,2794758,4510005,4014510,263059,-,517,231919,1551730,1594148,1289578,42376,14477,80214
2,13108,江東区,1,06,100～199人,6,785,578,794,587,-,374358,687502,1642613,1072473,416858,44147,-,109135,849553,892391,925558,121263,27288,59919
2,13108,江東区,1,07,200～299人,3,705,389,708,392,-,244600,407680,1317200,1310909,-,-,-,6291,816281,845963,486479,13960,1196,29511
2,13108,江東区,1,08,300～499人,3,1064,731,1089,755,-,597959,870280,4131815,3234527,852122,-,-,45166,2734709,3032350,5440206,180146,54216,296901
2,13109,品川区,0,00,総数,322,5216,3796,5230,3806,8,2309136,4588918,9400327,7404666,1466211,82144,4495,442811,4428566,4486897,1385470,131550,40055,82238
2,13109,品川区,1,01,4～9人,164,1025,667,1025,662,7,371749,514385,1260951,964110,239418,16851,-,40572,691616,691616,…,…,…,…
2,13109,品川区,1,02,10～19人,98,1322,952,1326,957,1,540801,1068660,2183968,1801151,297395,10180,4369,70873,1035312,1035312,…,…,…,…
2,13109,品川区,1,03,20～29人,29,714,525,716,527,-,329029,608864,1310286,1027725,80511,8365,-,193685,654711,654711,…,…,…,…
2,13109,品川区,1,04,30～49人,14,555,446,555,446,-,272027,661286,1132708,1101495,8920,-,-,22293,429961,449280,356238,35328,6836,24607
2,13109,品川区,1,05,50～99人,12,788,581,788,581,-,421547,548639,1229410,794612,426309,-,126,8363,616779,635358,578502,60336,7816,29165
2,13109,品川区,1,06,100～199人,4,556,377,559,380,-,x,x,x,x,x,x,-,x,x,x,x,x,x,x
2,13109,品川区,1,07,200～299人,1,256,248,261,253,-,x,x,x,-,x,-,-,x,x,x,x,x,-,x
2,13110,目黒区,0,00,総数,122,2478,1694,2493,1710,6,1152245,2281940,4391392,3694088,281131,64498,2,351673,1924505,1972778,675884,242799,10118,41086
2,13110,目黒区,1,01,4～9人,59,327,209,321,204,6,116570,171038,370660,271201,68638,668,-,30153,184833,184833,…,…,…,…
2,13110,目黒区,1,02,10～19人,33,490,328,490,328,-,209854,337367,691453,516657,97210,7800,2,69784,328040,328040,…,…,…,…
2,13110,目黒区,1,03,20～29人,10,238,175,239,176,-,118092,304313,625985,550787,53773,19007,-,2418,297978,297978,…,…,…,…
