地域階層,地域コード,地域,従業者規模階層,従業者規模コード,従業者規模,事業所数,生産額（万円）,在庫額／製造品／年初（万円）,在庫額／製造品／年末（万円）,在庫額／半製品及び仕掛品／年初（万円）,在庫額／半製品及び仕掛品／年末（万円）,在庫額／原材料及び燃料／年初（万円）,在庫額／原材料及び燃料／年末（万円）,有形固定資産額／年初現在高／土地（万円）,有形固定資産額／年初現在高／土地以外（万円）,有形固定資産額／取得額／土地（万円）,有形固定資産額／取得額／土地以外／総計（万円）,有形固定資産額／取得額／土地以外／建物等（万円）,有形固定資産額／取得額／土地以外／機械等（万円）,有形固定資産額／取得額／土地以外／備品等（万円）,有形固定資産額／除却額／土地（万円）,有形固定資産額／除却額／土地以外（万円）,有形固定資産額／減価償却額（万円）,有形固定資産額／建設仮勘定／増（万円）,有形固定資産額／建設仮勘定／減（万円）,有形固定資産額／建設仮勘定／差引増減（万円）,有形固定資産額／投資総額（万円）
2,13206,府中市,1,07,1000人以上,3,48200091,1136324,1631096,9445249,11684274,474145,469910,60786,2818501,-,2745783,1970934,179283,595566,-,14710,273236,602517,564892,37625,2783408
2,13207,昭島市,0,00,総数,33,42210353,929951,1007601,3840486,4099200,701725,658497,962367,6288000,11809,1772320,60048,874106,838166,5392,231071,1908640,1474022,1477191,-3169,1780960
2,13207,昭島市,1,01,30～49人,11,634948,39373,42420,29763,35701,14530,18700,30833,75830,-,10627,3942,2520,4165,-,808,7290,4857,426,4431,15058
2,13207,昭島市,1,02,50～99人,6,1263260,23145,71724,19412,141750,42555,45784,119941,135938,11809,46069,2644,5609,37816,-,612,27073,11625,-,11625,69503
2,13207,昭島市,1,03,100～199人,6,3419840,122071,108367,295263,316505,22960,20957,95326,125928,-,25480,1692,11251,12537,5392,5998,33193,9437,2160,7277,32757
2,13207,昭島市,1,04,200～299人,3,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
2,13207,昭島市,1,05,300～499人,5,5614934,12218,10664,257796,278886,106373,123899,274336,488223,-,105118,14507,36564,54047,-,48382,100523,40101,49169,-9068,96050
2,13207,昭島市,1,07,1000人以上,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
2,13208,調布市,0,00,総数,10,3130964,137085,147360,175649,224985,250050,250964,414475,992440,-,61978,26846,23039,12093,-,8648,114666,15767,21471,-5704,56274
2,13208,調布市,1,01,30～49人,4,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,-,x,-,-,-,x
2,13208,調布市,1,02,50～99人,4,811011,4624,6899,40001,37247,54625,42571,133453,347819,-,24583,11815,9980,2788,-,7554,23443,-,6221,-6221,18362
2,13208,調布市,1,04,200～299人,1,x,-,-,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
2,13208,調布市,1,06,500～999人,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
2,13209,町田市,0,00,総数,32,6278923,94946,115654,473082,526699,488128,524124,718861,1512198,-,117636,38231,49123,30282,-,23426,144905,3330,3256,74,117710
2,13209,町田市,1,01,30～49人,14,1287478,35447,44901,74369,108425,66493,87008,177273,499914,-,28529,10257,10514,7758,-,17512,32161,26,-,26,28555
2,13209,町田市,1,02,50～99人,8,811705,27460,29350,14243,14707,32440,29228,232025,113986,-,30998,11100,15955,3943,-,18,14919,-,-,-,30998
2,13209,町田市,1,03,100～199人,7,2198056,26153,33995,103785,103667,256577,263222,217639,414557,-,40638,9851,13956,16831,-,1162,53898,-,-,-,40638
2,13209,町田市,1,05,300～499人,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
2,13209,町田市,1,06,500～999人,1,x,x,x,x,x,x,x,x,x,-,x,-,x,x,-,x,x,x,x,x,x
2,13210,小金井市,0,00,総数,1,x,x,x,x,x,x,x,x,x,-,x,x,-,x,-,x,x,x,x,x,x
2,13210,小金井市,1,03,100～199人,1,x,x,x,x,x,x,x,x,x,-,x,x,-,x,-,x,x,x,x,x,x
2,13211,小平市,0,00,総数,12,8900665,363550,380937,382469,355667,439079,390695,511900,1690872,-,301607,32910,179752,88945,59900,15030,249737,305021,277796,27225,328832
2,13211,小平市,1,01,30～49人,5,277714,1721,1655,3481,3556,5527,6138,77365,55845,-,5756,290,4506,960,-,1360,8300,-,-,-,5756
2,13211,小平市,1,02,50～99人,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
2,13211,小平市,1,03,100～199人,1,x,x,x,-,-,x,-,-,x,-,-,-,-,-,-,-,x,x,-,x,x
2,13211,小平市,1,04,200～299人,3,1172314,4804,68558,10746,10391,6872,7016,312117,587767,-,216230,29038,170050,17142,-,8192,115174,235349,208634,26715,242945
2,13211,小平市,1,07,1000人以上,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,x,x,x,x,x,x,x
2,13212,日野市,0,00,総数,16,44930791,710925,590642,1447957,764963,854862,913728,661389,8003757,-,1156110,445586,297636,412888,15335,111787,1109650,1177642,1021886,155756,1311866
2,13212,日野市,1,01,30～49人,4,190514,22267,23094,865,960,8700,7907,59818,32262,-,-,-,-,-,-,-,3605,158,-,158,158
2,13212,日野市,1,02,50～99人,2,x,x,x,-,-,x,x,x,x,-,x,-,x,x,-,-,x,-,-,-,x
2,13212,日野市,1,03,100～199人,4,1162557,17889,19963,27254,31060,22380,24680,78460,243174,-,91291,61268,26602,3421,-,2880,34362,540,-,540,91831
2,13212,日野市,1,04,200～299人,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,x,x,x,x,x,x,x
2,13212,日野市,1,06,500～999人,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
2,13212,日野市,1,07,1000人以上,3,39836334,279735,52180,954665,283428,261753,306775,401058,6040115,-,936142,338128,221524,376490,-,76066,902920,1091916,936358,155558,1091700
2,13213,東村山市,0,00,総数,25,6292247,159771,118852,119909,411820,291040,472180,976469,854293,154981,174207,79545,67785,26877,29869,25817,147741,-,898,-898,328290
2,13213,東村山市,1,01,30～49人,13,953080,60904,57094,11495,15013,37246,43371,213550,118238,-,7867,271,4011,3585,23392,3022,17043,-,-,-,7867
2,13213,東村山市,1,02,50～99人,8,1663864,47071,38623,17742,46225,127836,118287,96034,224822,154981,37225,5134,18788,13303,6477,993,37592,-,898,-898,191308
2,13213,東村山市,1,03,100～199人,1,x,-,-,x,x,x,x,x,x,-,x,-,x,x,-,-,x,-,-,-,x
2,13213,東村山市,1,04,200～299人,1,x,-,-,x,x,x,x,x,x,-,x,-,x,x,-,x,x,-,-,-,x
2,13213,東村山市,1,05,300～499人,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,-,-,-,x
2,13213,東村山市,1,06,500～999人,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,-,-,-,x
2,13214,国分寺市,0,00,総数,6,1444950,112204,131390,158195,189836,154304,186459,684828,329168,23245,63675,18145,17712,27818,45573,1765,42269,33511,31291,2220,89140
2,13214,国分寺市,1,01,30～49人,2,x,x,x,x,x,x,x,x,x,-,x,-,x,x,-,-,x,-,-,-,x
2,13214,国分寺市,1,02,50～99人,3,223099,26808,29814,12677,13208,25138,33872,71131,55430,23245,19459,15881,2444,1134,2131,-,3894,-,-,-,42704
2,13214,国分寺市,1,06,500～999人,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,x,x,x,x,x,x,x
2,13215,国立市,0,00,総数,3,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,-,-,-,x
2,13215,国立市,1,01,30～49人,1,x,x,x,x,x,x,x,x,x,-,x,-,-,x,-,-,x,-,-,-,x
2,13215,国立市,1,02,50～99人,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,-,-,-,x
2,13218,福生市,0,00,総数,8,1631483,14254,13520,20479,18820,53841,57566,95253,101271,-,14113,2011,10297,1805,-,91,18180,-,-,-,14113
2,13218,福生市,1,01,30～49人,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,-,x,-,-,-,x
2,13218,福生市,1,02,50～99人,5,601014,5832,4020,8030,8211,41840,43922,70775,92370,-,13055,1940,9347,1768,-,91,15909,-,-,-,13055
2,13218,福生市,1,05,300～499人,1,x,-,-,x,x,x,x,-,x,-,-,-,-,-,-,-,x,-,-,-,-
2,13219,狛江市,0,00,総数,5,908224,49202,34920,46402,23133,20966,19197,64974,39489,-,5005,149,2042,2814,10761,1378,6150,2287,2287,-,5005
2,13219,狛江市,1,01,30～49人,3,x,x,x,x,x,x,x,x,x,-,x,x,x,x,x,x,x,-,-,-,x
2,13219,狛江市,1,02,50～99人,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,x,x,x,x,x,-,x
2,13220,東大和市,0,00,総数,5,7964357,103343,97997,164061,191086,77451,87031,1631557,2243198,-,224789,122499,93898,8392,-,18055,242769,211181,203609,7572,232361
2,13220,東大和市,1,01,30～49人,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
2,13220,東大和市,1,02,50～99人,1,x,x,x,x,x,x,x,x,x,-,x,-,x,x,-,x,x,-,-,-,x
2,13220,東大和市,1,03,100～199人,1,x,x,x,x,x,x,x,x,x,-,x,-,x,x,-,x,x,-,-,-,x
2,13220,東大和市,1,06,500～999人,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
2,13221,清瀬市,0,00,総数,7,1671977,54628,61962,153093,155981,53940,63177,138105,619802,-,72920,27299,42755,2866,2095,31503,91516,188,238,-50,72870
2,13221,清瀬市,1,01,30～49人,2,x,x,x,x,x,x,x,x,x,-,x,-,x,x,x,x,x,-,x,x,x
2,13221,清瀬市,1,02,50～99人,3,820661,8771,4162,10884,10079,27017,32136,37341,59546,-,30101,3305,26501,295,-,18070,14734,-,-,-,30101
2,13221,清瀬市,1,04,200～299人,1,x,x,x,x,x,x,x,x,x,-,x,x,x,-,-,x,x,x,-,x,x
2,13221,清瀬市,1,05,300～499人,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,-,-,-,x
2,13222,東久留米市,0,00,総数,9,11310185,375200,345761,185364,224545,140834,115351,1599156,1639521,681,280849,45048,150673,85128,-,7709,244941,32379,44027,-11648,269882
2,13222,東久留米市,1,01,30～49人,3,208544,5476,7819,1574,1691,4679,4305,30111,43181,-,1662,455,772,435,-,193,4442,-,-,-,1662
2,13222,東久留米市,1,02,50～99人,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,-,-,-,x
2,13222,東久留米市,1,03,100～199人,2,x,x,x,x,x,x,x,x,x,-,x,-,-,x,-,x,x,-,-,-,x
2,13222,東久留米市,1,07,1000人以上,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,-,x,x,x,x,x,x
2,13223,武蔵村山市,0,00,総数,33,8157185,69214,92887,388725,478372,235894,247740,1103275,1186439,224,319654,97880,183363,38411,10810,111118,202983,70169,15338,54831,374709
2,13223,武蔵村山市,1,01,30～49人,10,830307,5754,11458,7766,17663,25106,32750,70947,132184,39,8782,2193,3995,2594,2374,900,15687,-,-,-,8821
2,13223,武蔵村山市,1,02,50～99人,13,1280288,21294,23903,39040,40975,20411,27377,244638,389280,185,165810,76167,86716,2927,8436,69737,55461,-,-,-,165995
2,13223,武蔵村山市,1,03,100～199人,7,2446724,20366,18936,76517,66734,115923,114331,509995,380053,-,76364,10720,37353,28291,-,35777,59057,3865,2865,1000,77364
2,13223,武蔵村山市,1,05,300～499人,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
2,13223,武蔵村山市,1,06,500～999人,2,x,x,x,x,x,x,x,-,x,-,x,x,x,x,-,x,x,x,-,x,x
2,13224,多摩市,0,00,総数,8,1987069,71038,60479,144099,131352,122004,127049,232963,307452,-,57473,7515,45663,4295,-,709,39844,-,-,-,57473
2,13224,多摩市,1,01,30～49人,3,x,x,x,x,x,x,x,x,x,-,x,-,-,x,-,-,x,-,-,-,x
2,13224,多摩市,1,02,50～99人,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,-,-,-,x
2,13224,多摩市,1,03,100～199人,3,1502631,37441,22747,119162,100833,70669,70972,153378,252741,-,54484,6867,43637,3980,-,628,34159,-,-,-,54484
2,13225,稲城市,0,00,総数,8,1978574,73017,63694,115809,82805,115944,97713,358802,1067987,3228,178142,64207,98716,15219,-,9521,160790,174086,173110,976,182346
2,13225,稲城市,1,01,30～49人,3,152706,612,392,5678,8335,19445,18697,20924,7069,-,1109,-,235,874,-,134,1904,350,-,350,1459
2,13225,稲城市,1,02,50～99人,2,x,x,-,x,x,x,x,x,x,-,x,x,x,x,-,x,x,-,-,-,x
2,13225,稲城市,1,03,100～199人,1,x,-,-,-,-,-,-,x,x,x,x,x,x,x,-,x,x,x,x,x,x
2,13225,稲城市,1,05,300～499人,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
2,13227,羽村市,0,00,総数,29,69386884,193705,186509,1083830,881472,441303,457374,864263,4660906,34155,1259342,425899,441154,392289,7540,70479,961074,609285,644164,-34879,1258618
2,13227,羽村市,1,01,30～49人,6,481765,33324,41150,24877,25277,31413,33898,34122,29361,9524,8119,597,577,6945,-,2635,9508,-,-,-,17643
2,13227,羽村市,1,02,50～99人,11,2695589,22426,20860,57632,60627,62135,70358,88816,304899,24631,101772,10300,74170,17302,-,4734,65232,17559,14853,2706,129109
2,13227,羽村市,1,03,100～199人,8,3164857,99352,83022,73572,70446,128308,120927,124604,984425,-,155413,22463,109122,23828,4525,3712,185106,23240,219,23021,178434
2,13227,羽村市,1,04,200～299人,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,x,x,x,x,x,x,x
2,13227,羽村市,1,06,500～999人,1,x,-,-,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
2,13227,羽村市,1,07,1000人以上,1,x,-,-,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
2,13228,あきる野市,0,00,総数,13,3174076,75038,67569,549467,481312,269082,263870,1048335,677510,-,88016,24357,22419,41240,-,4601,84530,2735,1992,743,88759
2,13228,あきる野市,1,01,30～49人,5,542344,4748,3655,56074,91854,18169,17188,113195,76426,-,14730,13895,234,601,-,-,9363,-,-,-,14730
2,13228,あきる野市,1,02,50～99人,2,x,-,-,x,-,x,x,x,x,-,x,x,x,x,-,-,x,-,-,-,x
2,13228,あきる野市,1,03,100～199人,5,1838059,67324,59149,350530,356100,229759,213556,867912,561384,-,65918,9910,17508,38500,-,3626,68416,2335,1585,750,66668
2,13228,あきる野市,1,04,200～299人,1,x,x,x,x,x,x,x,-,x,-,x,-,x,x,-,x,x,x,x,x,x
2,13229,西東京市,0,00,総数,5,2373726,16498,16847,519779,557600,29535,29300,728590,194990,-,138865,15962,69003,53900,67,1035,19144,5821,5140,681,139546
2,13229,西東京市,1,01,30～49人,1,x,-,-,x,x,-,-,-,x,-,x,x,x,-,-,x,x,x,x,-,x
2,13229,西東京市,1,02,50～99人,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,x,x,x,x,x,x,x
2,13229,西東京市,1,03,100～199人,1,x,x,x,x,x,x,x,x,x,-,x,-,-,x,-,-,x,-,-,-,x
2,13229,西東京市,1,05,300～499人,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,-,x,-,-,-,x
1,13300,郡部,0,00,総数,54,60496920,4878232,4248625,15090248,17859602,4411684,3999487,2377553,2679398,17887,1280270,659620,363339,257311,21665,45927,459487,267232,265538,1694,1299851
1,13300,郡部,1,01,30～49人,22,1731121,30377,45249,51414,47201,26767,25580,299399,192788,61,91085,15207,68304,7574,-,1588,49636,490,636,-146,91000
1,13300,郡部,1,02,50～99人,20,3548993,235422,146126,82550,68736,176966,238167,1023112,527136,-,59931,9711,36211,14009,-,2437,90600,7320,6914,406,60337
1,13300,郡部,1,03,100～199人,9,3631697,130873,110015,588394,700657,136012,152880,675296,580885,13437,64335,7942,46727,9666,-,28335,89892,13437,11835,1602,79374
1,13300,郡部,1,04,200～299人,2,x,-,-,x,x,x,-,x,x,-,x,x,-,x,-,x,x,-,-,-,x
1,13300,郡部,1,07,1000人以上,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2,13303,瑞穂町,0,00,総数,41,56983807,4772295,4176471,14242974,16983594,4220800,3734372,1763599,2249031,4450,1221428,651229,321154,249045,21665,19815,381981,256387,256149,238,1226116
2,13303,瑞穂町,1,01,30～49人,18,1484715,22169,36938,47579,43151,18992,18175,274655,168331,61,84718,14687,62587,7444,-,1588,43374,-,-,-,84779
2,13303,瑞穂町,1,02,50～99人,16,2772877,233673,141560,36655,26019,70385,70013,938174,475474,-,50729,9004,28291,13434,-,1891,81338,7320,6914,406,51135
2,13303,瑞穂町,1,03,100～199人,5,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,-,x
2,13303,瑞穂町,1,04,200～299人,1,x,-,-,x,x,x,-,-,x,-,-,-,-,-,-,-,x,-,-,-,-
2,13303,瑞穂町,1,07,1000人以上,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2,13305,日の出町,0,00,総数,13,3513113,105937,72154,847274,876008,190884,265115,613954,430367,13437,58842,8391,42185,8266,-,26112,77506,10845,9389,1456,73735
2,13305,日の出町,1,01,30～49人,4,246406,8208,8311,3835,4050,7775,7405,24744,24457,-,6367,520,5717,130,-,-,6262,490,636,-146,6221
2,13305,日の出町,1,02,50～99人,4,776116,1749,4566,45895,42717,106581,168154,84938,51662,-,9202,707,7920,575,-,546,9262,-,-,-,9202
2,13305,日の出町,1,03,100～199人,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,-,x,x,x,x,x,x
2,13305,日の出町,1,04,200～299人,1,x,-,-,x,x,-,-,x,x,-,x,x,-,x,-,x,x,-,-,-,x
2,13307,檜原村,0,00,総数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13308,奥多摩町,0,00,総数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,13350,島部,0,00,総数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13361,大島町,0,00,総数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13362,利島村,0,00,総数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13363,新島村,0,00,総数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13364,神津島村,0,00,総数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13381,三宅村,0,00,総数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13382,御蔵島村,0,00,総数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13401,八丈町,0,00,総数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13402,青ヶ島村,0,00,総数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13421,小笠原村,0,00,総数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018東京の工業　平成30年工業統計調査報告（平成29年実績）,,,,,,,,,,,,,,,,,,,,,,,,,,,
第6-2表　区市町村，従業者規模別統計表（従業者30人以上の事業所）,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0：東京都　1：区部・市部・郡部・島部　2：区市町村）,,,,,,,,,,,,,,,,,,,,,,,,,,,
従業者規模階層（0：総数、1：従業者規模）,,,,,,,,,,,,,,,,,,,,,,,,,,,
