平成27年(2015年),,,,,,,,(単位：隻、総トン）
国籍,隻数,総トン数,国籍,隻数,総トン数,国籍,隻数,総トン数
中国,"1,327","25,391,671",イギリス,71,"4,470,373",キリバス,8,"34,894"
(香港),"1,129","22,140,731",マルタ,65,"1,860,083",イタリア,6,"413,328"
パナマ,864,"28,574,231",モントセラト,49,"1,331,068",日本,4,"46,072"
シンガポール,639,"14,905,462",ポルトガル,48,"1,567,453",バヌアツ,3,"59,175"
リベリア,439,"11,243,449",台湾,43,"653,409",ロシア,3,"8,122"
韓国,396,"3,240,492",カンボジア,37,"104,531",トーゴ,2,"4,566"
アンティグア・バーブーダ,276,"3,576,923",ベリーズ,20,"64,257",オランダ,1,"61,214"
マーシャル諸島,257,"6,707,387",ジブラルタル,13,"314,575",フィリピン,1,"23,263"
バハマ,219,"3,759,969",タイ,12,"287,064",ニウエ,1,"8,343"
キプロス,210,"3,049,262",ベトナム,12,"250,644",マレーシア,1,"5,555"
ドイツ,113,"6,837,643",ノルウェー,9,"228,177",トルコ,1,"4,200"
蘭領アンティル,82,"736,244",シエラレオネ,8,"45,320",合計,"5,240","119,868,419"
