,,,,,
年次,船名,総トン数,,,
昭和21年(1946),鶴岡丸,"9,960",,,
　　22年(1947),第二天洋丸,"10,269",,,
　　23年(1948),第一日新丸,"11,781",,,
　　24年(1949),氷川丸,"11,621",,,
　　25年(1950),Ｕ．Ｓ．Ｓ．Ｎｏ１２４,"16,000",,,
　　26年(1951),日新丸,"16,810",,,
　　27年(1952),天洋丸,"11,224",,,
　　28年(1953),祐邦丸,"17,809",,,
　　29年(1954),日新丸,"16,810",,,
　　30年(1955),日新丸,"16,810",,,
　　31年(1956),つばめ丸,"20,960",,,
　　32年(1957),ＡＮＤＲＯＳ　ＭＡＩＤＥＮ,"13,909",,,
　　33年(1958),剛邦丸,"28,428",,,
　　34年(1959),ＡＮＤＲＯＳ　ＭＡＩＤＥＮ,"13,909",,,
　　35年(1960),ＡＮＤＯＲＯＳ　ＭＡＧＩＣ,"13,920",,,
　　36年(1961),ＫＯＮＧＳＴＥＩＮ,"15,828",,,
　　37年(1962),ＭＡＪＯＲＩＡＮ,"19,370",,,
　　38年(1963),ＯＲＩＥＮＴＡＬ　ＣＬＩＰＰＥＲ,"17,100",,,
　　39年(1964),ＮＥＡＰＯＬＩＳ,"24,068",,,
　　40年(1965),ＦＲＯＳＰＴＡ,"22,586",,,
　　41年(1966),ＭＴ．ＨＯＥＧＨ　ＦＵＬＭＡＲ,"22,699",,,
　　42年(1967),富氷丸,"35,289",,,
　　43年(1968),山秀丸,"24,487",,,
　　44年(1969),第二日新丸,"26,804",,,
　　45年(1970),第二日新丸,"26,804",,,
　　46年(1971),鎌倉丸,"51,138",,,
　　47年(1972),ＬＩＶＥＲＰＯＯＬ　ＢＡＹ,"58,889",,,
　　48年(1973),ＴＯＫＹＯ　ＢＡＹ,"58,889",,,
　　49年(1974),ＴＯＫＹＯ　ＢＡＹ,"58,889",,,
　　50年(1975),ＬＩＶＥＲＰＯＯＬ　ＢＡＹ,"58,889",,,
　　51年(1976),ＬＩＶＥＲＰＯＯＬ　ＢＡＹ,"58,889",,,
　　52年(1977),ＣＡＲＤＩＧＡＮ　ＢＡＹ,"58,889",,,
　　53年(1978),鞍馬丸,"59,294",,,
