,,,,,,,,,,,,,,(単位：隻、総トン),
係留施設別,,,合計,,,,外航,,,,内航,,,,
,,,隻 数,構成比,総トン数,構成比,隻 数,構成比,総トン数,構成比,隻 数,構成比,総トン数,構成比,
合計,,,"24,374",100.0%,"182,980,285",100.0%,"5,504",100.0%,"137,427,504",100.0%,"18,870",100.0%,"45,552,781",100.0%,
ドルフィン,,,49,0.2%,"32,373",0.0%,-,-,-,-,49,0.3%,"32,373",0.1%,
芝浦,,,699,2.9%,"1,134,009",0.6%,-,-,-,-,699,3.7%,"1,134,009",2.5%,
,,芝浦ふ頭,411,1.7%,"1,006,629",0.5%,-,-,-,-,411,2.2%,"1,006,629",2.2%,
,,芝浦物揚場,288,1.2%,"127,380",0.1%,-,-,-,-,288,1.5%,"127,380",0.3%,
日の出,,,91,0.4%,"65,751",0.0%,-,-,-,-,91,0.5%,"65,751",0.1%,
,,日の出ふ頭,91,0.4%,"65,751",0.0%,-,-,-,-,91,0.5%,"65,751",0.1%,
竹芝,,,"1,893",7.8%,"4,284,303",2.3%,-,-,-,-,"1,893",10.0%,"4,284,303",9.4%,
,,竹芝ふ頭,"1,893",7.8%,"4,284,303",2.3%,-,-,-,-,"1,893",10.0%,"4,284,303",9.4%,
品川,,,"1,780",7.3%,"19,102,843",10.4%,936,17.0%,"9,298,836",6.8%,844,4.5%,"9,804,007",21.5%,
,品川岸壁,,"1,780",7.3%,"19,102,843",10.4%,936,17.0%,"9,298,836",6.8%,844,4.5%,"9,804,007",21.5%,
,,品川コンテナ,945,3.9%,"8,673,376",4.7%,886,16.1%,"8,614,757",6.3%,59,0.3%,"58,619",0.1%,
,,品川外貿,50,0.2%,"684,079",0.4%,50,0.9%,"684,079",0.5%,-,-,-,-,
,,品川内貿,785,3.2%,"9,745,388",5.3%,-,-,-,-,785,4.2%,"9,745,388",21.3%,
晴海,,,109,0.4%,"1,967,129",1.1%,34,0.6%,"1,568,674",1.1%,75,0.4%,"398,455",0.9%,
,,晴海ふ頭,88,0.4%,"1,904,567",1.0%,34,0.6%,"1,568,674",1.1%,54,0.3%,"335,893",0.7%,
,,官公庁（晴海）,21,0.1%,"62,562",0.0%,-,-,-,-,21,0.1%,"62,562",0.1%,
月島,,,131,0.5%,"61,961",0.0%,2,0.0%,"2,422",0.0%,129,0.7%,"59,539",0.1%,
,,月島ふ頭,47,0.2%,"15,578",0.0%,-,-,-,-,47,0.2%,"15,578",0.0%,
,,漁業基地,25,0.1%,"34,706",0.0%,2,0.0%,"2,422",0.0%,23,0.1%,"32,284",0.1%,
,,官公庁（月島）,59,0.2%,"11,677",0.0%,-,-,-,-,59,0.3%,"11,677",0.0%,
10号地その2,,,"1,518",6.2%,"12,283,006",6.7%,-,-,-,-,"1,518",8.0%,"12,283,006",27.0%,
,,10号西岸壁,753,3.1%,"7,715,670",4.2%,-,-,-,-,753,4.0%,"7,715,670",16.9%,
,,10号東岸壁,418,1.7%,"182,644",0.1%,-,-,-,-,418,2.2%,"182,644",0.4%,
,,東京港フェリーふ頭,347,1.4%,"4,384,692",2.4%,-,-,-,-,347,1.8%,"4,384,692",9.6%,
10号地その1,,,26,0.1%,"60,835",0.0%,-,-,-,-,26,0.1%,"60,835",0.1%,
,,多目的ふ頭,26,0.1%,"60,835",0.0%,-,-,-,-,26,0.1%,"60,835",0.1%,
辰巳,,,937,3.8%,"329,072",0.2%,-,-,-,-,937,5.0%,"329,072",0.7%,
,,辰巳ふ頭,937,3.8%,"329,072",0.2%,-,-,-,-,937,5.0%,"329,072",0.7%,
13号地その2,,,"2,938",12.1%,"46,571,002",25.5%,"2,018",36.7%,"45,090,676",32.8%,920,4.9%,"1,480,326",3.2%,
,,青海コンテナふ頭（公共）,"1,598",6.6%,"18,897,446",10.3%,"1,059",19.2%,"18,452,388",13.4%,539,2.9%,"445,058",1.0%,
,,青海コンテナふ頭(埠頭㈱),919,3.8%,"23,938,945",13.1%,793,14.4%,"23,783,368",17.3%,126,0.7%,"155,577",0.3%,
,,お台場ライナーふ頭,421,1.7%,"3,734,611",2.0%,166,3.0%,"2,854,920",2.1%,255,1.4%,"879,691",1.9%,
13号地その1,,,75,0.3%,"83,815",0.0%,-,-,-,-,75,0.4%,"83,815",0.2%,
,,有明ふ頭,63,0.3%,"53,851",0.0%,-,-,-,-,63,0.3%,"53,851",0.1%,
,,官公庁（有明）,12,0.0%,"29,964",0.0%,-,-,-,-,12,0.1%,"29,964",0.1%,
大井,,,"3,415",14.0%,"79,146,226",43.3%,"2,190",39.8%,"77,654,218",56.5%,"1,225",6.5%,"1,492,008",3.3%,
,,大井コンテナふ頭,"3,107",12.7%,"77,124,089",42.1%,"2,036",37.0%,"75,672,406",55.1%,"1,071",5.7%,"1,451,683",3.2%,
,,大井水産物ふ頭,14,0.1%,"143,679",0.1%,8,0.1%,"131,422",0.1%,6,0.0%,"12,257",0.0%,
,,大井食品ふ頭（OL）,185,0.8%,"890,299",0.5%,37,0.7%,"862,231",0.6%,148,0.8%,"28,068",0.1%,
,,大井食品ふ頭（OM）,102,0.4%,"916,167",0.5%,102,1.9%,"916,167",0.7%,-,-,-,-,
,,大井食品ふ頭（ON）,7,0.0%,"71,992",0.0%,7,0.1%,"71,992",0.1%,-,-,-,-,
若洲,,,567,2.3%,"2,045,976",1.1%,14,0.3%,"407,267",0.3%,553,2.9%,"1,638,709",3.6%,
,,若洲内貿ふ頭,140,0.6%,"1,404,760",0.8%,-,-,-,-,140,0.7%,"1,404,760",3.1%,
,,15号地木材ふ頭,37,0.2%,"411,548",0.2%,14,0.3%,"407,267",0.3%,23,0.1%,"4,281",0.0%,
,,若洲建材ふ頭,390,1.6%,"229,668",0.1%,-,-,-,-,390,2.1%,"229,668",0.5%,
城南島,,,"1,751",7.2%,"1,065,801",0.6%,-,-,-,-,"1,751",9.3%,"1,065,801",2.3%,
,,大井建材ふ頭,"1,088",4.5%,"623,747",0.3%,-,-,-,-,"1,088",5.8%,"623,747",1.4%,
,,城南島建設発生土ふ頭,663,2.7%,"442,054",0.2%,-,-,-,-,663,3.5%,"442,054",1.0%,
中央防波堤,,,409,1.7%,"3,052,578",1.7%,19,0.3%,"264,384",0.2%,390,2.1%,"2,788,194",6.1%,
,,中央防波堤内側ばら物ふ頭,54,0.2%,"282,050",0.2%,19,0.3%,"264,384",0.2%,35,0.2%,"17,666",0.0%,
,,中央防波堤内側建設発生土ふ頭,104,0.4%,"123,463",0.1%,-,-,-,-,104,0.6%,"123,463",0.3%,
,,中央防波堤内側内貿ふ頭,251,1.0%,"2,647,065",1.4%,-,-,-,-,251,1.3%,"2,647,065",5.8%,
民間,,,"7,986",32.8%,"11,693,605",6.4%,291,5.3%,"3,141,027",2.3%,"7,695",40.8%,"8,552,578",18.8%,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
