平成26年(2014年),,,,,,,,(単位：隻、総トン）
国籍,隻数,総トン数,国籍,隻数,総トン数,国籍,隻数,総トン数
中国,"1,205","20,940,065",モントセラト,90,"3,227,178",シエラレオネ,11,"72,244"
(香港),"1,109","20,295,948",蘭領アンティル,79,"709,358",ジブラルタル,9,"357,327"
パナマ,"1,131","35,093,405",マルタ,71,"2,213,217",日本,6,"69,051"
シンガポール,516,"12,339,164",台湾,47,"784,885",バミューダ,5,"269,147"
リベリア,449,"9,969,413",イギリス,45,"1,867,749",キリバス,3,"7,185"
アンティグア・バーブーダ,376,"4,361,118",イタリア,25,"1,442,216",トーゴ,3,"5,194"
韓国,346,"2,712,157",ポルトガル,23,"631,051",ギリシャ,2,"108,838"
バハマ,247,"4,954,549",ベリーズ,20,"46,836",ロシア,2,"6,082"
マーシャル諸島,233,"5,998,599",ルクセンブルグ,15,"429,240",バヌアツ,2,"5,298"
キプロス,130,"1,931,487",フィリピン,12,"590,228",トルコ,1,"32,309"
ドイツ,113,"6,916,505",ノルウェー,12,"289,314",その他,8,"74,853"
カンボジア,94,"156,275",ベトナム,12,"250,644",合計,"5,343","118,862,181"
