,,,,,,,,,,,,(単位：隻、総トン）,,,,,,,,,,
年月,合計,,外航船,,,,,,内航船,,,,,,,,,,,,,
,,,計,,うちフルコン船,,うちセミコン船,,計,,うちカーフェリー,,,,,,,,,,,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,,,,,,,,,,
平成29年(2017年),"23,604","174,745,700","5,355","130,776,662","4,829","123,252,526",186,"2,398,717","18,249","43,969,038",352,"4,447,872",,,,,,,,,,
　　　１月　,"1,818","13,499,840",421,"10,125,135",378,"9,421,263",12,"124,137","1,397","3,374,705",28,"353,808",,,,,,,,,,
　　　２月　,"1,806","12,661,957",372,"9,304,989",339,"8,843,294",14,"196,002","1,434","3,356,968",29,"366,444",,,,,,,,,,
　　　３月　,"2,103","14,774,581",461,"10,923,935",420,"10,521,136",16,"206,639","1,642","3,850,646",31,"391,716",,,,,,,,,,
　　　４月　,"1,980","14,240,220",431,"10,667,022",385,"9,966,579",17,"258,747","1,549","3,573,198",31,"391,716",,,,,,,,,,
　　　５月　,"1,968","14,958,933",463,"11,350,917",420,"10,781,623",15,"194,283","1,505","3,608,016",25,"315,900",,,,,,,,,,
　　　６月　,"2,021","14,816,732",465,"11,272,140",414,"10,664,187",20,"235,255","1,556","3,544,592",28,"353,808",,,,,,,,,,
　　　７月　,"2,087","15,194,722",463,"11,223,283",416,"10,616,111",16,"183,923","1,624","3,971,439",31,"391,716",,,,,,,,,,
　　　８月　,"1,916","14,842,206",456,"11,144,715",415,"10,419,833",15,"206,116","1,460","3,697,491",30,"379,080",,,,,,,,,,
　　　９月　,"1,952","14,626,820",455,"10,967,752",408,"10,313,944",15,"210,204","1,497","3,659,068",30,"379,080",,,,,,,,,,
　　１０月　,"1,802","14,278,373",414,"10,681,810",379,"10,096,954",12,"161,213","1,388","3,596,563",30,"379,080",,,,,,,,,,
　　１１月　,"2,077","15,632,910",486,"11,817,620",430,"10,950,209",19,"239,016","1,591","3,815,290",29,"366,444",,,,,,,,,,
　　１２月　,"2,074","15,218,406",468,"11,297,344",425,"10,657,393",15,"183,182","1,606","3,921,062",30,"379,080",,,,,,,,,,
平成30年(2018年),"24,374","182,980,285","5,504","137,427,504","4,922","127,664,390",196,"3,009,677","18,870","45,552,781",347,"4,384,692",,,,,,,,,,
,103.3%,104.7%,102.8%,105.1%,101.9%,103.6%,105.4%,125.5%,103.4%,103.6%,98.6%,98.6%,,,,,,,,,,
　　　１月　,"1,834","14,432,925",440,"10,830,089",396,"10,023,439",16,"197,436","1,394","3,602,836",25,"315,900",,,,,,,,,,
,100.9%,106.9%,104.5%,107.0%,104.8%,106.4%,133.3%,159.0%,99.8%,106.8%,89.3%,89.3%,,,,,,,,,,
　　　２月　,"1,983","13,924,842",421,"10,359,544",380,"9,745,088",14,"240,500","1,562","3,565,298",28,"353,808",,,,,,,,,,
,109.8%,110.0%,113.2%,111.3%,112.1%,110.2%,100.0%,122.7%,108.9%,106.2%,96.6%,96.6%,,,,,,,,,,
　　　３月　,"2,105","14,753,593",450,"10,811,631",401,"10,104,406",17,"260,425","1,655","3,941,962",31,"391,716",,,,,,,,,,
,100.1%,99.9%,97.6%,99.0%,95.5%,96.0%,106.3%,126.0%,100.8%,102.4%,100.0%,100.0%,,,,,,,,,,
　　　４月　,"2,021","15,131,346",460,"11,352,932",406,"10,420,823",17,"288,208","1,561","3,778,414",29,"366,444",,,,,,,,,,
,102.1%,106.3%,106.7%,106.4%,105.5%,104.6%,100.0%,111.4%,100.8%,105.7%,93.5%,93.5%,,,,,,,,,,
　　　５月　,"2,069","15,293,599",478,"11,606,409",429,"10,727,677",17,"252,504","1,591","3,687,190",26,"328,536",,,,,,,,,,
,105.1%,102.2%,103.2%,102.3%,102.1%,99.5%,113.3%,130.0%,105.7%,102.2%,104.0%,104.0%,,,,,,,,,,
　　　６月　,"2,033","15,526,232",474,"11,652,580",419,"10,627,888",19,"287,773","1,559","3,873,652",31,"391,716",,,,,,,,,,
,100.6%,104.8%,101.9%,103.4%,101.2%,99.7%,95.0%,122.3%,100.2%,109.3%,110.7%,110.7%,,,,,,,,,,
　　　７月　,"2,093","16,001,895",469,"12,070,891",420,"11,245,191",18,"275,160","1,624","3,931,004",30,"379,080",,,,,,,,,,
,100.3%,105.3%,101.3%,107.6%,101.0%,105.9%,112.5%,149.6%,100.0%,99.0%,96.8%,96.8%,,,,,,,,,,
　　　８月　,"1,947","15,349,486",466,"11,763,846",416,"10,996,699",18,"288,780","1,481","3,585,640",30,"379,080",,,,,,,,,,
,101.6%,103.4%,102.2%,105.6%,100.2%,105.5%,120.0%,140.1%,101.4%,97.0%,100.0%,100.0%,,,,,,,,,,
　　　９月　,"1,935","15,011,329",450,"11,248,574",401,"10,424,311",16,"239,834","1,485","3,762,755",30,"379,080",,,,,,,,,,
,99.1%,102.6%,98.9%,102.6%,98.3%,101.1%,106.7%,114.1%,99.2%,102.8%,100.0%,100.0%,,,,,,,,,,
　　１０月　,"2,135","15,718,971",456,"11,688,322",403,"10,738,460",14,"222,607","1,679","4,030,649",32,"404,352",,,,,,,,,,
,118.5%,110.1%,110.1%,109.4%,106.3%,106.4%,116.7%,138.1%,121.0%,112.1%,106.7%,106.7%,,,,,,,,,,
　　１１月　,"2,131","16,211,014",477,"12,340,431",426,"11,407,990",16,"238,906","1,654","3,870,583",26,"328,536",,,,,,,,,,
,102.6%,103.7%,98.1%,104.4%,99.1%,104.2%,84.2%,100.0%,104.0%,101.4%,89.7%,89.7%,,,,,,,,,,
　　１２月　,"2,088","15,625,053",463,"11,702,255",425,"11,202,418",14,"217,544","1,625","3,922,798",29,"366,444",,,,,,,,,,
,100.7%,102.7%,98.9%,103.6%,100.0%,105.1%,93.3%,118.8%,101.2%,100.0%,96.7%,96.7%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
（注）下段：前年同月比,,,,,,,,,,,,,,,,,,,,,,
　　　セミコン船には、ＲＯＲＯ船を含む,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
