平成28年(2016年),,,,,,,,(単位：隻、総トン）
国籍,隻数,総トン数,国籍,隻数,総トン数,国籍,隻数,総トン数
中国,"1,414","26,603,644",蘭領アンティル,87,"778,954",シエラレオネ,5,"15,645"
(香港),"1,185","23,023,450",モントセラト,70,"4,093,409",バヌアツ,4,"77,753"
パナマ,879,"29,311,312",イギリス,50,"3,910,857",キリバス,3,"13,283"
シンガポール,662,"16,565,674",ポルトガル,43,"2,490,430",ギリシャ,2,"60,412"
リベリア,475,"14,119,322",台湾,38,"567,038",ベトナム,2,"38,550"
韓国,389,"3,343,993",フィリピン,27,"784,620",フランス,2,"21,936"
アンティグア・バーブーダ,276,"3,013,227",タイ,16,"385,851",クック諸島,2,"8,926"
マーシャル諸島,246,"4,911,985",ベリーズ,14,"32,507",トーゴ,2,"3,503"
キプロス,198,"3,688,303",カンボジア,13,"37,930",バミューダ,1,"77,499"
バハマ,157,"3,059,083",日本,10,"489,188",イタリア,1,"75,166"
マルタ,151,"3,226,843",ミクロネシア連邦,9,"19,837",その他,7,"102,758"
ドイツ,104,"6,349,138",ノルウェー,7,"216,287",合計,"5,366","128,494,863"
