,,,,,,,,,,,,(単位：隻、総トン）
年次,合計,,汽船,,,,,,,,機帆船,
,,,,,,,,,,,,
,,,外航船,,,,,,内航船,,,
,,,計,,外国船,,日本船,,,,,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
昭和 2年(1927),"1,654","2,834,270",,,,,,,,,,
　　 3年(1928),"1,869","3,399,091",,,,,,,,,,
　　 4年(1929),"1,935","3,501,399",,,,,,,,,,
　　 5年(1930),"1,972","3,823,450",,,,,,,,,,
　　 6年(1931),"2,387","4,881,684",,,,,,,,,,
　　 7年(1932),"2,715","5,858,121",,,,,,,,,,
　　 8年(1933),"2,904","6,587,307",,,,,,,,,,
　　 9年(1934),"3,037","7,258,167",,,,,,,,,,
　　10年(1935),"3,353","8,092,398",,,,,,,,,,
　　11年(1936),"3,822","8,346,549",,,,,,,,,,
　　12年(1937),"3,755","7,865,496",,,　戦前の統計が本船のみの統計であるため、,,,,,,,
　　13年(1938),"3,087","7,941,221",,,比較のために昭和３０年までを本船のみの,,,,,,,
　　14年(1939),"2,936","8,352,585",,,集計とした。,,,,,,,
　　15年(1940),"2,772","7,956,469",,,  なお、本船とは概ね第２区区域（竹芝、,,,,,,,
　　16年(1941),"2,337","6,723,542",,,日の出、芝浦、豊洲、晴海等）に係留した,,,,,,,
　　17年(1942),"1,879","5,788,010",,,総トン数５００トン以上の船舶であって、,,,,,,,
　　18年(1943),"1,036","3,001,477",,,都有施設（中央市場を除く）を使用したも,,,,,,,
　　19年(1944),518,"1,124,248",,,のである。,,,,,,,
　　20年(1945),727,"767,983",,,,,,,,,,
　　21年(1946),906,"1,637,863",,,,,,,,,,
　　22年(1947),768,"1,409,206",,,,,,,,,,
　　23年(1948),"1,124","2,221,988",,,,,,,,,,
　　24年(1949),"1,226","2,235,217",,,,,,,,,,
　　25年(1950),"2,336","3,536,212",,,,,,,,,,
　　26年(1951),"2,689","4,544,577",,,,,,,,,,
　　27年(1952),"2,492","4,374,898",,,,,,,,,,
　　28年(1953),"3,360","6,730,198",,,,,,,,,,
　　29年(1954),"3,736","7,585,706",,,,,,,,,,
　　30年(1955),"3,980","7,387,789",,,,,,,,,,
