平成29年(2017年),,,,,,,,(単位：隻、総トン）
国籍,隻数,総トン数,国籍,隻数,総トン数,国籍,隻数,総トン数
中国,"1,367","23,833,768",モントセラト,82,"6,421,912",ノルウェー,4,"125,584"
(香港),"1,219","21,193,327",ポルトガル,53,"2,146,848",ロシア,4,"15,659"
パナマ,964,"36,091,918",台湾,37,"838,400",バヌアツ,3,"56,819"
シンガポール,646,"16,589,453",ドイツ,31,"2,002,092",キリバス,3,"13,557"
リベリア,482,"13,581,072",イギリス,28,"910,465",カナダ,2,"9,870"
韓国,381,"3,501,999",日本,27,"2,295,644",マレーシア,1,"5,604"
アンティグア･バーブーダ,287,"2,796,646",フィリピン,26,"755,560",ベトナム,1,"5,552"
マーシャル諸島,246,"6,186,755",タイ,25,"621,809",ニュージーランド,1,"3,600"
バハマ,193,"3,579,490",ベリーズ,22,"80,884",ニウエ,1,"2,994"
キプロス,174,"3,233,997",イタリア,20,"1,293,364",メキシコ,1,"1,800"
マルタ,138,"2,926,659",トーゴ,11,"27,425",その他,1,"1,275"
蘭領アンティル,85,"783,090",シエラレオネ,8,"35,098",合計,"5,355","130,776,662"
