平成30年(2018年),,,,,,,,(単位：隻、総トン）
国籍,隻数,総トン数,国籍,隻数,総トン数,国籍,隻数,総トン数
中国,"1,483","23,727,682",蘭領アンティル,101,"906,862",セントビンセント,7,"45,183"
(香港),"1,305","20,366,263",モントセラト,89,"6,060,186",タイ,6,"149,730"
パナマ,"1,028","39,548,298",台湾,39,"1,321,392",デンマーク,4,"159,273"
シンガポール,541,"15,998,745",イタリア,35,"2,120,224",ベトナム,4,"28,980"
リベリア,464,"14,154,298",ベリーズ,31,"132,510",トーゴ,4,"12,662"
韓国,342,"3,390,812",イギリス,26,"1,839,561",バヌアツ,3,"54,271"
アンティグア･バーブーダ,303,"2,999,827",日本,22,"1,758,447",ミクロネシア連邦,2,"9,448"
マーシャル諸島,288,"8,550,023",ドイツ,19,"1,383,372",アメリカ,1,"54,367"
バハマ,244,"4,337,240",フィリピン,13,"315,462",インドネシア,1,"25,674"
キプロス,129,"2,106,286",ノルウェー,12,"388,068",オランダ,1,"9,298"
マルタ,125,"2,631,280",ロシア,12,"58,506",その他,2,"5,531"
ポルトガル,113,"3,106,123",シエラレオネ,10,"37,883",合計,"5,504","137,427,504"
