,,,,,,,(単位：隻、総トン、時間),
係留施設別,,,利用船舶,,,うち荷役船,,
,,,隻 数,総トン数,延時間,隻 数,総トン数,
合計,,,"27,023","186,578,454","391,676","21,217","176,022,697",
ドルフィン,,,50,"32,872",317,50,"32,872",
芝浦,,,"1,708","2,045,983","39,248",799,"1,843,868",
,,芝浦ふ頭,494,"1,702,380","12,348",490,"1,701,584",
,,芝浦物揚場,"1,214","343,603","26,900",309,"142,284",
日の出,,,93,"66,727","1,866",67,"21,327",
,,日の出ふ頭,93,"66,727","1,866",67,"21,327",
竹芝,,,"2,859","5,584,791","4,844",519,"3,328,094",
,,竹芝ふ頭,"2,859","5,584,791","4,844",519,"3,328,094",
品川,,,"1,790","19,140,537","14,840","1,733","19,081,550",
,品川岸壁,,"1,790","19,140,537","14,840","1,733","19,081,550",
,,品川コンテナ,953,"8,708,834","9,109",902,"8,652,611",
,,品川外貿,52,"686,315",482,50,"684,079",
,,品川内貿,785,"9,745,388","5,249",781,"9,744,860",
晴海,,,148,"2,014,901","22,187",3,"71,095",
,,晴海ふ頭,127,"1,952,339","11,949",1,"63,115",
,,官公庁（晴海）,21,"62,562","10,238",2,"7,980",
月島,,,142,"72,441","21,017",92,"26,018",
,,月島ふ頭,53,"16,615","4,821",31,"9,659",
,,漁業基地,30,"44,149","9,994",2,"4,682",
,,官公庁（月島）,59,"11,677","6,202",59,"11,677",
10号地その2,,,"1,576","12,300,658","28,653","1,222","7,914,415",
,,10号西岸壁,767,"7,718,456","12,980",767,"7,718,456",
,,10号東岸壁,462,"197,510","11,452",455,"195,959",
,,東京港フェリーふ頭,347,"4,384,692","4,221",-,-,
10号地その1,,,29,"73,700","4,537",1,698,
,,多目的ふ頭,29,"73,700","4,537",1,698,
辰巳,,,"1,006","358,420","41,986",834,"277,640",
,,辰巳ふ頭,"1,006","358,420","41,986",834,"277,640",
13号地その2,,,"2,999","47,276,685","49,584","2,761","46,961,649",
,,青海コンテナふ頭（公共）,"1,620","19,121,226","17,854","1,486","18,971,414",
,,青海コンテナふ頭(埠頭㈱),948,"24,388,601","9,662",864,"24,259,655",
,,お台場ライナーふ頭,431,"3,766,858","22,068",411,"3,730,580",
13号地その1,,,124,"90,973","23,219",-,-,
,,有明ふ頭,111,"58,512","19,050",-,-,
,,官公庁（有明）,13,"32,461","4,169",-,-,
大井,,,"3,486","79,308,325","37,632","3,149","78,927,069",
,,大井コンテナふ頭,"3,170","77,259,575","31,708","2,981","77,039,147",
,,大井水産物ふ頭,14,"143,679","1,150",12,"32,543",
,,大井食品ふ頭（OL）,191,"891,612","2,612",47,"867,220",
,,大井食品ふ頭（OM）,102,"916,167","1,167",102,"916,167",
,,大井食品ふ頭（ON）,9,"97,292",995,7,"71,992",
若洲,,,673,"2,057,647","4,617",554,"2,049,920",
,,若洲内貿ふ頭,140,"1,404,760","1,262",140,"1,404,760",
,,15号地木材ふ頭,43,"411,650",506,14,"407,267",
,,若洲建材ふ頭,490,"241,237","2,849",400,"237,893",
城南島,,,"1,827","1,113,454","36,344","1,601","955,256",
,,大井建材ふ頭,"1,163","670,720","7,232","1,136","655,465",
,,城南島建設発生土ふ頭,664,"442,734","29,112",465,"299,791",
中央防波堤,,,411,"3,052,729","6,436",408,"3,052,443",
,,中央防波堤内側ばら物ふ頭,56,"282,201","1,093",53,"281,915",
,,中央防波堤内側建設発生土ふ頭,104,"123,463",421,104,"123,463",
,,中央防波堤内側内貿ふ頭,251,"2,647,065","4,922",251,"2,647,065",
民間,,,"8,102","11,987,611","54,349","7,424","11,478,783",
,,,,,,,,
* 荷役船は、客船、カーフェリー、軍艦、パトロール船、曳舟・押船、訓練船、作業船、その他船舶を除く船,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
