地域階層,地域コード,地域,平成13年1月中,2月中,3月中,4月中,5月中,6月中,7月中,8月中,9月中,10月中,11月中,12月中
4,13362,利島村,1,0,-5,10,4,3,-1,-3,3,-1,-1,-1
4,13363,新島村,1,-6,-58,44,4,1,-3,-5,-3,-2,0,-4
4,13364,神津島村,-1,6,-40,20,1,1,4,7,-4,4,1,4
3,13380,三宅支庁,0,-1,-1,6,4,-1,3,-1,-5,0,-2,-2
4,13381,三宅村,0,0,0,0,0,0,0,0,0,0,0,0
4,13382,御蔵島村,0,-1,-1,6,4,-1,3,-1,-5,0,-2,-2
3,13400,八丈支庁,-29,-25,-86,67,9,8,5,-15,-7,-16,19,-4
4,13401,八丈町,-29,-25,-79,66,7,8,3,-16,-6,-16,20,-5
4,13402,青ヶ島村,0,0,-7,1,2,0,2,1,-1,0,-1,1
3,13420,小笠原支庁,2,-11,-44,39,9,-4,-5,17,-6,-14,5,-7
4,13421,小笠原村,2,-11,-44,39,9,-4,-5,17,-6,-14,5,-7
,,,,,,,,,,,,,,
人口の動き（平成13年中）,,,,,,,,,,,,,,
第３表  区市町村、月別増減人口（平成13年）,,,,,,,,,,,,,,
注１）平成12年国勢調査において三宅村の人口がゼロとなったため、その後の住民基本台帳等の増減数は三宅村には加えず、総数のみに加えた。このため総数と各区市町村の合計は一致 しない。,,,,,,,,,,,,,,
注２）田無市及び保谷市の合併による、新市「西東京市」の発足は平成13年1月21日であるため、1月中の増減人口は、田無・保谷両市の合算値を西東京市に記載した。なお、表側には田無市及び保谷市を残し、表側を統一した。,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,
