地域階層,地域コード,地域,平成5年／総数,平成5年／男,平成5年／女,平成6年／総数,平成6年／男,平成6年／女,平成7年／総数,平成7年／男,平成7年／女,平成8年／総数,平成8年／男,平成8年／女,平成9年／総数,平成9年／男,平成9年／女,平成10年／総数,平成10年／男,平成10年／女,平成11年／総数,平成11年／男,平成11年／女,平成12年／総数,平成12年／男,平成12年／女,平成13年／総数,平成13年／男,平成13年／女,平成14年／総数,平成14年／男,平成14年／女
0,13000,総数,11863250,5960222,5903028,11824784,5932434,5892350,11785176,5903261,5881915,11766175,5887839,5878336,11790107,5896742,5893355,11840937,5918923,5922014,11908664,5952254,5956410,11983971,5987932,5996039,12078270,6034003,6044267,12187714,6084755,6102959
1,13100,区部,8100016,4037849,4062167,8042920,4004074,4038846,7990789,3972741,4018048,7958234,3954173,4004061,7964404,3956879,4007525,7990000,3969007,4020993,8030320,3989865,4040455,8075722,4012294,4063428,8143171,4047483,4095688,8219622,4083393,4136229
1,13200,市部,3670551,1875180,1795371,3688871,1881012,1807859,3701281,1883197,1818084,3714770,1886348,1828422,3732892,1892834,1840048,3758655,1903276,1855379,3786274,1915901,1870373,3816468,1929368,1887100,3847191,1942213,1904978,3880686,1957350,1923336
2,13300,郡部,60827,30994,29833,61056,31074,29982,61144,31032,30112,61118,30978,30140,60944,30788,30156,60648,30559,30089,60520,30441,30079,60372,30276,30096,60332,30180,30152,60289,30166,30123
2,13350,島部,31856,16199,15657,31937,16274,15663,31962,16291,15671,32053,16340,15713,31867,16241,15626,31634,16081,15553,31550,16047,15503,31409,15994,15415,27594,14135,13459,27327,13961,13366
1,13100,区部,8100016,4037849,4062167,8042920,4004074,4038846,7990789,3972741,4018048,7958234,3954173,4004061,7964404,3956879,4007525,7990000,3969007,4020993,8030320,3989865,4040455,8075722,4012294,4063428,8143171,4047483,4095688,8219622,4083393,4136229
4,13101,千代田区,36933,17656,19277,35481,16887,18594,34967,16607,18360,34595,16335,18260,34944,16479,18465,34970,16427,18543,35068,16431,18637,35339,16531,18808,35873,16934,18939,36384,17319,19065
4,13102,中央区,66068,31866,34202,65052,31276,33776,64371,30922,33449,63964,30835,33129,64150,31003,33147,64805,31258,33547,66541,32135,34406,69695,33740,35955,73446,35698,37748,77300,37427,39873
4,13103,港区,148420,69310,79110,146202,68282,77920,145051,67790,77261,144435,67534,76901,148554,69509,79045,149628,70104,79524,152682,71668,81014,154593,72608,81985,160229,75370,84859,164534,77473,87061
4,13104,新宿区,285252,140407,144845,281694,138764,142930,279460,137590,141870,277748,137314,140434,276827,137446,139381,278986,138696,140290,281109,140018,141091,283010,140975,142035,287061,143432,143629,290574,145370,145204
4,13105,文京区,177050,85874,91176,174988,84793,90195,173063,84007,89056,171937,83541,88396,171043,83157,87886,171024,83278,87746,172045,83960,88085,174467,85315,89152,176118,86092,90026,178681,87321,91360
4,13106,台東区,159085,80061,79024,157289,79057,78232,155552,78164,77388,153554,77121,76433,153595,77370,76225,153139,77170,75969,153404,77407,75997,154864,78506,76358,157073,79727,77346,159152,80961,78191
4,13107,墨田区,219847,108873,110974,219203,108441,110762,217586,107535,110051,214914,106528,108386,214076,106054,108022,213861,105970,107891,213793,105941,107852,213665,105778,107887,216520,107145,109375,218536,108134,110402
4,13108,江東区,378958,190874,188084,374353,188230,186123,369813,185610,184203,363977,182530,181447,362321,181719,180602,365459,182935,182524,368215,184257,183958,371365,185764,185601,377639,188699,188940,386389,192928,193461
4,13109,品川区,336646,166675,169971,332016,164243,167773,327983,162179,165804,324605,160551,164054,322779,159810,162969,322637,159776,162861,323273,160240,163033,323385,160204,163181,324930,161062,163868,327364,162170,165194
4,13110,目黒区,245837,117902,127935,243702,116607,127095,242534,115935,126599,243144,115837,127307,244390,116432,127958,245182,116565,128617,246007,116865,129142,248065,117910,130155,250599,119050,131549,253129,120028,133101
4,13111,大田区,643825,326252,317573,640188,323895,316293,637162,321938,315224,635961,320821,315140,639031,322063,316968,641666,323379,318287,645163,324889,320274,647256,325790,321466,650189,327286,322903,654853,329656,325197
4,13112,世田谷区,785040,385870,399170,779850,382313,397537,778920,380861,398059,781753,381616,400137,787159,384245,402914,794866,388039,406827,800406,390989,409417,807682,395014,412668,814769,398905,415864,820632,401325,419307
4,13113,渋谷区,193990,92060,101930,191074,90719,100355,188954,89725,99229,188105,89353,98752,187267,88936,98331,188522,89891,98631,190487,90923,99564,193548,92517,101031,197316,94588,102728,199464,95689,103775
4,13114,中野区,316394,157666,158728,312838,155708,157130,308928,153446,155482,306322,152094,154228,306203,152018,154185,306473,152538,153935,307114,153063,154051,308342,154109,154233,309453,154708,154745,311188,155677,155511
4,13115,杉並区,527704,258985,268719,522925,255969,266956,518348,253392,264956,514728,251331,263397,514884,251258,263626,515899,251523,264376,517051,252073,264978,519008,252882,266126,522218,254703,267515,525552,256242,269310
4,13116,豊島区,256912,128797,128115,251853,126019,125834,248269,123961,124308,245743,122636,123107,243634,121788,121846,244781,122538,122243,245315,123081,122234,246868,123879,122989,249454,125661,123793,250888,126240,124648
4,13117,北区,347250,172439,174811,342769,170083,172686,337648,167391,170257,333488,165234,168254,331082,163888,167194,328332,162487,165845,327759,162460,165299,327215,162008,165207,325697,161361,164336,325953,161518,164435
4,13118,荒川区,181916,91784,90132,180263,90569,89694,178443,89317,89126,176231,88001,88230,175804,87858,87946,175263,87449,87814,176479,88071,88408,177739,88746,88993,181121,90394,90727,182934,91232,91702
4,13119,板橋区,521712,263382,258330,518661,261474,257187,512964,258215,254749,511289,257361,253928,510366,256630,253736,510431,256491,253940,511495,257049,254446,511810,257061,254749,514247,258533,255714,518599,260382,258217
4,13120,練馬区,629804,317035,312769,631581,317258,314323,633947,318030,315917,636570,318853,317717,639696,319650,320046,644115,321474,322641,649747,323808,325939,654565,325490,329075,659516,327787,331729,665975,330785,335190
4,13121,足立区,633232,320594,312638,629855,318567,311288,624861,315335,309526,621886,313280,308606,619083,311920,307163,617647,311229,306418,616703,310788,305915,616144,310353,305791,617197,310804,306393,619427,311533,307894
4,13122,葛飾区,426415,215076,211339,425874,214723,211151,424475,213659,210816,423485,213102,210383,422176,212504,209672,421418,212072,209346,422201,212431,209770,421448,212010,209438,421300,211862,209438,423673,212791,210882
4,13123,江戸川区,581726,298411,283315,585209,300197,285012,587490,301132,286358,589800,302365,287435,595340,305142,290198,600896,307718,293178,608263,311318,296945,615649,315104,300545,621206,317682,303524,628441,321192,307249
1,13200,市部,3670551,1875180,1795371,3688871,1881012,1807859,3701281,1883197,1818084,3714770,1886348,1828422,3732892,1892834,1840048,3758655,1903276,1855379,3786274,1915901,1870373,3816468,1929368,1887100,3847191,1942213,1904978,3880686,1957350,1923336
4,13201,八王子市,483154,249076,234078,489985,252377,237608,497595,255884,241711,503802,258531,245271,508526,260495,248031,515783,263704,252079,523735,267681,256054,531407,271453,259954,537268,274416,262852,541611,276223,265388
4,13202,立川市,155091,77882,77209,155250,77818,77432,156274,78215,78059,157680,78890,78790,158546,79321,79225,159715,79911,79804,161235,80811,80424,163832,82139,81693,164992,82614,82378,166427,83490,82937
4,13203,武蔵野市,137770,68321,69449,136831,67595,69236,135060,66463,68597,134810,66117,68693,134137,65760,68377,134617,65903,68714,135093,66067,69026,134857,65759,69098,135548,65968,69580,135847,66007,69840
4,13204,三鷹市,166962,85348,81614,166502,84739,81763,166007,84424,81583,165720,84158,81562,166560,84306,82254,167885,84817,83068,168585,85101,83484,170546,86035,84511,171925,86529,85396,173278,87047,86231
4,13205,青梅市,132428,67591,64837,134193,68247,65946,136278,69198,67080,137384,69694,67690,138765,70291,68474,139528,70558,68970,140507,70894,69613,141376,71277,70099,141370,71203,70167,141873,71396,70477
4,13206,府中市,213883,113531,100352,214931,113992,100939,215765,114027,101738,216704,114258,102446,218984,115216,103768,221143,116127,105016,223561,117331,106230,225437,118119,107318,227375,118821,108554,231767,121160,110607
4,13207,昭島市,106605,54372,52233,107124,54574,52550,107448,54610,52838,107382,54511,52871,107036,54265,52771,106774,54079,52695,107007,54143,52864,106168,53642,52526,106581,53809,52772,106910,53983,52927
4,13208,調布市,199872,102898,96974,199290,102263,97027,198417,101618,96799,198499,101354,97145,199702,101673,98029,201386,102449,98937,201962,102641,99321,202625,102814,99811,205266,104052,101214,206797,104784,102013
4,13209,町田市,356359,179151,177208,359540,180507,179033,360071,180497,179574,360449,180287,180162,361934,180747,181187,364644,181888,182756,367424,183124,184300,372823,185817,187006,379336,188828,190508,385878,191765,194113
4,13210,小金井市,107634,55143,52491,107837,55046,52791,108622,55234,53388,109732,55789,53943,110540,56153,54387,110887,56347,54540,110753,56360,54393,111257,56573,54684,112138,57008,55130,112286,57158,55128
4,13211,小平市,169448,86637,82811,170274,86820,83454,171278,87160,84118,173235,87926,85309,174601,88471,86130,174888,88213,86675,177088,89050,88038,178134,89381,88753,179096,89831,89265,180817,90536,90281
4,13212,日野市,167287,87875,79412,167158,87733,79425,167014,87231,79783,166708,86995,79713,167268,87229,80039,166964,86922,80042,167676,87309,80367,167923,87365,80558,167910,87054,80856,169191,87494,81697
4,13213,東村山市,135672,68090,67582,135998,68255,67743,135629,67981,67648,135009,67536,67473,135225,67558,67667,137401,68464,68937,139257,69423,69834,140974,70166,70808,142349,70766,71583,142725,70862,71863
4,13214,国分寺市,103463,53578,49885,104568,53935,50633,105315,54220,51095,105959,54393,51566,106613,54703,51910,107378,55090,52288,107695,55098,52597,108862,55574,53288,111774,56783,54991,113675,57519,56156
4,13215,国立市,66670,33892,32778,66541,33774,32767,66615,33794,32821,66660,33742,32918,67460,34176,33284,69079,34938,34141,70182,35356,34826,71431,35966,35465,72359,36438,35921,72921,36620,36301
4,13216,田無市,74998,37897,37101,74973,37807,37166,74418,37452,36966,75019,37684,37335,75725,37996,37729,77247,38714,38533,77440,38777,38663,78031,39223,38808,78251,39204,39047,0,0,0
