地域階層,地域コード,地域,平成14年1月1日現在人口,平成13年中の動き／増減人口総数,平成13年中の動き／社会動態／社会増減,平成13年中の動き／社会動態／転入,平成13年中の動き／社会動態／転出,平成13年中の動き／都内間の移動増減,平成13年中の動き／自然動態／自然増減,平成13年中の動き／自然動態／出生,平成13年中の動き／自然動態／死亡,平成13年中の動き／その他の増減／外国人登録人口,平成13年中の動き／その他の増減／記載・消除等,面積(km2),人口密度(1km2当たり）,平成13年1月1日現在人口 
4,13225,稲城市,70750,1266,442,2767,2325,492,331,680,349,39,-38,17.97,3937,69484
4,13227,羽村市,55939,-51,-130,1084,1214,-192,238,588,350,101,-68,9.91,5645,55990
4,13228,あきる野市,78928,404,227,1077,850,117,38,707,669,49,-27,73.34,1076,78524
4,13229,西東京市,182493,1746,911,6299,5388,239,320,1521,1201,227,49,15.85,11514,180747
1,13550,町村部,87616,-310,-269,1413,1682,129,-433,646,1079,55,16,781.68,112,87926
2,13300,郡部,60289,-43,-148,605,753,359,-297,419,716,42,1,375.96,160,60332
4,13303,瑞穂町,33265,307,-113,388,501,296,54,295,241,54,16,16.83,1977,32958
4,13305,日の出町,16478,-113,-7,166,173,64,-145,85,230,-11,-14,28.08,587,16591
4,13307,檜原村,3171,-81,2,15,13,-19,-61,9,70,-2,-1,105.42,30,3252
4,13308,奥多摩町,7375,-156,-30,36,66,18,-145,30,175,1,0,225.63,33,7531
2,13350,島部,27327,-267,-121,808,929,-230,-136,227,363,13,15,405.72,67,27594
3,13360,大島支庁,14595,-174,-28,335,363,-89,-73,108,181,9,7,141.82,103,14769
4,13361,大島町,9044,-155,-35,213,248,-75,-55,63,118,1,9,91.06,99,9199
4,13362,利島村,308,9,14,21,7,-5,-1,2,3,1,0,4.12,75,299
4,13363,新島村,3101,-31,-15,60,75,6,-18,23,41,-2,-2,27.77,112,3132
4,13364,神津島村,2142,3,8,41,33,-15,1,20,19,9,0,18.87,114,2139
3,13380,三宅支庁,312,0,-75,18,93,-93,-21,22,43,-1,-2,76.08,4,312
4,13381,三宅村,0,0,-80,3,83,-93,-16,21,37,-1,-2,55.5,0,0
4,13382,御蔵島村,312,0,5,15,10,0,-5,1,6,0,0,20.58,15,312
3,13400,八丈支庁,9635,-74,-43,249,292,3,-56,67,123,9,13,83.41,116,9709
4,13401,八丈町,9429,-72,-54,229,283,18,-58,63,121,9,13,72.62,130,9501
4,13402,青ヶ島村,206,-2,11,20,9,-15,2,4,2,0,0,5.98,34,208
3,13420,小笠原支庁,2785,-19,25,206,181,-51,14,30,16,-4,-3,104.41,27,2804
4,13421,小笠原村,2785,-19,25,206,181,-51,14,30,16,-4,-3,104.41,27,2804
,,,,,,,,,,,,,,,,
人口の動き（平成13年中）,,,,,,,,,,,,,,,,
第１表  区市町村、変動要因別人口 (平成13年）　　  ,,,,,,,　　  ,,,,,,,,,
注１)  面積は総務局行政部長通知 「東京都区市町村別の面積について」（平成14年2月18日付13総行区第496号）による平成13年10月1日現在の数値である。なお、区部には、荒川河口部（1.15k㎡）、中央防波堤埋立地（3.65k㎡）を含み、 八丈支庁には、鳥島（4.79k㎡)、ベヨネース列岩(0.00k㎡)、須美寿島(0.02k㎡)、孀婦岩（0.00k㎡)を含む。,,,,,,,,,,,,,,,,
注２）三宅村については、平成12年国勢調査による人口がゼロとなったため、その後の住民基本台帳等の増減数は、「平成13年中の動き」の変動要因には表記しているが、三宅村の増減人口総数には加えず増減人口総数の総数のみに加えた。このため人口及び増減人口総数の総数と各区市町村の合計は一致しない。,,,,,,,,,,,,,,,,
注３）田無市と保谷市の合併による西東京市の発足は平成13年1月21日であるが、比較を容易にするため、平成13年1月1日現在の人口は「西東京市」として表章した。,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,,,
