地域階層,地域コード,地域,平成3年中,平成4年中,平成5年中,平成6年中,平成7年中,平成8年中,平成9年中,平成10年中,平成11年中,平成12年中,平成13年中,（再掲5年間）平成9年～13年,（再掲10年間）平成4年～13年
0,13000,総数,21832,-9661,-38466,-39608,-19001,23932,50830,67727,75307,94299,109444,397607,314803
1,13100,区部,-15482,-37532,-57096,-52131,-32555,6170,25596,40320,45402,67449,76451,255218,82074
1,13200,市部,37097,27911,18320,12410,13489,18122,25763,27619,30194,30723,33495,147794,238046
2,13300,郡部,500,178,229,88,-26,-174,-296,-128,-148,-40,-43,-655,-360
2,13350,島部,-283,-218,81,25,91,-186,-233,-84,-141,-3815,-267,-4540,-4747
1,13100,区部,-15482,-37532,-57096,-52131,-32555,6170,25596,40320,45402,67449,76451,255218,82074
4,13101,千代田区,-1291,-1196,-1452,-514,-372,349,26,98,271,534,511,1440,-1745
4,13102,中央区,-499,-1162,-1016,-681,-407,186,655,1736,3154,3751,3854,13150,10070
4,13103,港区,-4116,-4328,-2218,-1151,-616,4119,1074,3054,1911,5636,4305,15980,11786
4,13104,新宿区,-5175,-4790,-3558,-2234,-1712,-921,2159,2123,1901,4051,3513,13747,532
4,13105,文京区,-1753,-1739,-2062,-1925,-1126,-894,-19,1021,2422,1651,2563,7638,-108
4,13106,台東区,-1852,-1702,-1796,-1737,-1998,41,-456,265,1460,2209,2079,5557,-1635
4,13107,墨田区,-1488,-1080,-644,-1617,-2672,-838,-215,-68,-128,2855,2016,4460,-2391
4,13108,江東区,-2726,-2812,-4605,-4540,-5836,-1656,3138,2756,3150,6274,8750,24068,4619
4,13109,品川区,-3481,-3275,-4630,-4033,-3378,-1826,-142,636,112,1545,2434,4585,-12557
4,13110,目黒区,-2150,-2800,-2135,-1168,610,1246,792,825,2058,2534,2530,8739,4492
4,13111,大田区,-1119,-1998,-3637,-3026,-1201,3070,2635,3497,2093,2933,4664,15822,9030
4,13112,世田谷区,-1142,-2604,-5190,-930,2833,5406,7707,5540,7276,7087,5863,33473,32988
4,13113,渋谷区,-5088,-4984,-2916,-2120,-849,-838,1255,1965,3061,3768,2148,12197,490
4,13114,中野区,-1013,-1509,-3556,-3910,-2606,-119,270,641,1228,1111,1735,4985,-6715
4,13115,杉並区,528,-1778,-4779,-4577,-3620,156,1015,1152,1957,3210,3334,10668,-3930
4,13116,豊島区,-2389,-2479,-5059,-3584,-2526,-2109,1147,534,1553,2586,1434,7254,-8503
4,13117,北区,-3924,-2968,-4481,-5121,-4160,-2406,-2750,-573,-544,-1518,256,-5129,-24265
4,13118,荒川区,-675,-1805,-1653,-1820,-2212,-427,-541,1216,1260,3382,1813,7130,-787
4,13119,板橋区,3998,-1294,-3051,-5697,-1675,-923,65,1064,315,2437,4352,8233,-4407
4,13120,練馬区,6647,3545,1777,2366,2623,3126,4419,5632,4818,4951,6459,26279,39716
4,13121,足立区,1646,560,-3377,-4994,-2975,-2803,-1436,-944,-559,1053,2230,344,-13245
4,13122,葛飾区,1846,-132,-541,-1399,-990,-1309,-758,783,-753,-148,2373,1497,-2874
4,13123,江戸川区,9734,4798,3483,2281,2310,5540,5556,7367,7386,5557,7235,33101,51513
1,13200,市部,37097,27911,18320,12410,13489,18122,25763,27619,30194,30723,33495,147794,238046
4,13201,八王子市,8903,6939,6831,7610,6207,4724,7257,7952,7672,5861,4343,33085,65396
4,13202,立川市,1288,767,159,1024,1406,866,1169,1520,2597,1160,1435,7881,12103
4,13203,武蔵野市,140,-1478,-939,-1771,-250,-673,480,476,-236,691,299,1710,-3401
4,13204,三鷹市,1412,150,-460,-495,-287,840,1325,700,1961,1379,1353,6718,6466
4,13205,青梅市,2367,3278,1765,2085,1106,1381,763,979,869,-6,503,3108,12723
4,13206,府中市,1641,2292,1048,834,939,2280,2159,2418,1876,1938,4392,12783,20176
4,13207,昭島市,516,568,519,324,-66,-346,-262,233,-839,413,329,-126,873
4,13208,調布市,1412,881,-582,-873,82,1203,1684,576,663,2641,1531,7095,7806
4,13209,町田市,3453,3246,3181,531,378,1485,2710,2780,5399,6513,6542,23944,32765
4,13210,小金井市,1713,-204,203,785,1110,808,347,-134,504,881,148,1746,4448
4,13211,小平市,2632,2467,826,1004,1957,1366,287,2200,1046,962,1721,6216,13836
4,13212,日野市,1386,120,-129,-144,-306,560,-304,712,247,-13,1281,1923,2024
4,13213,東村山市,888,511,326,-369,-620,216,2176,1856,1717,1375,376,7500,7564
4,13214,国分寺市,1076,1110,1105,747,644,654,765,317,1167,2912,1901,7062,11322
4,13215,国立市,610,93,-129,74,45,800,1619,1103,1249,928,562,5461,6344
4,13216,田無市,22,-199,-25,-555,601,706,1522,193,591,220,0,2526,3054
4,13217,保谷市,1197,840,771,833,1298,9,374,1130,926,-20,0,2410,6161
4,13218,福生市,1108,630,659,590,252,-120,146,-11,-98,34,229,300,2311
4,13219,狛江市,285,180,280,-319,69,-54,-105,915,188,147,607,1752,1908
4,13220,東大和市,430,244,385,210,-95,611,-493,-610,534,803,1245,1479,2834
4,13221,清瀬市,-71,-102,81,103,-44,66,3,136,75,138,959,1311,1415
4,13222,東久留米市,-493,-473,-660,-68,-878,294,784,1046,-104,-171,636,2191,406
4,13223,武蔵村山市,307,908,423,231,-473,-678,223,-263,-209,-23,92,-180,231
4,13224,多摩市,1774,1610,854,-569,-646,-803,-177,-440,-523,-466,-354,-1960,-1514
4,13225,稲城市,714,1984,954,-133,725,1227,710,968,1878,1688,1266,6510,11267
4,13227,羽村市,1245,600,196,394,336,0,135,526,285,-82,-51,813,2339
4,13228,あきる野市,1142,949,678,327,-1,700,466,341,759,820,404,2790,5443
4,13229,西東京市,0,0,0,0,0,0,0,0,0,0,1746,1746,1746
1,13550,町村部,217,-40,310,113,65,-360,-529,-212,-289,-3855,-310,-5195,-5107
2,13300,郡部,500,178,229,88,-26,-174,-296,-128,-148,-40,-43,-655,-360
4,13303,瑞穂町,589,279,254,297,8,-76,-27,18,105,322,307,725,1487
4,13305,日の出町,84,122,57,-20,28,72,-108,118,-83,-132,-113,-318,-59
4,13307,檜原村,-44,-35,-45,-65,-67,-44,-47,-91,-38,-71,-81,-328,-584
4,13308,奥多摩町,-129,-188,-37,-124,5,-126,-114,-173,-132,-159,-156,-734,-1204
2,13350,島部,-283,-218,81,25,91,-186,-233,-84,-141,-3815,-267,-4540,-4747
3,13360,大島支庁,-225,-171,-159,-167,15,-142,-161,-98,-128,-131,-174,-692,-1316
4,13361,大島町,-118,-101,-52,-76,48,-116,-151,-51,-110,-62,-155,-529,-826
4,13362,利島村,-8,6,4,8,-6,-3,7,1,-13,-8,9,-4,5
4,13363,新島村,-61,-79,-94,-94,-23,1,4,-19,15,-30,-31,-61,-350
4,13364,神津島村,-38,3,-17,-5,-4,-24,-21,-29,-20,-31,3,-98,-145
3,13380,三宅支庁,-92,-67,65,31,-52,-47,-6,-88,-25,-3609,0,-3728,-3798
4,13381,三宅村,-90,-48,62,31,-49,-52,-15,-89,-24,-3633,0,-3761,-3817
4,13382,御蔵島村,-2,-19,3,0,-3,5,9,1,-1,24,0,33,19
3,13400,八丈支庁,-73,-55,52,61,97,32,-55,34,15,-37,-74,-117,70
4,13401,八丈町,-83,-57,45,59,85,34,-35,44,13,-35,-72,-85,81
4,13402,青ヶ島村,10,2,7,2,12,-2,-20,-10,2,-2,-2,-32,-11
3,13420,小笠原支庁,107,75,123,100,31,-29,-11,68,-3,-38,-19,-3,297
4,13421,小笠原村,107,75,123,100,31,-29,-11,68,-3,-38,-19,-3,297
,,,,,,,,,,,,,,,
人口の動き（平成13年中）,,,,,,,,,,,,,,,
第５表  区市町村、年別増減人口（平成3年～13年）,,,,,,,,,,,,,,,
注１）平成12年国勢調査において三宅村の人口がゼロとなったため、その後の住民基本台帳等の増減数は三宅村には加えず、総数のみに加えた。このため、平成12、13年中の総数と各区市町村の合計は一致しない。,,,,,,,,,,,,,,,
注２）平成13年中の西東京市については、前年の田無市及び保谷市の合算値と比較した。,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,,
