"年月日[西暦]","所管","町丁目","事業所数","従業者数[人]"
"20160210","芝地区総合支所","芝１丁目","279","5807"
"20160210","芝地区総合支所","芝２丁目","560","15522"
"20160210","芝地区総合支所","芝３丁目","526","17344"
"20160210","芝地区総合支所","芝４丁目","377","15897"
"20160210","芝地区総合支所","芝５丁目","1050","30624"
"20160210","芝地区総合支所","海岸１丁目","359","19515"
"20160210","芝地区総合支所","東新橋１丁目","444","52402"
"20160210","芝地区総合支所","東新橋２丁目","272","6742"
"20160210","芝地区総合支所","新橋１丁目","444","7076"
"20160210","芝地区総合支所","新橋２丁目","1042","12623"
"20160210","芝地区総合支所","新橋３丁目","621","6778"
"20160210","芝地区総合支所","新橋４丁目","419","5100"
"20160210","芝地区総合支所","新橋５丁目","672","11719"
"20160210","芝地区総合支所","新橋６丁目","427","10763"
"20160210","芝地区総合支所","西新橋１丁目","1058","16323"
"20160210","芝地区総合支所","西新橋２丁目","606","11572"
"20160210","芝地区総合支所","西新橋３丁目","452","11823"
"20160210","芝地区総合支所","三田１丁目","229","9191"
"20160210","芝地区総合支所","三田２丁目","236","15745"
"20160210","芝地区総合支所","三田３丁目","492","20292"
"20160210","芝地区総合支所","浜松町１丁目","619","9305"
"20160210","芝地区総合支所","浜松町２丁目","655","14201"
"20160210","芝地区総合支所","芝大門１丁目","505","11228"
"20160210","芝地区総合支所","芝大門２丁目","472","7675"
"20160210","芝地区総合支所","芝公園１丁目","132","2722"
"20160210","芝地区総合支所","芝公園２丁目","266","10481"
"20160210","芝地区総合支所","芝公園３丁目","156","2796"
"20160210","芝地区総合支所","芝公園４丁目","82","3965"
"20160210","芝地区総合支所","虎ノ門１丁目","838","22702"
"20160210","芝地区総合支所","虎ノ門２丁目","409","15697"
"20160210","芝地区総合支所","虎ノ門３丁目","483","10248"
"20160210","芝地区総合支所","虎ノ門４丁目","381","15991"
"20160210","芝地区総合支所","虎ノ門５丁目","332","4152"
"20160210","芝地区総合支所","愛宕１丁目","61","653"
"20160210","芝地区総合支所","愛宕２丁目","75","4577"
"20160210","麻布地区総合支所","麻布狸穴町　合計","4","20"
"20160210","麻布地区総合支所","麻布永坂町　合計","18","140"
"20160210","麻布地区総合支所","南麻布１丁目","123","1490"
"20160210","麻布地区総合支所","南麻布２丁目","137","2547"
"20160210","麻布地区総合支所","南麻布３丁目","69","1727"
"20160210","麻布地区総合支所","南麻布４丁目","189","1850"
"20160210","麻布地区総合支所","南麻布５丁目","216","2649"
"20160210","麻布地区総合支所","元麻布１丁目","45","332"
"20160210","麻布地区総合支所","元麻布２丁目","42","452"
"20160210","麻布地区総合支所","元麻布３丁目","116","1039"
"20160210","麻布地区総合支所","西麻布１丁目","263","3571"
"20160210","麻布地区総合支所","西麻布２丁目","200","2911"
"20160210","麻布地区総合支所","西麻布３丁目","259","3562"
"20160210","麻布地区総合支所","西麻布４丁目","229","2389"
"20160210","麻布地区総合支所","六本木１丁目","251","11563"
"20160210","麻布地区総合支所","六本木２丁目","84","1397"
"20160210","麻布地区総合支所","六本木３丁目","491","8642"
"20160210","麻布地区総合支所","六本木４丁目","285","3096"
"20160210","麻布地区総合支所","六本木５丁目","265","5256"
"20160210","麻布地区総合支所","六本木６丁目","554","21338"
"20160210","麻布地区総合支所","六本木７丁目","511","5136"
"20160210","麻布地区総合支所","麻布台１丁目","141","2870"
"20160210","麻布地区総合支所","麻布台２丁目","71","1579"
"20160210","麻布地区総合支所","麻布台３丁目","64","516"
"20160210","麻布地区総合支所","麻布十番１丁目","279","2667"
"20160210","麻布地区総合支所","麻布十番２丁目","298","2477"
"20160210","麻布地区総合支所","麻布十番３丁目","84","741"
"20160210","麻布地区総合支所","麻布十番４丁目","21","202"
"20160210","麻布地区総合支所","東麻布１丁目","209","2161"
"20160210","麻布地区総合支所","東麻布２丁目","150","2119"
"20160210","麻布地区総合支所","東麻布３丁目","118","1255"
"20160210","赤坂地区総合支所","元赤坂１丁目","322","13045"
"20160210","赤坂地区総合支所","元赤坂２丁目","8","575"
"20160210","赤坂地区総合支所","赤坂１丁目","515","23675"
"20160210","赤坂地区総合支所","赤坂２丁目","881","19797"
"20160210","赤坂地区総合支所","赤坂３丁目","771","11468"
"20160210","赤坂地区総合支所","赤坂４丁目","421","10183"
"20160210","赤坂地区総合支所","赤坂５丁目","307","15772"
"20160210","赤坂地区総合支所","赤坂６丁目","372","7348"
"20160210","赤坂地区総合支所","赤坂７丁目","387","5517"
"20160210","赤坂地区総合支所","赤坂８丁目","197","8380"
"20160210","赤坂地区総合支所","赤坂９丁目","332","15506"
"20160210","赤坂地区総合支所","南青山１丁目","364","6500"
"20160210","赤坂地区総合支所","南青山２丁目","832","11654"
"20160210","赤坂地区総合支所","南青山３丁目","453","7917"
"20160210","赤坂地区総合支所","南青山４丁目","221","1911"
"20160210","赤坂地区総合支所","南青山５丁目","860","11980"
"20160210","赤坂地区総合支所","南青山６丁目","311","3549"
"20160210","赤坂地区総合支所","南青山７丁目","93","991"
"20160210","赤坂地区総合支所","北青山１丁目","161","3757"
"20160210","赤坂地区総合支所","北青山２丁目","312","10001"
"20160210","赤坂地区総合支所","北青山３丁目","545","11562"
"20160210","高輪地区総合支所","三田４丁目","155","1514"
"20160210","高輪地区総合支所","三田５丁目","135","1003"
"20160210","高輪地区総合支所","高輪１丁目","245","2322"
"20160210","高輪地区総合支所","高輪２丁目","374","10328"
"20160210","高輪地区総合支所","高輪３丁目","581","12830"
"20160210","高輪地区総合支所","高輪４丁目","364","11092"
"20160210","高輪地区総合支所","白金１丁目","281","4963"
"20160210","高輪地区総合支所","白金２丁目","38","340"
"20160210","高輪地区総合支所","白金３丁目","147","851"
"20160210","高輪地区総合支所","白金４丁目","39","394"
"20160210","高輪地区総合支所","白金５丁目","85","1673"
"20160210","高輪地区総合支所","白金６丁目","95","500"
"20160210","高輪地区総合支所","白金台１丁目","59","2776"
"20160210","高輪地区総合支所","白金台２丁目","115","1097"
"20160210","高輪地区総合支所","白金台３丁目","176","1966"
"20160210","高輪地区総合支所","白金台４丁目","99","1196"
