No,生産地  ,Breeding location,検査結果(Bq/kg) ,Level of radioactive contaminants(Bq/kg) ,備考,Notes
1,北海道,Hokkaido,検出せず,ND（not detectable),,
2,北海道,Hokkaido,検出せず,ND（not detectable),,
3,北海道,Hokkaido,検出せず,ND（not detectable),,
4,北海道,Hokkaido,検出せず,ND（not detectable),,
5,北海道,Hokkaido,検出せず,ND（not detectable),,
6,北海道,Hokkaido,検出せず,ND（not detectable),,
7,北海道,Hokkaido,検出せず,ND（not detectable),,
8,北海道,Hokkaido,検出せず,ND（not detectable),,
9,北海道,Hokkaido,検出せず,ND（not detectable),,
10,北海道,Hokkaido,検出せず,ND（not detectable),,
11,北海道,Hokkaido,検出せず,ND（not detectable),,
12,北海道,Hokkaido,検出せず,ND（not detectable),,
13,北海道,Hokkaido,検出せず,ND（not detectable),,
14,北海道,Hokkaido,検出せず,ND（not detectable),,
15,北海道,Hokkaido,検出せず,ND（not detectable),,
16,北海道,Hokkaido,検出せず,ND（not detectable),,
17,北海道,Hokkaido,検出せず,ND（not detectable),,
18,北海道,Hokkaido,検出せず,ND（not detectable),,
19,北海道,Hokkaido,検出せず,ND（not detectable),,
20,北海道,Hokkaido,検出せず,ND（not detectable),,
21,北海道,Hokkaido,検出せず,ND（not detectable),,
22,北海道,Hokkaido,検出せず,ND（not detectable),,
23,北海道,Hokkaido,検出せず,ND（not detectable),,
24,栃木,Tochigi,検出せず,ND（not detectable),,
25,栃木,Tochigi,検出せず,ND（not detectable),,
26,栃木,Tochigi,検出せず,ND（not detectable),,
27,栃木,Tochigi,検出せず,ND（not detectable),,
28,栃木,Tochigi,検出せず,ND（not detectable),,
29,栃木,Tochigi,検出せず,ND（not detectable),,
30,栃木,Tochigi,検出せず,ND（not detectable),,
31,栃木,Tochigi,検出せず,ND（not detectable),,
32,栃木,Tochigi,検出せず,ND（not detectable),,
33,栃木,Tochigi,検出せず,ND（not detectable),,
34,栃木,Tochigi,検出せず,ND（not detectable),,
35,栃木,Tochigi,検出せず,ND（not detectable),,
36,佐賀,Saga,検出せず,ND（not detectable),,
37,佐賀,Saga,検出せず,ND（not detectable),,
38,佐賀,Saga,検出せず,ND（not detectable),,
39,佐賀,Saga,検出せず,ND（not detectable),,
40,佐賀,Saga,検出せず,ND（not detectable),,
41,佐賀,Saga,検出せず,ND（not detectable),,
42,佐賀,Saga,検出せず,ND（not detectable),,
43,佐賀,Saga,検出せず,ND（not detectable),,
44,佐賀,Saga,検出せず,ND（not detectable),,
45,佐賀,Saga,検出せず,ND（not detectable),,
46,佐賀,Saga,検出せず,ND（not detectable),,
47,佐賀,Saga,検出せず,ND（not detectable),,
48,栃木,Tochigi,検出せず,ND（not detectable),,
49,栃木,Tochigi,検出せず,ND（not detectable),,
50,栃木,Tochigi,検出せず,ND（not detectable),,
51,栃木,Tochigi,検出せず,ND（not detectable),,
52,栃木,Tochigi,検出せず,ND（not detectable),,
53,栃木,Tochigi,検出せず,ND（not detectable),,
54,栃木,Tochigi,検出せず,ND（not detectable),,
55,栃木,Tochigi,検出せず,ND（not detectable),,
56,栃木,Tochigi,検出せず,ND（not detectable),,
57,栃木,Tochigi,検出せず,ND（not detectable),,
58,栃木,Tochigi,検出せず,ND（not detectable),,
59,栃木,Tochigi,検出せず,ND（not detectable),,
60,香川,Kagawa,検出せず,ND（not detectable),,
61,香川,Kagawa,検出せず,ND（not detectable),,
62,香川,Kagawa,検出せず,ND（not detectable),,
63,香川,Kagawa,検出せず,ND（not detectable),,
64,香川,Kagawa,検出せず,ND（not detectable),,
65,香川,Kagawa,検出せず,ND（not detectable),,
66,宮城,Miyagi,検出せず,ND（not detectable),,
67,宮城,Miyagi,検出せず,ND（not detectable),,
68,宮城,Miyagi,検出せず,ND（not detectable),,
69,宮城,Miyagi,検出せず,ND（not detectable),,
70,宮城,Miyagi,検出せず,ND（not detectable),,
71,宮城,Miyagi,検出せず,ND（not detectable),,
72,宮城,Miyagi,検出せず,ND（not detectable),,
73,宮城,Miyagi,検出せず,ND（not detectable),,
74,宮城,Miyagi,検出せず,ND（not detectable),,
75,宮城,Miyagi,検出せず,ND（not detectable),,
76,宮城,Miyagi,検出せず,ND（not detectable),,
77,宮城,Miyagi,検出せず,ND（not detectable),,
78,宮城,Miyagi,検出せず,ND（not detectable),,
79,宮城,Miyagi,検出せず,ND（not detectable),,
80,宮城,Miyagi,検出せず,ND（not detectable),,
81,宮城,Miyagi,検出せず,ND（not detectable),,
82,宮城,Miyagi,検出せず,ND（not detectable),,
83,宮城,Miyagi,検出せず,ND（not detectable),,
84,宮城,Miyagi,検出せず,ND（not detectable),,
85,宮城,Miyagi,検出せず,ND（not detectable),,
86,宮城,Miyagi,検出せず,ND（not detectable),,
87,宮城,Miyagi,検出せず,ND（not detectable),,
88,宮城,Miyagi,検出せず,ND（not detectable),,
89,宮城,Miyagi,検出せず,ND（not detectable),,
90,鹿児島,Kagoshima,検出せず,ND（not detectable),,
91,鹿児島,Kagoshima,検出せず,ND（not detectable),,
92,鹿児島,Kagoshima,検出せず,ND（not detectable),,
93,鹿児島,Kagoshima,検出せず,ND（not detectable),,
94,鹿児島,Kagoshima,検出せず,ND（not detectable),,
95,鹿児島,Kagoshima,検出せず,ND（not detectable),,
96,鹿児島,Kagoshima,検出せず,ND（not detectable),,
97,鹿児島,Kagoshima,検出せず,ND（not detectable),,
98,鹿児島,Kagoshima,検出せず,ND（not detectable),,
99,鹿児島,Kagoshima,検出せず,ND（not detectable),,
100,鹿児島,Kagoshima,検出せず,ND（not detectable),,
101,鹿児島,Kagoshima,検出せず,ND（not detectable),,
102,埼玉,Saitama,検出せず,ND（not detectable),,
103,埼玉,Saitama,検出せず,ND（not detectable),,
104,埼玉,Saitama,検出せず,ND（not detectable),,
105,埼玉,Saitama,検出せず,ND（not detectable),,
106,埼玉,Saitama,検出せず,ND（not detectable),,
