No,生産地  ,Breeding location,検査結果(Bq/kg) ,Level of radioactive contaminants(Bq/kg) ,備考,Notes
1,福島,Fukushima,検出せず,ND（not detectable),,
2,福島,Fukushima,検出せず,ND（not detectable),,
3,福島,Fukushima,検出せず,ND（not detectable),,
4,福島,Fukushima,検出せず,ND（not detectable),,
5,福島,Fukushima,検出せず,ND（not detectable),,
6,福島,Fukushima,検出せず,ND（not detectable),,
7,福島,Fukushima,検出せず,ND（not detectable),,
8,福島,Fukushima,検出せず,ND（not detectable),,
9,福島,Fukushima,検出せず,ND（not detectable),,
10,福島,Fukushima,検出せず,ND（not detectable),,
11,福島,Fukushima,検出せず,ND（not detectable),,
12,福島,Fukushima,検出せず,ND（not detectable),,
13,福島,Fukushima,検出せず,ND（not detectable),,
14,福島,Fukushima,検出せず,ND（not detectable),,
15,福島,Fukushima,検出せず,ND（not detectable),,
16,福島,Fukushima,検出せず,ND（not detectable),,
17,福島,Fukushima,検出せず,ND（not detectable),,
18,福島,Fukushima,検出せず,ND（not detectable),,
19,福島,Fukushima,検出せず,ND（not detectable),,
20,福島,Fukushima,検出せず,ND（not detectable),,
21,福島,Fukushima,検出せず,ND（not detectable),,
22,福島,Fukushima,検出せず,ND（not detectable),,
23,福島,Fukushima,検出せず,ND（not detectable),,
24,福島,Fukushima,検出せず,ND（not detectable),,
25,北海道,Hokkaido,検出せず,ND（not detectable),,
26,北海道,Hokkaido,検出せず,ND（not detectable),,
27,北海道,Hokkaido,検出せず,ND（not detectable),,
28,北海道,Hokkaido,検出せず,ND（not detectable),,
29,北海道,Hokkaido,検出せず,ND（not detectable),,
30,北海道,Hokkaido,検出せず,ND（not detectable),,
31,北海道,Hokkaido,検出せず,ND（not detectable),,
32,北海道,Hokkaido,検出せず,ND（not detectable),,
33,北海道,Hokkaido,検出せず,ND（not detectable),,
34,北海道,Hokkaido,検出せず,ND（not detectable),,
35,北海道,Hokkaido,検出せず,ND（not detectable),,
36,北海道,Hokkaido,検出せず,ND（not detectable),,
37,栃木,Tochigi,検出せず,ND（not detectable),,
38,栃木,Tochigi,検出せず,ND（not detectable),,
39,栃木,Tochigi,検出せず,ND（not detectable),,
40,栃木,Tochigi,検出せず,ND（not detectable),,
