"年度[西暦]","件数[件]","面積[平方メートル]"
"2014","9","141"
"2015","16","936"
"2016","10","148"
"2017","7","219"
"2018","5","658"

"令和元年度港区行政資料集　私道整備の助成","Ver201903",
