"年月[西暦]","施設名称","施設所在地","施設方書","施設廃止日","緯度","経度"
"202204","株式会社博報堂ＤＹアイ・オー","東京都港区赤坂二丁目14番27号","国際新赤坂ビル東館17階","2022/3/31","35.672105","139.737022"
"202204","鍼灸サロンＲｉｃｃａ","東京都港区白金一丁目28番18号","Yビル2階","2022/4/28","35.643758","139.732976"
"202204","こきゅう南青山鍼灸院","東京都港区南青山三丁目16番14号","プラサーダ青山401","2022/3/31","35.664402","139.714659"
"202204","こきゅう南青山プレミアム鍼灸院","東京都港区南青山三丁目16番14号","プラサーダ青山402","2022/3/31","35.664402","139.714659"
"202204","グリーマッサージルーム","東京都港区六本木六丁目10番1号","六本木ヒルズ森タワー9階","2022/3/18","35.660552","139.729276"
"202205","安藤・間リラクゼーションルーム","東京都港区赤坂六丁目1番20号","国際新赤坂ビル西館16階","2022/4/28","35.671697","139.736055"
"202205","鍼灸サロンはにかむ","東京都港区麻布十番一丁目5番24号","第3長門ビル202","2021/9/30","35.657099","139.733010"
"202205","リライフ鍼灸マッサージ院","東京都港区西新橋一丁目15番7号","曽根ビル3階","2022/4/30","35.667938","139.754377"
"202205","体のサポートつぼ工房","東京都港区六本木七丁目17番23号","302","2022/5/28","35.662754","139.728384"
"202206","まごころベルマッサージ","東京都港区芝三丁目40番4号","三田シティプラザ2階","2022/5/31","35.650747","139.747143"
"202206","南青山ＰＩＣＳ鍼灸院","東京都港区南青山三丁目8番7号","ラ・トゥール南青山301号","2022/5/31","35.667176","139.715851"
"202206","東郷鍼灸治療院","東京都港区南麻布五丁目2番40号",,"2022/5/8","35.655564","139.723665"
"202206","ＨＩＴＯＷＡソーシャルワークス株式会社","東京都港区六本木一丁目4番5号","アークヒルズサウスタワー19階","2022/6/23","35.665703","139.739381"
"202207","Ｒｅｌａｘａｔｉｏｎ　Ｒｏｏｍ　Ｒａｋｕｍｏｍｉ／楽もみ","東京都港区南青山二丁目6番21号","楽天クリムゾンハウス青山10階","2022/7/15","35.671818","139.722229"
"202208","有限会社きみしま　きみしま鍼灸治療院","東京都港区西新橋二丁目14番7号","笠井ビル3階","2022/7/31","35.667103","139.751333"
"202209","ＭＩＨＯ鍼灸治療院","東京都港区麻布十番三丁目7番5号","502","2022/8/31","35.653524","139.735006"
"202209","かわい指圧ルーム","東京都港区芝五丁目22番4号","種村ビル2階","2005/12/25","35.648228","139.746490"
"202209","Ｂａｃｋ　ｔｏ　Ｂａｓｉｃｓ　鍼灸治療院","東京都港区南麻布五丁目2番39号","ニュー東和ビル403","2022/8/31","35.655371","139.723542"
"202210","ｉＣｕｒｅ鍼灸院　溜池山王","東京都港区赤坂二丁目10番16号","新陽ビル2階","2022/9/30","35.670661","139.741512"
"202210","アルクル鍼灸院　赤坂","東京都港区赤坂二丁目12番10号","HF溜池ビルディング1階","2022/9/25","35.670991","139.740414"
"202210","ＬＥＧＡＣＹ　白金","東京都港区白金一丁目25番32号","J&Kビル302","2022/9/30","35.644630","139.731583"
"202210","ｉＣｕｒｅ鍼灸院　虎ノ門","東京都港区西新橋一丁目12番6号","白井ビル1階","2022/9/30","35.668298","139.753329"
"202210","南青山エトス鍼灸治療院","東京都港区南青山二丁目27番21号","ジークス青山ビル5階","2022/10/5","35.669051","139.716303"
"202210","鍼灸Ｍｅａｄｏｗ","東京都港区南青山四丁目25番1号",,"2022/10/3","35.663234","139.718342"
"202211","一会堂鍼灸院１Ｆ","東京都港区芝五丁目13番12号","第2定方ビル1階","2022/11/26","35.648953","139.744985"
"202211","一会堂鍼灸院２Ｆ","東京都港区芝五丁目13番12号","第2定方ビル2F","2022/11/26","35.648953","139.744985"
"202211","兼松株式会社　マッサージ施術室","東京都港区芝浦一丁目2番1号","シーバンスN館23階","2022/11/17","35.649921","139.756897"
"202211","あんま、指圧、マッサージ　治療工房とも","東京都港区三田一丁目10番5号","モア三田302","2022/12/1","35.655028","139.738399"
"202211","ｓａｌｏｎ　ｄｅ　ｍｏｅ　－ａｚａｂｕ－","東京都港区南麻布一丁目27番20号",,"2022/11/6","35.649888","139.734114"
"202212","友野治療院","東京都港区芝五丁目9番5号",,"2022/12/22","35.64927","139.746646"
"202212","ＡＭＭＹＵＲＯ","東京都港区白金三丁目15番15号-403",,"2022/3/31","35.644861","139.728071"
"202212","中澤鍼灸マッサージ温熱道","東京都港区西麻布三丁目2番16号","プレジデント六本木702号室","2022/12/11","35.659178","139.727463"
"202212","Ｘ－ｉｏｎ（クロシオン）","東京都港区東新橋一丁目2番5号","5階","2021/12/31","35.665135","139.759566"
"202212","ｉＣｕｒｅ鍼灸院　六本木","東京都港区六本木四丁目9番5号","ISO六本木ビル2階","2022/11/30","35.663614","139.732531"
"202301","鍼灸院ｂｅｆｅｅｌ麻布十番","東京都港区麻布十番一丁目2番8号","麻布髙野ビル6F","2022/12/31","35.656592","139.736566"
"202301","汐留ベイブリーズマッサージ院","東京都港区東新橋一丁目2番10号","京店ビル3階","2005/8/31","35.664557","139.759287"
"202301","青木整骨指圧療院","東京都港区南青山一丁目15番31号",,"2023/1/6","35.668923","139.726029"
"202302","ｓａｌｏｎ　ｄｅ　ｓａｉｋａ（鍼灸）","東京都港区麻布十番三丁目7番5号","decimo AZABU701","2022/12/31","35.653524","139.735006"
"202302","あすも鍼灸院","東京都港区高輪四丁目21番1号","101","2023/2/4","35.626672","139.735329"
"202302","Ｃｒｏｓｓｃｌｕｅ鍼治療院","東京都港区西麻布四丁目2番9号","シーズンズ西麻布302","2023/2/2","35.658106","139.723273"
"202303","ｉＣｕｒｅ鍼灸院　溜池山王","東京都港区赤坂二丁目10番16号","新陽ビル2階","2023/3/12","35.670661","139.741512"
"202303","Ｒｅ－ｐｌｕｓ","東京都港区赤坂六丁目4番18号","プリンストン赤坂902","2023/3/5","35.670473","139.734607"
"202303","町田はり・きゅう治療院","東京都港区白金一丁目12番14号","グレイス白金605","2023/3/29","35.645283","139.734986"
"202303","ヤブザキ鍼灸治療院","東京都港区白金一丁目28番18号","1階","2023/3/3","35.643758","139.732976"
"202303","サービシーズマッサージルーム","東京都港区高輪四丁目10番18号","京急第一ビル3階","2023/3/17","35.628707","139.736861"
"202303","フランシラ治療院","東京都港区西麻布三丁目22番7号",,"2023/2/21","35.659011","139.72486"
"202303","株式会社Ｓｐｅｅｅ　マッサージルーム","東京都港区六本木四丁目1番4号","黒崎ビル4階","2023/3/21","35.665463","139.736136"
"202303","六本木ミッドタウン前鍼灸院","東京都港区六本木七丁目13番2号","アーバンビル502","2023/3/30","35.664279","139.730835"

"施術所（あはき）廃止一覧(令和5年3月31日現在)","Ver202303",,,,,
