年度,学校数,学級数総数,通級学級数総数,単式学級,単式通級学級,複式学級,複式通級学級,特別支援学級,特別支援通級学級,教員数総数,男性教員数,女性教員数,生徒総数,男子生徒総数,女子生徒総数,1学年生徒総数,1学年男子生徒総数,1学年女子生徒総数,2学年生徒総数,2学年男子生徒総数,2学年女子生徒総数,3学年生徒総数,3学年男子生徒総数,3学年女子生徒総数,学校数_区立,学級数総数_区立,通級学級数総数_区立,単式学級_区立,単式通級学級_区立,複式学級_区立,複式通級学級_区立,特別支援学級_区立,特別支援通級学級_区立,教員数総数_区立,男性教員数_区立,女性教員数_区立,区立生徒総数,区立男子生徒総数,区立女子生徒総数,区立1学年生徒総数,区立1学年男子生徒総数,区立1学年女子生徒総数,区立2学年生徒総数,区立2学年男子生徒総数,区立2学年女子生徒総数,区立3学年生徒総数,区立3学年男子生徒総数,区立3学年女子生徒総数,学校数_私立,学級数総数_私立,通級学級数総数_私立,単式学級_私立,単式通級学級_私立,複式学級_私立,複式通級学級_私立,特別支援学級_私立,特別支援通級学級_私立,教員数総数_私立,男性教員数_私立,女性教員数_私立,私立生徒総数,私立男子生徒総数,私立女子生徒総数,私立1学年生徒総数,私立1学年男子生徒総数,私立1学年女子生徒総数,私立2学年生徒総数,私立2学年男子生徒総数,私立2学年女子生徒総数,私立3学年生徒総数,私立3学年男子生徒総数,私立3学年女子生徒総数,備考
2012,16,142,1,133,0,0,0,9,1,293,152,141,4220,2049,2171,1393,687,706,1432,681,751,1395,681,714,10,93,1,84,0,0,0,9,1,204,107,97,2813,1545,1268,928,516,412,954,535,419,931,494,437,6,49,0,49,0,0,0,0,0,89,45,44,1407,504,903,465,171,294,478,146,332,464,187,277,通級学級は内数
2013,16,142,1,133,0,0,0,9,1,295,14,146,4187,2045,2142,1364,679,685,1399,688,711,1424,578,746,10,93,1,84,0,0,0,9,1,206,110,96,2815,1583,1232,923,522,401,937,525,412,955,536,419,6,49,0,49,0,0,0,0,0,89,39,50,1372,462,910,441,157,284,462,163,299,469,142,327,通級学級は内数
2014,16,143,1,132,0,0,0,11,1,300,154,146,4152,2037,2115,1379,671,708,1367,682,685,1406,684,722,10,97,2,86,0,0,0,11,2,212,111,101,2836,1588,1248,952,529,423,929,531,398,955,528,427,6,46,0,46,0,0,0,0,0,88,43,45,1316,449,867,427,142,285,438,151,287,451,156,295,通級学級は内数
2015,15,140,2,129,0,0,0,11,2,294,147,147,3967,1939,2028,1197,577,620,1386,679,707,1384,683,701,9,95,2,84,0,0,0,11,2,207,107,100,2761,1516,1245,844,439,405,964,540,424,953,537,416,6,45,0,45,0,0,0,0,0,87,40,47,1206,423,783,353,138,215,422,139,283,431,146,285,通級学級は内数
2016,15,133,2,123,0,0,0,10,2,288,155,133,3802,1884,1918,1205,624,581,1197,573,624,1400,687,713,9,91,2,81,0,0,0,10,2,201,111,90,2685,1454,1231,858,472,386,848,436,412,979,546,433,6,42,0,42,0,0,0,0,0,87,44,43,1117,430,687,347,152,195,39,137,212,421,141,280,通級学級は内数
2017,15,134,3,123,0,0,0,11,3,282,152,130,3665,1828,1837,1258,623,635,1210,625,585,1197,580,617,9,93,3,82,0,0,0,11,3,199,110,89,2600,1380,1220,873,463,410,869,475,394,858,442,416,6,41,0,41,0,0,0,0,0,83,42,41,1065,448,617,385,160,225,341,150,191,339,138,201,通級学級は内数
2018,15,135,4,124,0,0,0,11,4,288,157,131,3762,1947,1815,1292,706,586,1249,614,635,1221,627,594,9,91,4,80,0,0,0,11,4,202,114,88,2624,1419,1205,866,484,382,878,458,420,880,477,403,6,44,0,44,0,0,0,0,0,86,43,43,1138,528,610,426,222,204,371,156,215,341,150,191,通級学級は内数
2019,15,137,0,129,0,0,0,8,0,288,153,135,3951,2089,1862,1424,770,654,1276,702,574,1251,617,634,9,89,0,81,0,0,0,8,0,200,110,90,2638,1417,1221,879,465,414,867,486,381,892,466,426,6,48,0,48,0,0,0,0,0,88,43,45,1313,672,641,545,305,240,409,216,193,359,151,208,通級学級は内数
2020,15,149,0,141,0,0,0,8,0,298,166,132,4264,2335,1929,1558,857,701,1425,772,653,1281,706,575,9,92,0,84,0,0,0,8,0,204,117,87,2754,1504,1250,974,535,439,891,474,417,889,495,394,6,57,0,57,0,0,0,0,0,94,49,45,1510,831,679,584,322,262,534,298,236,392,211,181,通級学級は内数
