"年月[西暦]","調査項目","設問","回答者の属性種別","回答者の属性","選択肢A[人]","選択肢B[人]","選択肢C[人]","選択肢D[人]","選択肢E[人]","選択肢F[人]","選択肢G[人]","選択肢H[人]","選択肢I[人]","選択肢J[人]","選択肢A[%]","選択肢B[%]","選択肢C[%]","選択肢D[%]","選択肢E[%]","選択肢F[%]","選択肢G[%]","選択肢H[%]","選択肢I[%]","選択肢J[%]"
"202003","区の取組","Q9. すべての方にお聞きします。今後、区民と区が協力して取り組む環境に関する活動に参加するとすれば、どのような活動に興味がありますか。（○はいくつでも）","性別","男性","70","25","86","72","44","66","35","23","5","67","28.8","10.3","35.4","29.6","18.1","27.2","14.4","9.5","2.1","27.6"
"202003","区の取組","Q9. すべての方にお聞きします。今後、区民と区が協力して取り組む環境に関する活動に参加するとすれば、どのような活動に興味がありますか。（○はいくつでも）","性別","女性","78","49","123","115","61","80","51","51","2","52","28.7","18.0","45.2","42.3","22.4","29.4","18.8","18.8","0.7","19.1"
"202003","区の取組","Q9. すべての方にお聞きします。今後、区民と区が協力して取り組む環境に関する活動に参加するとすれば、どのような活動に興味がありますか。（○はいくつでも）","年齢","18～29歳","13","8","21","19","7","10","5","8","0","12","27.7","17.0","44.7","40.4","14.9","21.3","10.6","17.0","0.0","25.5"
"202003","区の取組","Q9. すべての方にお聞きします。今後、区民と区が協力して取り組む環境に関する活動に参加するとすれば、どのような活動に興味がありますか。（○はいくつでも）","年齢","30～39歳","29","18","38","38","24","29","19","17","0","23","29.6","18.4","38.8","38.8","24.5","29.6","19.4","17.3","0.0","23.5"
"202003","区の取組","Q9. すべての方にお聞きします。今後、区民と区が協力して取り組む環境に関する活動に参加するとすれば、どのような活動に興味がありますか。（○はいくつでも）","年齢","40～49歳","45","17","57","55","31","44","29","25","2","31","30.4","11.5","38.5","37.2","20.9","29.7","19.6","16.9","1.4","20.9"
"202003","区の取組","Q9. すべての方にお聞きします。今後、区民と区が協力して取り組む環境に関する活動に参加するとすれば、どのような活動に興味がありますか。（○はいくつでも）","年齢","50～59歳","37","17","46","32","20","34","14","13","3","34","28.2","13.0","35.1","24.4","15.3","26.0","10.7","9.9","2.3","26.0"
"202003","区の取組","Q9. すべての方にお聞きします。今後、区民と区が協力して取り組む環境に関する活動に参加するとすれば、どのような活動に興味がありますか。（○はいくつでも）","年齢","60～69歳","13","8","28","29","11","14","11","7","0","14","21.7","13.3","46.7","48.3","18.3","23.3","18.3","11.7","0.0","23.3"
"202003","区の取組","Q9. すべての方にお聞きします。今後、区民と区が協力して取り組む環境に関する活動に参加するとすれば、どのような活動に興味がありますか。（○はいくつでも）","年齢","70歳以上","11","6","19","14","12","15","8","4","2","5","35.5","19.4","61.3","45.2","38.7","48.4","25.8","12.9","6.5","16.1"

"港区の環境に関する区民アンケート（Web）調査結果・クロス集計表・区の取組Q9","Ver202003",,,,,,,,,,,,,,,,,,,,,,,
