No.,S1,S2,S3,S4,S4_14_other,S5,S5_8_other,S6s1,S6s2c1_1,S6s2c1_2,S6s2c1_3,S6s2c1_4,S6s2c1_5,S6s2c2_1,S6s2c2_2,S6s2c2_3,S6s2c2_4,S6s2c2_5,S6s2c3_1,S6s2c3_2,S6s2c3_3,S6s2c3_4,S6s2c3_5,S7c1,S7c2,Q1_10_other,Q1c1,Q1c2,Q1c3,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3s2_1,Q4,Q4_11_other,Q4_13_other,Q5,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7s2_1,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q9s1_1,Q9s1_2,Q9s1_3,Q9s1_4,Q9s1_5,Q9s1_6,Q9s1_7,Q9s1_8,Q9s1_9,Q9s2_1,Q9s2_2,Q9s2_3,Q9s2_4,Q9s2_5,Q9s2_6,Q9s2_7,Q9s2_8,Q9s2_9,Q9s3_1,Q9s3_2,Q9s3_3,Q9s3_4,Q9s3_5,Q9s3_6,Q9s3_7,Q9s3_8,Q9s3_9,Q9s4_1,Q9s4_2,Q9s4_3,Q9s4_4,Q9s4_5,Q9s4_6,Q9s4_7,Q9s4_8,Q9s4_9,Q9s5_1,Q9s5_2,Q9s5_3,Q9s5_4,Q9s5_5,Q9s5_6,Q9s5_7,Q9s5_8,Q9s5_9,Q9OT1_1,Q9OT1_2,Q9OT1_3,Q9OT1_4,Q9OT1_5,Q10c1,Q10c2,Q10c3,Q10c4,Q10c5,Q11c1,Q11c2,Q11c3,Q11c4,Q11c5,Q11c6,Q11c7,Q11c8,Q11c9,Q11c10,Q12s1,Q12s1_11_other,Q12s2_11_other,Q12s2c1,Q12s2c2,Q12s2c3,Q12s2c4,Q12s2c5,Q13_11_other,Q13c1,Q13c2,Q13c3,Q13c4,Q13c5,Q13s1_1,Q13s1_2,Q13s1_3,Q13s1_4,Q13s1_5,Q13s1_6,Q13s1_7,Q13s1_8,Q13s1_9,Q13s1_10,Q13s1_11,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14OT_1,Q15,Q16,Q16_5_other,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18OT_1,Q19,Q19_10_other,Q20,Q20_11_other,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q21_8,Q21_9,Q21_10,Q21_11,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q22_6,Q22_7,Q22_8,Q22_9,Q22_10,Q22_11,Q23,Q23_4_other
1,2,3,1,10,,6,,6,,,,,,,,,,,,,,,,2,2,,4,3,6,2,12,"10,11",12,12,12,12,12,11,12,,"4,8,9",,,8,4,6,4,4,6,6,6,6,6,6,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,7",,,,,,,,,2,3,4,12,12,,,,,,,,,,,,6,6,6,6,6,,3,3,,5,5,5,5,5,6,6,6,6,6,,"4,6",,6,,,,,,,4,,,,,,,,,,,5,,,,,,2,
2,19,4,2,1,,7,,6,,,,,,,,,,,,,,,,4,4,,3,4,2,5,"1,2,3,4",12,"1,2,4,5,6,7,8",12,12,12,12,12,12,,"1,3,5,12",,,5,4,5,6,5,6,5,6,6,6,6,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,2,12,12,,,,,,,,,,,,6,6,1,6,6,,6,"1,2,3,4",,5,5,5,5,5,6,6,6,6,6,,1,,"1,2,3,4,5,6,7,8,9,10",,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,,5,
3,11,5,1,13,,3,,1,2,,,,,8,,,,,2,,,,,1,1,,4,6,7,5,"1,2,4,8",12,"1,2","1,2",12,12,12,12,12,,9,,,3,1,5,6,1,1,5,6,6,6,6,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,12,12,12,,,,,,,,,,,,6,6,6,6,6,,6,6,,5,5,5,5,5,6,6,6,6,6,,"1,9",,"3,9",,,,2,,,,,,2,,,,,2,,,,,,2,,,5,
4,20,4,1,1,,6,,3,2,2,2,,,4,2,2,,,2,2,1,,,3,3,,6,4,9,5,"1,4,9",12,"1,4",12,12,12,12,12,12,,"1,3,4,5,7",,,2,1,5,1,1,6,2,6,6,6,6,,,4,,,,,,,,,,,,,,,,,,,,,,,,,1,6,2,6,3,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,12,,,,12,12,12,12,12,,,,,,,,,,,,6,6,6,6,6,,7,6,,5,5,5,5,5,6,6,6,6,6,,9,,"1,6",,5,,,,,5,,,,,,5,,,,,5,,,,,,5,
5,1,2,1,2,,6,,1,1,,,,,3,,,,,2,,,,,6,6,,1,2,3,3,12,12,12,12,12,12,12,12,12,,1,,,1,7,1,1,1,1,1,1,1,1,1,ない,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,12,12,12,,,,,,,,,,,,6,6,6,6,6,,6,6,,5,5,5,5,5,6,6,6,6,6,,11,,12,,,,,,,,,,,,,,,,,,,,,,,,5,
6,32,2,2,10,,6,,2,1,2,,,,5,3,,,,2,2,,,,1,3,恋人,8,9,10,5,"1,4",12,"1,2,3,4,5,6,7,8",12,12,12,12,12,12,,"3,5,7,10",,,2,4,4,6,5,6,6,6,6,6,6,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,2,3,4,5,6,7,8,10",,,,,,,,,5,5,5,5,5,,,,,塾,,,,,,,2,2,2,2,2,塾,2,2,,5,5,5,5,5,3,3,3,3,3,塾,7,,12,,,,,,,,,,,,,,,,,,,,,,,,5,
7,23,5,1,1,,3,,4,1,2,1,2,,6,5,3,3,,2,2,2,2,,6,6,,4,6,2,5,"1,2,4,7,8,9",11,"1,4",12,7,12,12,12,12,,"1,2,3,5,7",,,3,3,5,1,1,6,5,6,6,6,6,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,12,12,12,,,,,,,,,,,,6,6,6,6,6,,3,6,,5,5,5,5,5,6,6,6,6,6,,11,,12,,,,,,,,,,,,,,,,,,,,,,,,5,
8,9,4,1,1,,6,,1,1,,,,,5,,,,,2,,,,,4,4,,3,4,1,3,"1,2",12,"1,2",12,12,12,12,12,12,,"3,5,7",,,7,4,3,6,3,6,6,6,6,6,6,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,12,12,12,,,,,,,,,,,,6,6,6,6,6,,2,6,,5,5,5,5,5,6,6,6,6,6,,1,,"1,2,3,4",,6,6,6,6,,,,,,,,5,5,5,5,,,,,,,,5,
9,4,2,1,5,,3,,6,,,,,,,,,,,,,,,,1,1,,6,7,8,3,"1,2,5,7,8",12,"1,2,5,6,7,8",12,11,12,7,11,11,照明、PS4,"3,5,7,9,10",,,"3,7",1,2,6,2,6,6,6,2,6,6,,,,4,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,12,12,12,,,,,,,,,,,,6,6,6,6,6,,6,"1,2,3,4,5",公道,5,5,5,5,5,6,6,6,6,6,,"1,3,4,5,6,7,8,9",,"1,2,3,4,5,6,7,8,9,10",,2,2,2,3,3,2,3,2,3,3,,2,3,2,3,3,2,3,2,2,2,,5,
10,26,6,1,13,,6,,1,2,,,,,6,,,,,2,,,,,1,1,,6,9,4,4,"1,2,4,8,9",4,12,"1,2,4,9",11,12,12,12,12,,"1,2,3,4,6,7",,,3,1,4,1,6,3,3,6,6,6,6,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,12,12,12,,,,,,,,,,,,6,6,6,6,6,,6,5,大型店,5,5,5,5,5,6,6,6,6,6,,"1,7,9",,"2,3,6,7",,,5,4,,,3,5,,,,,,4,4,,,3,4,,,,,5,
