,駅名（＊放置禁止区域に指定）,放置台数（Ａ）自転車,放置台数（Ａ）原付,放置台数（Ａ）自二,放置台数（Ａ）計,実収容台数（Ｂ）自転車,実収容台数（Ｂ）原付,実収容台数（Ｂ）計,収容能力（Ｃ）自転車,収容能力（Ｃ）原付,収容能力（Ｃ）計,乗入台数（Ａ）＋（Ｂ）計
,総数,33830,1918,1256,37004,606486,18812,625298,885766,36986,922752,662302
区,区部計,29729,1664,1158,32551,369347,6819,376166,527126,13647,540773,408717
千代田区,有楽町駅,261,3,,264,118,,118,174,,174,382
千代田区,東京駅,233,1,6,240,121,5,126,244,5,249,366
千代田区,＊神田駅,321,18,13,352,176,13,189,195,20,215,541
千代田区,＊秋葉原駅,584,8,5,597,593,32,625,765,32,797,1222
千代田区,＊御茶ノ水駅,197,6,4,207,80,10,90,80,10,90,297
千代田区,＊水道橋駅,231,19,22,272,96,10,106,127,10,137,378
千代田区,＊飯田橋駅,164,10,8,182,252,17,269,270,20,290,451
千代田区,＊市ヶ谷駅,67,8,10,85,85,5,90,85,10,95,175
千代田区,＊四ツ谷駅,51,2,2,55,102,6,108,160,20,180,163
千代田区,＊岩本町駅,156,3,,159,27,,27,35,,35,186
千代田区,小川町・淡路町駅,214,14,14,242,,,,,,,242
千代田区,神保町駅,160,36,25,221,35,,35,60,,60,256
千代田区,＊九段下駅,160,13,2,175,83,11,94,95,15,110,269
千代田区,末広町駅,308,7,4,319,,,,,,,319
千代田区,半蔵門駅,134,11,9,154,,,,,,,154
千代田区,計,3241,159,124,3524,1768,109,1877,2290,142,2432,5401
中央区,銀座駅,52,3,,55,,,,,,,55
中央区,東銀座駅,37,,,37,,,,,,,37
中央区,銀座一丁目駅,79,,,79,,,,,,,79
中央区,＊築地駅,76,,,76,90,20,110,252,20,272,186
中央区,＊築地市場駅,61,6,,67,100,30,130,602,30,632,197
中央区,＊新富町駅,51,,,51,41,32,73,202,32,234,124
中央区,京橋駅,28,,,28,,,,,,,28
中央区,宝町駅,20,,,20,,,,,,,20
中央区,＊八丁堀駅,93,2,1,96,63,,63,294,,294,159
中央区,茅場町駅,138,6,,144,51,,51,113,,113,195
中央区,新日本橋駅,58,,,58,,,,,,,58
中央区,小伝馬町駅,36,2,,38,,,,,,,38
中央区,三越前駅,103,,2,105,,,,,,,105
中央区,日本橋駅,105,2,3,110,,,,,,,110
中央区,水天宮前駅,82,,,82,197,,197,477,,477,279
中央区,＊人形町駅,35,2,,37,87,,87,226,,226,124
中央区,＊浜町駅,22,,,22,49,53,102,300,53,353,124
中央区,馬喰町駅・馬喰横山駅・東日本橋駅,53,1,,54,49,,49,172,,172,103
中央区,＊勝どき駅,96,6,2,104,266,,266,842,,842,370
中央区,＊月島駅,152,3,6,161,388,26,414,1413,26,1439,575
中央区,東京駅,219,1,1,221,,,,,,,221
中央区,計,1596,34,15,1645,1381,161,1542,4893,161,5054,3187
港区,＊新橋駅,19,,,19,173,12,185,302,12,314,204
港区,＊浜松町駅,13,,1,14,183,17,200,238,50,288,214
港区,＊田町駅・三田駅,49,3,,52,817,44,861,1653,58,1711,913
港区,＊品川駅,24,,,24,1591,54,1645,2097,123,2220,1669
港区,芝公園駅,103,2,4,109,,,,,,,109
港区,御成門駅,37,2,,39,,,,,,,39
港区,内幸町駅,35,,3,38,,,,,,,38
港区,大門駅,50,1,,51,,,,,,,51
港区,泉岳寺駅,61,,10,71,,,,,,,71
港区,高輪台駅,15,,,15,,,,,,,15
港区,神谷町駅,43,2,,45,,,,,,,45
港区,＊六本木駅,79,1,1,81,148,,148,344,,344,229
港区,広尾駅,255,1,,256,,,,,,,256
港区,虎ノ門駅,22,,,22,,,,,,,22
港区,＊赤坂見附駅,5,,,5,61,,61,61,52,113,66
港区,＊青山一丁目駅,12,2,1,15,92,,92,100,,100,107
港区,外苑前駅,260,,,260,,,,,,,260
港区,赤坂駅,109,1,,110,,,,,,,110
港区,乃木坂駅,44,,1,45,97,,97,97,,97,142
港区,＊表参道駅,42,,,42,117,,117,312,,312,159
港区,汐留駅,67,10,23,100,,,,,,,100
港区,＊芝浦ふ頭駅,,,,,18,,18,104,,104,18
港区,日の出駅,14,2,,16,,,,,,,16
港区,竹芝駅,8,,1,9,,,,,,,9
港区,お台場海浜公園駅,116,,,116,217,10,227,217,20,237,343
港区,台場駅,17,,,17,,,,,,,17
港区,溜池山王駅,41,,1,42,,,,,,,42
港区,＊麻布十番駅,99,1,,100,293,,293,352,30,382,393
港区,六本木一丁目駅,137,1,,138,,,,,,,138
港区,＊白金高輪駅,17,1,1,19,172,,172,270,,270,191
港区,白金台駅,9,,,9,228,,228,228,,228,237
港区,赤羽橋駅,79,,,79,,,,,,,79
港区,計,1881,30,47,1958,4207,137,4344,6375,345,6720,6302
