,駅名（＊放置禁止区域に指定）,放置台数（Ａ）自転車,放置台数（Ａ）原付,放置台数（Ａ）自二,放置台数（Ａ）計,実収容台数（Ｂ）自転車,実収容台数（Ｂ）原付,実収容台数（Ｂ）計,収容能力（Ｃ）自転車,収容能力（Ｃ）原付,収容能力（Ｃ）計,乗入台数（Ａ）＋（Ｂ）計
町,町村部計,22,,,22,30,8,38,1400,113,1513,60
瑞穂町,箱根ケ崎駅,,,,,,,,1287,99,1386,
瑞穂町,計,,,,,,,,1287,99,1386,
日の出町,武蔵増戸駅,3,,,3,,,,,,,3
日の出町,武蔵引田駅,19,,,19,,,,,,,19
日の出町,計,22,,,22,,,,,,,22
奥多摩町,奥多摩駅,,,,,10,5,15,25,5,30,15
奥多摩町,白丸駅,,,,,5,,5,21,2,23,5
奥多摩町,鳩ノ巣駅,,,,,,,,,,,
奥多摩町,古里駅,,,,,3,,3,27,3,30,3
奥多摩町,川井駅,,,,,12,3,15,40,4,44,15
奥多摩町,計,,,,,30,8,38,113,14,127,38
