"ゴミ分類
番号","データ
提出組織",有効フラグ,分類区分,回収区分,ゴミ区分,ゴミ区分別表記,指定ゴミ袋,ゴミ区分別説明URL
1,あきる野市,〇,可燃ごみ,分別回収,,,市指定収集袋（黄色）,https://www.city.akiruno.tokyo.jp/0000006927.html
2,あきる野市,〇,不燃ごみ,分別回収,,,市指定収集袋（青色）,https://www.city.akiruno.tokyo.jp/0000006929.html
3,あきる野市,〇,粗大ごみ,分別回収,,,粗大ごみ処理券（ステッカー）,https://www.city.akiruno.tokyo.jp/0000006937.html
4,あきる野市,〇,資源ごみ,分別回収,紙パック,古紙・布類,,https://www.city.akiruno.tokyo.jp/0000006931.html
5,あきる野市,〇,資源ごみ,分別回収,新聞紙,古紙・布類,,https://www.city.akiruno.tokyo.jp/0000006931.html
6,あきる野市,〇,資源ごみ,分別回収,雑誌,古紙・布類,,https://www.city.akiruno.tokyo.jp/0000006931.html
7,あきる野市,〇,資源ごみ,分別回収,段ボール,古紙・布類,,https://www.city.akiruno.tokyo.jp/0000006931.html
8,あきる野市,〇,資源ごみ,分別回収,衣類・古布,古紙・布類,,https://www.city.akiruno.tokyo.jp/0000006931.html
9,あきる野市,〇,資源ごみ,分別回収,缶,缶・金属類,,https://www.city.akiruno.tokyo.jp/0000006930.html
10,あきる野市,〇,資源ごみ,分別回収,金属類,缶・金属類,,https://www.city.akiruno.tokyo.jp/0000006930.html
11,あきる野市,〇,資源ごみ,分別回収,びん,びん類,,https://www.city.akiruno.tokyo.jp/0000006930.html
12,あきる野市,,資源ごみ,分別回収,ガラス類,,,
13,あきる野市,〇,資源ごみ,分別回収,ペットボトル,ペットボトル／白色トレイ,,https://www.city.akiruno.tokyo.jp/0000006928.html
14,あきる野市,〇,資源ごみ,分別回収,発泡スチロールトレイ,ペットボトル／白色トレイ,,https://www.city.akiruno.tokyo.jp/0000006938.html
15,あきる野市,,資源ごみ,分別回収,プラスチック類,,,
16,あきる野市,〇,資源ごみ,分別回収,乾電池,有害ごみ,,https://www.city.akiruno.tokyo.jp/0000006932.html
17,あきる野市,,資源ごみ,分別回収,陶磁器,,,
18,あきる野市,,資源ごみ,分別回収,血圧計,,,
19,あきる野市,,資源ごみ,分別回収,剪定枝木,,,
20,あきる野市,〇,資源ごみ,分別回収,小型家電,使用済小型電子機器,,https://www.city.akiruno.tokyo.jp/0000006936.html
21,あきる野市,,資源ごみ,分別回収,食用油,,,
22,あきる野市,,資源ごみ,分別回収,インクカートリッジ,,,
23,あきる野市,,資源ごみ,拠点回収,紙パック,,,
24,あきる野市,,資源ごみ,拠点回収,新聞紙,,,
25,あきる野市,,資源ごみ,拠点回収,雑誌,,,
26,あきる野市,,資源ごみ,拠点回収,段ボール,,,
27,あきる野市,,資源ごみ,拠点回収,衣類・古布,,,
28,あきる野市,,資源ごみ,拠点回収,缶,,,
29,あきる野市,,資源ごみ,拠点回収,金属類,,,
30,あきる野市,,資源ごみ,拠点回収,びん,,,
31,あきる野市,,資源ごみ,拠点回収,ガラス類,,,
32,あきる野市,,資源ごみ,拠点回収,ペットボトル,,,
33,あきる野市,,資源ごみ,拠点回収,発泡スチロールトレイ,,,
34,あきる野市,,資源ごみ,拠点回収,プラスチック類,,,
35,あきる野市,,資源ごみ,拠点回収,乾電池,,,
36,あきる野市,,資源ごみ,拠点回収,陶磁器,,,
37,あきる野市,,資源ごみ,拠点回収,血圧計,,,
38,あきる野市,,資源ごみ,拠点回収,剪定枝木,,,
39,あきる野市,,資源ごみ,拠点回収,小型家電,,,
40,あきる野市,,資源ごみ,拠点回収,食用油,,,
41,あきる野市,,資源ごみ,拠点回収,インクカートリッジ,,,
42,あきる野市,〇,有害ごみ,分別回収,蛍光管,有害ごみ,,https://www.city.akiruno.tokyo.jp/0000006932.html
43,あきる野市,〇,有害ごみ,分別回収,乾電池,有害ごみ,,https://www.city.akiruno.tokyo.jp/0000006932.html
44,あきる野市,〇,有害ごみ,分別回収,スプレー缶,有害ごみ,,https://www.city.akiruno.tokyo.jp/0000006932.html
45,あきる野市,〇,有害ごみ,分別回収,カセットボンベ,有害ごみ,,https://www.city.akiruno.tokyo.jp/0000006932.html
46,あきる野市,〇,有害ごみ,分別回収,水銀体温計,有害ごみ,,https://www.city.akiruno.tokyo.jp/0000006932.html
47,あきる野市,〇,有害ごみ,分別回収,ライター,有害ごみ,,https://www.city.akiruno.tokyo.jp/0000006932.html
48,あきる野市,,有害ごみ,拠点回収,蛍光管,,,
49,あきる野市,,有害ごみ,拠点回収,乾電池,,,
50,あきる野市,,有害ごみ,拠点回収,スプレー缶,,,
51,あきる野市,,有害ごみ,拠点回収,カセットボンベ,,,
52,あきる野市,,有害ごみ,拠点回収,水銀体温計,,,
53,あきる野市,,有害ごみ,拠点回収,ライター,,,
54,あきる野市,〇,家電リサイクル対象,その他,エアコン・テレビ(液晶・プラズマ含む)・冷蔵庫(H16.4.1から冷凍庫も含む)・洗濯機(衣類乾燥機含む),処理不能,,https://www.city.akiruno.tokyo.jp/0000004189.html
55,あきる野市,〇,家電リサイクル対象,その他,パソコン,処理不能,,https://www.city.akiruno.tokyo.jp/0000000107.html
56,あきる野市,〇,動物の死体,その他,,,,https://www.city.akiruno.tokyo.jp/0000004788.html
57,あきる野市,〇,し尿,その他,,,,https://www.city.akiruno.tokyo.jp/0000005267.html
