一連番号,測定地点住所,緯度,経度,座標系,道  路  名,環境基準類型,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離,地上からの高さ,昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
586,福生市熊川139地先,35.713947,139.334320,JGD2011,都道立川青梅線,A,2013-06-04,2013-06-05,4,2,1,1.2,66,61
587,福生市志茂229地先,35.736649,139.327271,JGD2011,都道瑞穂あきる野八王子線,B,2013-06-04,2013-06-05,4,2,3.2,1.2,65,61
588,狛江市東和泉2-9-11,35.630661,139.580231,JGD2011,都道世田谷町田線(世田谷通り),c,2014-02-13,2014-02-14,4,2,2.5,1.2,69,66
589,狛江市和泉本町1-1-5,35.634491,139.577927,JGD2011,都道大田調布線(狛江通り),c,2014-02-13,2014-02-14,4,2,4.3,1.2,66,61
590,狛江市中和泉2-3,35.637108,139.573608,JGD2011,都道武蔵野狛江線,B,2013-10-17,2013-10-18,4,2,3,1.2,67,63
591,東大和市中央2-870,35.746445,139.429016,JGD2011,都道新宿青梅線（新青梅街道）,b,2014-03-06,2014-03-07,4,4,2,1.2,75,72
592,東大和市中央2-1101-27,35.743168,139.430258,JGD2011,都道新宿青梅線（青梅街道）,b,2014-03-06,2014-03-07,4,2,1,1.2,67,65
593,東大和市蔵敷1-475-1,35.754031,139.421011,JGD2011,都道新宿青梅線（青梅街道）,a,2014-03-06,2014-03-07,4,2,0.5,1.2,65,60
594,東大和市立野4-476-2,35.740518,139.416662,JGD2011,都道立川東大和線（芋窪街道）,c,2014-03-06,2014-03-07,4,2,3.4,1.2,70,67
595,東大和市蔵敷3地先,35.748718,139.420166,JGD2011,都道新宿青梅線,B,2014-02-26,2014-02-27,4,4,3.1,1.2,74,71
596,東大和市中央3地先,35.745552,139.426147,JGD2011,都道新宿青梅線,B,2014-02-26,2014-02-27,4,2,2.5,1.2,66,62
597,清瀬市中清戸2-684,35.779991,139.526306,JGD2011,都道さいたま東村山線  （志木街道）,a,2013-11-25,2013-11-26,4,2,2,1.2,66,63
598,清瀬市元町2-27-12,35.777699,139.517212,JGD2011,都道練馬所沢線（小金井街道）,c,2013-11-25,2013-11-26,4,2,2,1.2,69,67
599,清瀬市竹丘1-17-9,35.770454,139.507187,JGD2011,都道東村山清瀬線（病院街通り）,a,2013-11-25,2013-11-26,4,2,2,1.2,64,58
601,清瀬市中里3-1118,35.782864,139.515900,JGD2011,都道練馬所沢線,A,2014-01-14,2014-01-15,4,2,1.7,1.2,71,68
602,東久留米市滝山３－１１,35.740479,139.505096,JGD2011,都道新宿青梅線（新青梅街道）,b,2014-02-25,2014-02-26,4,4,3.8,1.2,70,67
603,東久留米市野火止１－１,35.761608,139.515976,JGD2011,都道府中清瀬線（小金井街道）,c,2014-02-25,2014-02-26,4,2,3.2,1.2,65,63
604,東久留米市南沢５－１９,35.745346,139.523544,JGD2011,都道東京所沢線（所沢街道）,a,2014-02-25,2014-02-26,4,2,2.5,1.2,66,63
605,東久留米市滝山６－１,35.746067,139.504303,JGD2011,都道東久留米線（新小金井街道）,a,2014-02-25,2014-02-26,4,2,3.5,1.2,68,67
606,東久留米市八幡町3-14,35.751335,139.514267,JGD2011,都道東京所沢線,A,2013-11-12,2013-11-13,4,2,2.4,1.2,71,69
607,東久留米市柳窪4-4,35.745270,139.489853,JGD2011,都道新宿青梅線(2),B,2013-11-12,2013-11-13,4,4,4.3,1.2,70,66
608,東久留米市八幡町2-14,35.755939,139.514389,JGD2011,都道府中清瀬線,A,2013-11-12,2013-11-13,4,2,2.3,1.2,70,67
609,武蔵村山市三ツ木3-23-11,35.760361,139.371445,JGD2011,都道新宿青梅線（旧青梅街道）,b,2013-10-30,2013-10-31,4,2,2.5,1.2,66,62
610,武蔵村山市中藤4-18-1,35.757717,139.403427,JGD2011,都道新宿青梅線（旧青梅街道）,b,2013-10-30,2013-10-31,4,2,2,1.2,65,59
611,武蔵村山市三ツ藤3-7-8,35.756331,139.371374,JGD2011,都道新宿青梅線（新青梅街道）,b,2013-10-30,2013-10-31,4,4,2.8,1.2,75,71
612,武蔵村山市学園3-24-1,35.748326,139.405331,JGD2011,都道新宿青梅線（新青梅街道）,b,2013-10-30,2013-10-31,4,4,2.8,1.2,75,72
