一連番号,測定地点住所,緯度,経度,座標系,道  路  名,環境基準類型,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離,地上からの高さ,昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
445,武蔵野市境南町5-10,35.695648,139.537155,JGD2011,都道境調布線（天文台通り）,b,2013-12-17,2013-12-18,4,2,4,1.5,62,57
446,武蔵野市関前4-11,35.715000,139.547134,JGD2011,都道杉並あきる野線,B,2013-12-17,2013-12-18,4,4,5.5,1.2,67,63
447,武蔵野市中町2-10,35.706509,139.563416,JGD2011,都道杉並あきる野線,C,2013-12-17,2013-12-18,4,2,3.8,1.2,62,60
448,武蔵野市八幡町4-28-13,35.720028,139.554337,JGD2011,都道杉並あきる野線,B,2013-12-17,2013-12-18,4,2,5.6,1.2,64,60
449,三鷹市下連雀1-13-1,35.696217,139.569916,JGD2011,都道武蔵野狛江線（吉祥寺通り）,b,2013-05-13,2013-05-17,4,2,2,1,71,69
450,三鷹市新川6-30-22,35.681416,139.564667,JGD2011,都道新宿国立線（東八道路）,b,2013-05-27,2013-05-31,4,4,3,1,66,63
452,三鷹市上連雀8-12-5,35.683762,139.555649,JGD2011,都道府中三鷹線（人見街道）,b,2013-06-10,2013-06-14,4,2,2,1,67,64
453,三鷹市上連雀9-42-25,35.685791,139.549957,JGD2011,都道調布田無線（武蔵境通り）,a,2013-06-24,2013-06-29,4,2,2,1,71,68
454,三鷹市下連雀1-1,35.695992,139.571091,JGD2011,都道武蔵野狛江線,A,2013-12-04,2013-12-05,4,2,3.2,1.2,65,62
455,三鷹市中原2-12,35.671413,139.570404,JGD2011,都道武蔵野狛江線,A,2013-12-04,2013-12-05,4,2,2,1.2,64,60
456,三鷹市新川3-21,35.677914,139.568939,JGD2011,都道武蔵野狛江線,A,2013-12-04,2013-12-05,4,2,1.7,1.2,63,58
457,三鷹市北野4-10,35.674267,139.580048,JGD2011,都道世田谷三鷹線,A,2013-12-04,2013-12-05,4,2,1.9,1.2,68,64
458,青梅市新町1-21-13,35.787998,139.298141,JGD2011,都道新宿青梅線（青梅街道）,b,2013-09-30,2013-10-03,4,4,4.5,1.2,66,62
459,青梅市畑中3-953-1,35.779157,139.234967,JGD2011,都道奥多摩青梅線（吉野街道）,a,2014-01-28,2014-01-31,4,2,1.5,1.2,71,68
461,青梅市根ヶ布2-276,35.806583,139.265411,JGD2011,都道青梅飯能線（成木街道）,a,2013-10-29,2013-11-01,4,2,1.5,1.2,72,64
462,青梅市長淵5-749,35.771923,139.260223,JGD2011,都道青梅あきる野線（秋川街道）,b,2014-03-03,2014-03-06,4,2,1.5,1.6,72,65
464,青梅市柚木町2-405-1,35.801417,139.210272,JGD2011,都道奥多摩青梅線（吉野街道）,a,2014-01-20,2014-01-23,4,2,3,1.2,68,61
465,青梅市新町1-21,35.787998,139.298141,JGD2011,都道新宿青梅線,B,2013-11-26,2013-11-27,4,4,4,1.2,66,60
466,青梅市西分町1,35.790085,139.264450,JGD2011,都道青梅飯能線,C,2013-11-26,2013-11-27,4,2,2.8,1.2,66,61
467,青梅市東青梅5-18,35.790218,139.280441,JGD2011,都道立川青梅線,C,2013-11-26,2013-11-27,4,2,4.5,1.2,67,61
468,青梅市新町6-17,35.791203,139.323029,JGD2011,都道瑞穂富岡線,C,2013-11-26,2013-11-27,4,2,4,1.2,68,66
469,青梅市千ヶ瀬町2,35.785011,139.273651,JGD2011,都道奥多摩青梅線,C,2013-11-26,2013-11-27,4,2,2.4,1.2,67,60
470,青梅市大門3-26,35.795811,139.296051,JGD2011,都道青梅入間線,B,2013-11-26,2013-11-27,4,2,4.3,1.2,63,58
471,青梅市新町7-56,35.788872,139.315445,JGD2011,都道所沢青梅線,A,2013-11-26,2013-11-27,4,2,5,1.2,67,63
472,青梅市藤橋2,35.802444,139.303589,JGD2011,都道藤橋小作線,A,2013-11-26,2013-11-27,4,2,1.5,1.2,65,58
473,青梅市成木2,35.833412,139.271057,JGD2011,都道成木河辺線,B,2013-11-26,2013-11-27,4,2,1.2,1.2,65,55
