一連番号,測定地点住所,緯度,経度,座標系,道　路　名,環境基準類型,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離,地上からの高さ,昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
548,日野市多摩平4－3－1,35.667109,139.378379,JGD2011,国道20号　（日野バイパス）,a,2013-11-13,2013-11-20,3,4,3,1.3,67,63
549,日野市多摩平7－23－23,35.669273,139.389725,JGD2011,国道20号　（日野バイパス）,a,2013-11-20,2013-11-27,3,4,2,1.3,67,63
550,日野市万願寺6－35－13,35.669601,139.410080,JGD2011,国道20号　（日野バイパス）,b,2013-11-27,2013-12-04,3,4,3,1.3,68,64
551,日野市石田1－11－1,35.668066,139.420638,JGD2011,都道503号線　（相模原立川線）,a,2013-12-04,2013-12-11,4,3,4,1.3,69,64
552,日野市平山1－17－1,35.642484,139.388026,JGD2011,都道155号線　（町田平山八王子線）,a,2014-01-15,2014-01-22,4,2,2,1.3,67,64
553,日野市平山5－12－16,35.647003,139.383423,JGD2011,都道173号線　（北野街道）,c,2014-01-08,2014-01-15,4,2,2,1.3,71,67
554,日野市旭が丘1－8,35.657703,139.375183,JGD2011,都道155号線　（町田平山八王子線）,a,2013-12-18,2013-12-25,4,3,3,1.3,64,60
555,日野市三沢1－19－1,35.659542,139.421097,JGD2011,都道稲城日野線　（川崎街道）,a,2013-12-11,2013-12-18,4,2,5,1.3,63,60
556,日野市落川,35.658367,139.429825,JGD2011,都道府中相模原線,B,2013-10-30,2013-10-31,4,4,9.7,1.2,66,62
557,日野市三沢3-24,35.658882,139.418762,JGD2011,都道稲城日野線,A,2013-10-30,2013-10-31,4,2,2.6,1.2,71,67
