一連番号,測定地点住所,緯度,経度,座標系,道　路　名,環境基準類型,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離,地上からの高さ,昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
438,武蔵野市吉祥寺東町1-23,35.708572,139.588120,JGD2011,都道杉並武蔵野線（女子大通り）,a,2013-12-17,2013-12-18,4,2,1.5,1.5,66,61
439,武蔵野市御殿山1-19,35.699440,139.572311,JGD2011,都道武蔵野狛江線（吉祥寺通り）,a,2013-12-17,2013-12-18,4,2,3.5,1.5,67,66
440,武蔵野市中町2-10,35.706509,139.563416,JGD2011,都道杉並あきる野線（井の頭通り）,c,2013-12-17,2013-12-18,4,2,3.3,1.5,62,60
441,武蔵野市中町3-3,35.710518,139.563339,JGD2011,都道武蔵野調布線（三鷹通り）,c,2013-12-17,2013-12-18,4,2,2.5,1.5,68,63
442,武蔵野市吉祥寺本町4-17,35.708832,139.573532,JGD2011,都道杉並あきる野線（五日市街道）,c,2013-12-17,2013-12-18,4,2,1.5,1.5,65,63
443,武蔵野市八幡町4-28-13,35.720028,139.554337,JGD2011,都道杉並あきる野線,b,2013-12-17,2013-12-18,4,2,2.7,1.5,64,60
444,武蔵野市関前1-9,35.710793,139.544022,JGD2011,都道調布田無線（武蔵境通り）,c,2013-12-17,2013-12-18,4,2,3,1.5,63,58
445,武蔵野市境南町5-10,35.695648,139.537155,JGD2011,都道境調布線（天文台通り）,b,2013-12-17,2013-12-18,4,2,4,1.5,62,57
446,武蔵野市関前4-11,35.715000,139.547134,JGD2011,都道杉並あきる野線,B,2013-12-17,2013-12-18,4,4,5.5,1.2,67,63
447,武蔵野市中町2-10,35.706509,139.563416,JGD2011,都道杉並あきる野線,C,2013-12-17,2013-12-18,4,2,3.8,1.2,62,60
448,武蔵野市八幡町4-28-13,35.720028,139.554337,JGD2011,都道杉並あきる野線,B,2013-12-17,2013-12-18,4,2,5.6,1.2,64,60
