一連番号,測定地点住所,緯度,経度,座標系,道  路  名,環境基準類型,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離,地上からの高さ,昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
5,千代田区平河町2-5-1,35.680439,139.738847,JGD2011,区道220号線（プリンス通り）,b,2013-07-08,2013-07-10,6,2,3,1.6,62,58
79,新宿区納戸町36,35.696926,139.733063,JGD2011,区道34-191,a,2014-01-21,2014-01-24,6,1,0,1.2,62,56
113,墨田区八広4-12-3,35.722626,139.826523,JGD2011,区道墨120（八広中央通り）,c,2013-10-28,2013-11-01,6,2,2,1.2,67,62
114,墨田区八広6-53  西吾嬬公園,35.724098,139.830521,JGD2011,区道墨121（八広はなみずき通り）,c,2013-10-28,2013-11-01,6,2,3,1.2,68,63
115,墨田区八広1-7-4,35.721535,139.821991,JGD2011,区道墨119（曳舟川通り）,c,2013-11-25,2013-11-29,6,2,4,1.6,66,63
198,世田谷区上北沢2-1-3,35.669216,139.617523,JGD2011,区道調布経堂停車場線（赤堤通り）,a,2013-06-18,2013-06-28,6,2,1.7,1.2,66,60
225,中野区弥生町2-41-2,35.691418,139.672852,JGD2011,区道補助63号（本郷通り）,c,2013-12-03,2013-12-06,6,2,2.2,1.2,66,62
251,杉並区宮前3-27,35.696415,139.609192,JGD2011,区道2132号線（神明通り）,a,2013-06-11,2013-06-14,6,1,0.4,1.3,67,62
252,杉並区西荻北1-19,35.707241,139.606644,JGD2011,区道2103号線（真中橋通り）,a,2013-09-24,2013-09-27,6,2,2.8,1.2,62,56
253,杉並区高井戸西1-17,35.681786,139.606659,JGD2011,区道2133号線,a,2013-05-28,2013-05-31,6,2,0.6,1.2,63,59
284,荒川区東日暮里6-17,35.729103,139.777298,JGD2011,区道荒107号(日暮里中央通り),c,2013-11-11,2013-11-15,6,2,4.1,1.7,65,60
285,荒川区東尾久6-35,35.749165,139.772858,JGD2011,区道荒111号(旭電化通り),c,2013-12-02,2013-12-06,6,2,2.5,1.5,65,60
361,葛飾区水元1-20,35.780766,139.856613,JGD2011,区道408号,c,2013-11-09,2013-11-16,6,2,5.3,2.4,65,62
451,三鷹市下連雀2-26-9,35.697021,139.565842,JGD2011,市道6号線（むらさき橋通り）,b,2013-06-03,2013-06-07,6,2,2,1,67,64
484,府中市四谷5-44,35.663307,139.440155,JGD2011,市道多摩川通り,c,2013-12-02,2013-12-03,6,2,5,1.5,70,67
485,府中市押立町1-39,35.659729,139.512756,JGD2011,市道白糸台通り,a,2013-11-26,2013-11-27,6,2,3,1.5,67,64
486,府中市是政2-20,35.660870,139.495407,JGD2011,市道中央道側道,a,2013-08-27,2013-08-28,6,1,1,1.5,58,54
498,昭島市朝日町4-1-27,35.708347,139.372131,JGD2011,市道昭島17号（江戸街道）,c,2013-10-01,2013-10-04,6,2,5.3,1.2,63,57
502,昭島市つつじが丘3-1-30,35.714344,139.370575,JGD2011,市道昭島16号（つつじが丘通り）,a,2014-03-03,2014-03-06,6,2,3.4,1.2,65,60
519,町田市木曽東2-1-1,35.555057,139.427136,JGD2011,市道町田437号線（町田駅前通り）,c,2014-02-26,2014-02-27,6,2,2.4,1.2,69,65
542,小平市津田町3-34-8,35.726337,139.470108,JGD2011,市道第B-20号（たかの街道）,a,2013-11-20,2013-11-21,6,2,2,1.2,67,61
559,東村山市久米川町3-30-5,35.761127,139.479584,JGD2011,市道第373号線1（鷹の道）,a,2013-10-10,2013-10-11,6,2,4,1.2,63,59
560,東村山市富士見町1-2-31,35.744614,139.456924,JGD2011,市補助道第1号線（江戸街道）,c,2013-11-14,2013-11-15,6,2,2.1,1.2,64,59
567,国分寺市日吉町3-26,35.703793,139.453552,JGD2011,市道幹9号線（内藤橋街道）,a,2013-12-24,2013-12-25,6,2,2,1.5,66,60
568,国分寺市西町1-5-8,35.704289,139.437330,JGD2011,市道幹11号線（戸倉通り）,a,2013-12-24,2013-12-25,6,2,4,1.5,64,59
569,国分寺市日吉町1-30,35.703468,139.459076,JGD2011,市道幹7号線（熊野神社通り）,a,2013-12-24,2013-12-25,6,2,2.5,1.5,64,58
617,武蔵村山市榎1-2-8,35.745819,139.389862,JGD2011,市道第2号線（江戸街道）,c,2013-10-30,2013-10-31,6,2,4.1,1.2,65,57
657,西東京市南町3-18-40,35.722900,139.542114,JGD2011,市道119,a,2013-09-17,2013-09-20,6,2,5.5,1.2,62,58
