一連番号,測定地点住所,緯度,経度,座標系,道　路　名,環境基準類型,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離,地上からの高さ,昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
578,福生市本町5,35.738701,139.326782,JGD2011,都道立川青梅線（新奥多摩街道）,c,2013-12-04,2013-12-05,4,2,3,1.5,64,60
579,福生市牛浜163,35.733948,139.336945,JGD2011,都道杉並あきる野線（五日市街道）,a,2013-12-26,2013-12-27,4,2,3,1.5,64,60
580,福生市福生2300－4,35.740550,139.337811,JGD2011,国道16号,c,2013-12-12,2013-12-13,3,4,3,1.5,75,74
581,福生市熊川307,35.719730,139.332642,JGD2011,都道杉並あきる野線（睦橋通り）,b,2014-01-20,2014-01-21,4,4,4,1.5,67,64
582,福生市熊川1631,35.723953,139.348816,JGD2011,都道杉並あきる野線（五日市街道）,c,2013-12-17,2013-12-18,4,2,3,1.5,68,65
583,福生市熊川45地先,35.718025,139.331238,JGD2011,国道16号,A,2013-06-04,2013-06-05,3,4,12.5,1.2,55,52
584,福生市熊川1148-3地先,35.730469,139.341995,JGD2011,国道16号,C,2013-06-04,2013-06-05,3,4,3.7,1.2,71,70
585,福生市志茂208地先,35.738052,139.328247,JGD2011,都道立川青梅線,C,2013-06-04,2013-06-05,4,2,4.4,1.2,69,65
586,福生市熊川139地先,35.713947,139.334320,JGD2011,都道立川青梅線,A,2013-06-04,2013-06-05,4,2,1,1.2,66,61
587,福生市志茂229地先,35.736649,139.327271,JGD2011,都道瑞穂あきる野八王子線,B,2013-06-04,2013-06-05,4,2,3.2,1.2,65,61
