一連番号,測定地点住所,緯度,経度,座標系,道　路　名,環境基準類型,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離,地上からの高さ,昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
1,千代田区神田神保町2-1,35.695614,139.757889,JGD2011,都道301号（白山通り）,c,2013-07-08,2013-07-10,4,4,5.2,1.2,71,69
2,千代田区麹町6-2,35.685215,139.733078,JGD2011,国道20号線（新宿通り）,c,2013-07-08,2013-07-10,3,6,6.9,1.2,67,65
3,千代田区九段南1-1,35.693378,139.754913,JGD2011,都道401号（内堀通り）,b,2013-07-08,2013-07-10,4,4,1.7,1.2,67,64
4,千代田区飯田橋4-5-14,35.700638,139.747498,JGD2011,都道8号（目白通り）,c,2013-07-08,2013-07-10,4,5,4.4,1.2,70,68
5,千代田区平河町2-5-1,35.680439,139.738847,JGD2011,区道220号線（プリンス通り）,b,2013-07-08,2013-07-10,6,2,3,1.6,62,58
6,千代田区九段南3-8-14,35.692982,139.742935,JGD2011,都道302号線（靖国通り）,c,2013-09-09,2013-09-11,4,4,4.5,1.2,69,66
7,千代田区神田須田町1-3,35.696018,139.769287,JGD2011,都道302号線（靖国通り）,c,2013-09-09,2013-09-11,4,6,7.2,1.2,68,66
8,千代田区東神田2-10-18,35.695507,139.780655,JGD2011,都道302号線（靖国通り）,c,2013-09-09,2013-09-11,4,6,6.3,1.2,72,70
9,千代田区神田神保町2-14,35.696980,139.757339,JGD2011,都道301号線（白山通り）,c,2013-09-09,2013-09-11,4,4,4.2,1.2,68,67
10,千代田区一ツ橋2-2,35.693314,139.757553,JGD2011,都道301号線（白山通り）,c,2013-09-09,2013-09-11,4,4,4.5,1.2,69,67
11,千代田区神田神保町2-1,35.695614,139.757889,JGD2011,都道301号線（白山通り）,c,2013-09-09,2013-09-11,4,4,5.2,1.2,71,69
12,千代田区神田岩本町15,35.696655,139.775024,JGD2011,国道4号（日光街道）,c,2013-11-11,2013-11-13,3,5,6.8,1.2,70,69
13,千代田区神田岩本町15,35.696655,139.775024,JGD2011,高速1号上野線,c,2013-11-11,2013-11-13,2,4,18.2,13.6,71,69
14,千代田区神田錦町3-18,35.693203,139.761337,JGD2011,区道101号（千代田通り）,c,2013-11-11,2013-11-13,5,4,4,1.2,68,64
15,千代田区内神田1-1,35.689434,139.765686,JGD2011,都道402号錦町有楽町線,c,2013-11-11,2013-11-13,4,3,4.6,1.2,66,63
16,千代田区神田鍛冶町3-6,35.694111,139.771072,JGD2011,国道17号（中央通り）,c,2013-11-11,2013-11-13,3,5,4.3,1.2,67,64
17,千代田区平河町2-6,35.679234,139.739197,JGD2011,高速4号新宿線,C,2013-12-11,2013-12-12,2,4,0,1.2,68,67
18,千代田区外神田2-5,35.699986,139.768906,JGD2011,国道17号,C,2013-12-11,2013-12-12,3,4,4.1,1.2,64,62
19,千代田区内神田2-3,35.689632,139.768265,JGD2011,都道405号外濠環状線,C,2013-12-11,2013-12-12,4,5,4.5,1.2,67,64
20,千代田区外神田6-15,35.704056,139.771591,JGD2011,都道437号,C,2013-12-11,2013-12-12,4,6,5.5,1.2,64,62
21,千代田区西神田3-8,35.698326,139.753738,JGD2011,区道千第319号,C,2013-12-11,2013-12-12,5,4,4.7,1.2,64,61
