一連番号,測定地点住所,緯度,経度,座標系,道　路　名,環境基準類型,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離,地上からの高さ,昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
150,品川区上大崎2-13,35.634651,139.717880,JGD2011,都道白金台町等々力線(目黒通り),c,2013-10-28,2013-11-01,4,3,3.4,1.2,65,62
151,品川区上大崎2-13,35.634651,139.717880,JGD2011,都道白金台町等々力線(目黒通り),c,2013-10-28,2013-11-01,4,5,5.1,1.2,63,61
152,品川区北品川3-10,35.616417,139.737625,JGD2011,都道環状六号線(山手通り),c,2013-10-28,2013-11-01,4,2,3.9,1.2,69,66
153,品川区西五反田5-3,35.624962,139.716583,JGD2011,都道環状六号線(山手通り),c,2013-10-28,2013-11-01,4,4,3.1,1.2,69,67
154,品川区東大井1-8,35.606415,139.746445,JGD2011,都道鮫洲大山線,c,2013-10-28,2013-11-01,4,2,3.5,1.2,67,62
155,品川区戸越4-8,35.610844,139.718582,JGD2011,都道鮫洲大山線(区役所通り),c,2013-10-28,2013-11-01,4,2,4.5,1.2,61,56
156,品川区平塚3-12,35.613300,139.712585,JGD2011,都道鮫洲大山線,c,2013-10-28,2013-11-01,4,2,8.7,1.2,62,57
157,品川区東品川4-3,35.611004,139.746582,JGD2011,都道東品川下丸子線(池上通り),c,2013-10-28,2013-11-01,4,4,2.7,1.2,68,64
158,品川区南品川5-13,35.608231,139.741135,JGD2011,都道東品川下丸子線(池上通り),c,2013-10-28,2013-11-01,4,2,2.2,1.2,68,66
159,品川区大井6-18,35.595699,139.730331,JGD2011,都道東品川下丸子線(池上通り),b,2013-10-28,2013-11-01,4,2,2.9,1.2,68,65
160,品川区大井1-21,35.606804,139.731628,JGD2011,区道83号,c,2013-10-28,2013-11-01,5,4,4.9,1.2,58,52
161,品川区東品川3-15,35.614147,139.747238,JGD2011,国道357号,C,2013-10-17,2013-10-18,3,4,4.3,1.2,71,68
162,品川区北品川2-7,35.618835,139.744110,JGD2011,国道357号,C,2013-10-17,2013-10-18,3,4,4.7,1.2,69,66
163,品川区東五反田5-1,35.632069,139.721039,JGD2011,都道環状6号線(2),C,2013-10-17,2013-10-18,4,4,4,1.2,70,67
