一連番号,測定地点住所,緯度,経度,座標系,道　路　名,環境基準類型,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離,地上からの高さ,昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
519,町田市木曽東2-1-1,35.555057,139.427136,JGD2011,市道町田437号線（町田駅前通り）,c,2014-02-26,2014-02-27,6,2,2.4,1.2,69,65
520,町田市小山町2507,35.597279,139.368607,JGD2011,都道八王子町田線（町田街道）,b,2014-02-05,2014-02-06,4,2,2.1,1.2,70,68
521,町田市中町2-13-14,35.551792,139.444412,JGD2011,都道八王子町田線（町田街道）,c,2014-02-12,2014-02-13,4,2,2.1,1.2,70,68
522,町田市相原町,35.612930,139.300720,JGD2011,国道16号,B,2013-12-11,2013-12-12,3,2,2.6,1.2,74,73
523,町田市相原町,35.612930,139.300720,JGD2011,国道16号（八王子バイパス）,A,2013-12-11,2013-12-12,3,4,14.7,1.2,56,54
524,町田市玉川学園4-24,35.564339,139.452667,JGD2011,都道世田谷町田線,B,2013-12-11,2013-12-12,4,2,4,1.2,69,66
525,町田市原町田2-12,35.540695,139.453430,JGD2011,都道八王子町田線,C,2013-12-11,2013-12-12,4,2,2.8,1.2,69,69
526,町田市山崎町,35.576187,139.435440,JGD2011,都道八王子町田線,B,2013-12-11,2013-12-12,4,2,5.4,1.2,64,58
527,町田市旭町2-7,35.556999,139.434586,JGD2011,都道八王子町田線,B,2013-12-11,2013-12-12,4,2,2,1.2,70,66
528,町田市金森,35.530876,139.455978,JGD2011,都道目黒町町田線,A,2013-12-11,2013-12-12,4,2,4,1.2,64,57
529,町田市図師町,35.587612,139.422775,JGD2011,都道町田日野線,A,2013-12-11,2013-12-12,4,2,2.6,1.2,70,65
