一連番号,測定地点住所,緯度,経度,座標系,道  路  名,環境基準類型,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離,地上からの高さ,昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
419,八王子市松木30-3先,35.621720,139.390159,JGD2011,都道小山乞田線,B,2013-11-28,2013-11-29,4,4,5.3,1.2,67,63
420,八王子市高月町1160先,35.714001,139.320633,JGD2011,都道瑞穂あきる野八王子線,B,2013-12-02,2013-12-03,4,2,0.7,1.2,72,68
421,八王子市長沼町271先,35.641788,139.371902,JGD2011,都道上館日野線,A,2013-12-02,2013-12-03,4,2,4.9,1.2,69,66
422,八王子市大楽寺町539先,35.670731,139.298981,JGD2011,都道上野原八王子線,B,2013-11-28,2013-11-29,4,2,2.7,1.2,66,63
423,立川市幸町5-83-1,35.725777,139.418456,JGD2011,都道立川東大和線（芋窪街道）,c,2013-11-05,2013-11-06,4,4,2,1.5,70,65
424,立川市泉町786-11,35.719000,139.418720,JGD2011,都道立川東大和線（芋窪街道）,a,2013-10-31,2013-11-01,4,4,4,1.5,65,60
425,立川市西砂町6-12-10,35.729572,139.372147,JGD2011,都道杉並あきる野線（五日市街道）,a,2013-11-11,2013-11-12,4,2,0,1.5,72,68
426,立川市柴崎町1-17-7,35.692390,139.406006,JGD2011,都道立川青梅線（旧奥多摩街道）,a,2013-11-12,2013-11-13,4,2,0,1.5,68,60
427,立川市若葉町4-11-19,35.725261,139.433991,JGD2011,都道立川所沢線（立川通り）,b,2013-12-03,2013-12-04,4,2,2,1.5,66,63
428,立川市若葉町3-34-1,35.720204,139.439199,JGD2011,都道杉並あきる野線  （五日市街道）,b,2013-10-28,2013-10-29,4,2,0,1.5,69,68
429,立川市高松町2-26-3,35.705067,139.418915,JGD2011,都道立川所沢線（高松大通り）,c,2013-10-17,2013-10-18,4,2,2,1.5,68,66
430,立川市錦町5-20-25,35.685375,139.413849,JGD2011,都道256号線（甲州街道）,b,2013-10-21,2013-10-22,4,2,4,1.5,69,65
431,立川市錦町5-20-25,35.685375,139.413849,JGD2011,都道立川青梅線（新奥多摩街道）,b,2013-10-22,2013-10-23,4,4,2,1.5,70,67
432,立川市一番町1-40,35.725170,139.382370,JGD2011,都道八王子武蔵村山線（東文化通り）,a,2013-11-07,2013-11-08,4,2,2,1.5,64,62
433,立川市高松町2-26-3,35.705067,139.418915,JGD2011,都道立川所沢線,C,2013-11-14,2013-11-15,4,2,3.1,1.2,68,67
434,立川市幸町3-2-4,35.718021,139.431152,JGD2011,都道立川所沢線,B,2013-11-14,2013-11-15,4,2,2.3,1.2,69,67
435,立川市幸町4-41-5,35.725121,139.432922,JGD2011,都道立川所沢線,B,2013-11-14,2013-11-15,4,2,2,1.2,66,63
436,立川市錦町5-20-25,35.685375,139.413849,JGD2011,都道立川青梅線,B,2013-11-14,2013-11-15,4,4,3.5,1.2,69,66
437,立川市柴崎町1-17-7,35.692390,139.406006,JGD2011,都道立川青梅線,A,2013-11-14,2013-11-15,4,2,1,1.2,66,59
438,武蔵野市吉祥寺東町1-23,35.708572,139.588120,JGD2011,都道杉並武蔵野線（女子大通り）,a,2013-12-17,2013-12-18,4,2,1.5,1.5,66,61
439,武蔵野市御殿山1-19,35.699440,139.572311,JGD2011,都道武蔵野狛江線（吉祥寺通り）,a,2013-12-17,2013-12-18,4,2,3.5,1.5,67,66
440,武蔵野市中町2-10,35.706509,139.563416,JGD2011,都道杉並あきる野線（井の頭通り）,c,2013-12-17,2013-12-18,4,2,3.3,1.5,62,60
441,武蔵野市中町3-3,35.710518,139.563339,JGD2011,都道武蔵野調布線（三鷹通り）,c,2013-12-17,2013-12-18,4,2,2.5,1.5,68,63
442,武蔵野市吉祥寺本町4-17,35.708832,139.573532,JGD2011,都道杉並あきる野線（五日市街道）,c,2013-12-17,2013-12-18,4,2,1.5,1.5,65,63
443,武蔵野市八幡町4-28-13,35.720028,139.554337,JGD2011,都道杉並あきる野線,b,2013-12-17,2013-12-18,4,2,2.7,1.5,64,60
444,武蔵野市関前1-9,35.710793,139.544022,JGD2011,都道調布田無線（武蔵境通り）,c,2013-12-17,2013-12-18,4,2,3,1.5,63,58
