"一連番号
(国道)",測定地点住所,緯度,経度,座標系,道  路  名,環境基準類型,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離,地上からの高さ,昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
271,北区志茂3-46-8,35.775665,139.734360,JGD2011,国道122号（北本通り）,c,2013-10-21,2013-10-24,3,7,3,1.2,71,67
272,北区王子5-29,35.766922,139.735992,JGD2011,国道122号（北本通り）,c,2013-10-21,2013-10-24,3,6,3.2,1.2,70,67
274,北区滝野川1-90-8,35.746017,139.730728,JGD2011,国道122号（明治通り）,c,2013-10-28,2013-11-01,3,4,4,1.2,72,71
279,荒川区南千住1-59,35.734081,139.793381,JGD2011,国道4号（日光街道）,c,2013-05-13,2013-05-17,3,4,4.1,1.4,73,71
288,板橋区板橋2-67-7,35.751736,139.709290,JGD2011,国道17号(中山道),c,2013-07-08,2013-07-11,3,7,4,1.2,68,66
292,板橋区南常盤台2-8-9,35.756570,139.686306,JGD2011,国道254号(川越街道),c,2013-09-09,2013-09-12,3,4,4,1.2,69,68
294,板橋区大山町13-1,35.747094,139.700047,JGD2011,国道254号(川越街道),c,2013-09-24,2013-09-25,3,4,4,1.2,72,72
295,板橋区本町41-3,35.757792,139.707237,JGD2011,国道17号(中山道),c,2013-09-02,2013-09-03,3,6,4,1.2,75,72
297,板橋区大原町6-5,35.770150,139.700783,JGD2011,国道17号(中山道),c,2013-09-17,2013-09-18,3,5,4,1.2,72,70
298,板橋区東坂下2-20-9,35.787846,139.685287,JGD2011,国道17号(中山道),c,2014-01-07,2014-01-08,3,4,4,1.2,71,68
302,板橋区高島平6-1-1,35.792306,139.646469,JGD2011,国道17号(新大宮バイパス),c,2013-11-25,2013-11-26,3,9,4,1.2,71,70
303,板橋区赤塚7-25,35.779480,139.649689,JGD2011,国道17号(新大宮バイパス),a,2013-11-11,2013-11-12,3,2,4,1.2,68,65
304,板橋区赤塚新町3-3-9,35.770729,139.641541,JGD2011,国道254号(川越街道),c,2013-11-07,2013-11-08,3,4,4,1.2,72,71
305,板橋区板橋2-42,35.749298,139.713684,JGD2011,国道17号,C,2013-11-28,2013-11-29,3,6,5,1.2,71,69
306,板橋区本町39,35.759197,139.706772,JGD2011,国道17号,C,2013-11-28,2013-11-29,3,8,4.6,1.2,74,71
307,板橋区清水町44,35.763725,139.705002,JGD2011,国道17号,C,2013-11-28,2013-11-29,3,6,4.5,1.2,71,69
308,板橋区大原町11,35.771172,139.699738,JGD2011,国道17号,C,2013-12-03,2013-12-04,3,5,4.5,1.2,71,69
309,板橋区東坂下2-20,35.787846,139.685287,JGD2011,国道17号,C,2013-12-03,2013-12-04,3,4,6,1.2,70,69
314,練馬区北町3-13,35.767662,139.652328,JGD2011,国道17号,C,2013-05-15,2013-05-16,3,3,11,1.2,59,55
315,練馬区北町8-28,35.767879,139.649216,JGD2011,国道254号,C,2013-05-15,2013-05-16,3,4,4.1,1.2,67,64
341,足立区千住河原町10,35.743710,139.797867,JGD2011,国道4号（日光街道）,c,2013-11-07,2013-11-08,3,7,4,1.5,70,68
342,足立区中央本町1-5-3,35.771118,139.803574,JGD2011,国道4号（日光街道）,c,2013-11-27,2013-11-28,3,4,4,1.5,67,65
343,足立区西保木間1-15,35.796452,139.801788,JGD2011,国道4号（日光街道）,c,2013-11-07,2013-11-08,3,4,4.8,1.5,74,73
348,足立区中央本町1-17,35.775124,139.805023,JGD2011,国道4号線（日光街道）,C,2013-10-30,2013-10-31,3,4,4.6,1.2,71,70
356,葛飾区四つ木5-15,35.742584,139.841217,JGD2011,国道6号(水戸街道),c,2013-10-01,2013-10-08,3,4,4,1.2,69,68
