"一連番号
(国道)",測定地点住所,緯度,経度,座標系,道  路  名,環境基準類型,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離,地上からの高さ,昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
504,昭島市拝島町2-2,35.709324,139.341980,JGD2011,国道16号,B,2013-10-08,2013-10-09,3,5,5.3,1.2,72,71
508,調布市仙川町2-6,35.662476,139.579681,JGD2011,国道20号（甲州街道）,c,2014-03-11,2014-03-14,3,4,4.8,5,71,69
512,調布市西つつじヶ丘1-27-1,35.658794,139.571701,JGD2011,国道20号（甲州街道）,b,2014-03-11,2014-03-14,3,4,3.1,2,72,70
513,調布市西つつじケ丘1-27,35.658794,139.571701,JGD2011,国道20号,B,2014-03-11,2014-03-14,3,4,3.1,2,72,70
522,町田市相原町,35.612930,139.300720,JGD2011,国道16号,B,2013-12-11,2013-12-12,3,2,2.6,1.2,74,73
523,町田市相原町,35.612930,139.300720,JGD2011,国道16号（八王子バイパス）,A,2013-12-11,2013-12-12,3,4,14.7,1.2,56,54
548,日野市多摩平4－3－1,35.667109,139.378379,JGD2011,国道20号  （日野バイパス）,a,2013-11-13,2013-11-20,3,4,3,1.3,67,63
549,日野市多摩平7－23－23,35.669273,139.389725,JGD2011,国道20号  （日野バイパス）,a,2013-11-20,2013-11-27,3,4,2,1.3,67,63
550,日野市万願寺6－35－13,35.669601,139.410080,JGD2011,国道20号  （日野バイパス）,b,2013-11-27,2013-12-04,3,4,3,1.3,68,64
572,国立市谷保1253,35.675354,139.439987,JGD2011,国道20号（日野バイパス）,c,2013-11-26,2013-11-27,3,5,3.6,1.2,68,66
580,福生市福生2300－4,35.740550,139.337811,JGD2011,国道16号,c,2013-12-12,2013-12-13,3,4,3,1.5,75,74
583,福生市熊川45地先,35.718025,139.331238,JGD2011,国道16号,A,2013-06-04,2013-06-05,3,4,12.5,1.2,55,52
584,福生市熊川1148-3地先,35.730469,139.341995,JGD2011,国道16号,C,2013-06-04,2013-06-05,3,4,3.7,1.2,71,70
635,羽村市羽西3-9地先,35.775322,139.293442,JGD2011,国道468号（圏央道）,A,2013-12-17,2013-12-18,3,4,6.5,1.2,60,59
636,あきる野市菅生725,35.747017,139.289734,JGD2011,国道411号（滝山街道）,b,2013-10-07,2013-10-08,3,2,2,1.2,71,67
640,あきる野市牛沼127,35.721321,139.287079,JGD2011,国道411号,B,2014-02-13,2014-02-14,3,2,1,1.2,71,68
662,瑞穂町箱根ヶ崎西松原14-1,35.769868,139.338029,JGD2011,国道16号,A,2013-11-20,2013-11-21,3,4,14.6,1.2,56,53
663,瑞穂町駒形富士山401,35.784142,139.355057,JGD2011,国道16号,B,2013-11-20,2013-11-21,3,4,2.7,1.2,68,64
666,奥多摩町川井775,35.814102,139.154864,JGD2011,国道411号,B,2013-11-18,2013-11-19,3,2,2.5,1.2,66,60
667,奥多摩町棚沢164,35.815421,139.131393,JGD2011,国道411号,B,2013-11-18,2013-11-19,3,2,1,1.2,68,62
