一連番号,測定地点住所,緯度,経度,座標系,道  路  名,環境基準類型,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離,地上からの高さ,昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
2,千代田区麹町6-2,35.685215,139.733078,JGD2011,国道20号線（新宿通り）,c,2013-07-08,2013-07-10,3,6,6.9,1.2,67,65
12,千代田区神田岩本町15,35.696655,139.775024,JGD2011,国道4号（日光街道）,c,2013-11-11,2013-11-13,3,5,6.8,1.2,70,69
16,千代田区神田鍛冶町3-6,35.694111,139.771072,JGD2011,国道17号（中央通り）,c,2013-11-11,2013-11-13,3,5,4.3,1.2,67,64
18,千代田区外神田2-5,35.699986,139.768906,JGD2011,国道17号,C,2013-12-11,2013-12-12,3,4,4.1,1.2,64,62
23,中央区日本橋小伝馬町20,35.692455,139.780502,JGD2011,国道6号（江戸通り）,c,2013-06-04,2013-06-07,3,4,4.6,1.2,67,65
28,中央区京橋3-1,35.675819,139.768723,JGD2011,国道15号（中央通り）,c,2013-11-12,2013-11-15,3,5,5.9,1.2,65,63
42,港区白金台1-2,35.636738,139.730743,JGD2011,国道1号（桜田通り）,c,2014-01-15,2014-01-16,3,8,3.2,1.2,65,63
47,港区高輪2-13,35.634586,139.737762,JGD2011,国道15号（第一京浜）,c,2014-01-15,2014-01-16,3,8,3.2,1.2,69,66
48,港区北青山3-3,35.668293,139.714828,JGD2011,国道246号（青山通り）,c,2014-01-15,2014-01-16,3,8,6,1.2,69,69
50,港区三田2-7,35.651531,139.744034,JGD2011,国道1号,C,2014-02-05,2014-02-06,3,4,5.5,1.2,68,66
51,港区芝浦1-6,35.647343,139.755280,JGD2011,国道130号,C,2014-02-05,2014-02-06,3,4,3.6,1.2,70,65
60,港区台場2-3,35.627892,139.776321,JGD2011,国道357号,C,2014-02-05,2014-02-06,3,4,5.3,1.2,69,66
83,新宿区西新宿3-4,35.685623,139.692352,JGD2011,国道20号,C,2014-02-06,2014-02-07,3,8,5.4,1.2,70,69
99,墨田区東向島1-28-11,35.718777,139.814026,JGD2011,国道6号（水戸街道）,c,2013-09-02,2013-09-06,3,4,3,2,71,69
100,墨田区墨田4-61-9,35.730038,139.826355,JGD2011,国道6号（水戸街道）,c,2013-09-02,2013-09-06,3,4,4,1.2,74,72
103,墨田区江東橋1-7-14,35.695141,139.809860,JGD2011,国道14号（京葉道路）,c,2013-09-30,2013-10-04,3,6,5,2,70,67
104,墨田区緑2-13-7,35.694611,139.800964,JGD2011,国道14号（京葉道路）,c,2013-09-30,2013-10-04,3,4,4,1.2,73,71
116,墨田区向島2-18,35.714775,139.808182,JGD2011,国道6号,C,2013-10-17,2013-10-18,3,4,4.6,1.2,72,70
117,墨田区緑1-19,35.694881,139.798691,JGD2011,国道14号,C,2013-10-17,2013-10-18,3,4,5.9,1.2,71,70
118,墨田区江東橋1-11,35.695526,139.810257,JGD2011,国道14号,C,2013-10-17,2013-10-18,3,6,6.5,1.2,68,66
125,江東区亀戸7-39-9,35.697147,139.839218,JGD2011,国道14号（京葉道路）,c,2013-05-14,2013-05-15,3,6,5,2.1,72,69
134,江東区東雲2-5,35.640823,139.799210,JGD2011,国道357号（湾岸道路）,c,2013-12-09,2013-12-10,3,4,8,1.5,70,68
161,品川区東品川3-15,35.614147,139.747238,JGD2011,国道357号,C,2013-10-17,2013-10-18,3,4,4.3,1.2,71,68
162,品川区北品川2-7,35.618835,139.744110,JGD2011,国道357号,C,2013-10-17,2013-10-18,3,4,4.7,1.2,69,66
170,目黒区東山3-2,35.650620,139.684952,JGD2011,国道246号,C,2013-11-28,2013-11-29,3,8,5.5,1.2,72,73
