一連番号,測定地点住所,緯度,経度,座標系,道　路　名,環境基準類型,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離,地上からの高さ,昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
99,墨田区東向島1-28-11,35.718777,139.814026,JGD2011,国道6号（水戸街道）,c,2013-09-02,2013-09-06,3,4,3,2,71,69
100,墨田区墨田4-61-9,35.730038,139.826355,JGD2011,国道6号（水戸街道）,c,2013-09-02,2013-09-06,3,4,4,1.2,74,72
101,墨田区東向島6-8-1,35.721062,139.819839,JGD2011,都道王子千住南砂線（明治通り）,c,2013-09-09,2013-09-13,4,4,5,2,68,66
102,墨田区東向島3-17-13,35.724815,139.815765,JGD2011,都道王子千住南砂線（明治通り）,c,2013-09-09,2013-09-13,4,4,4,1.2,70,68
103,墨田区江東橋1-7-14,35.695141,139.809860,JGD2011,国道14号（京葉道路）,c,2013-09-30,2013-10-04,3,6,5,2,70,67
104,墨田区緑2-13-7,35.694611,139.800964,JGD2011,国道14号（京葉道路）,c,2013-09-30,2013-10-04,3,4,4,1.2,73,71
105,墨田区横網2-3 横網町公園,35.699745,139.796921,JGD2011,都道御徒町小岩線（蔵前橋通り）,b,2013-10-21,2013-10-25,4,4,3,1.2,70,66
106,墨田区太平1-17 法恩寺橋児童遊園,35.701801,139.808640,JGD2011,都道御徒町小岩線（蔵前橋通り）,c,2013-11-11,2013-11-15,4,4,3,1.2,69,66
107,墨田区菊川3-16-5,35.688911,139.806351,JGD2011,都道環状3号線（三ツ目通り）,c,2013-11-18,2013-11-22,4,4,3,1.2,70,67
108,墨田区本所4-1-4,35.702820,139.804916,JGD2011,都道環状3号線（三ツ目通り）,c,2013-11-18,2013-11-22,4,4,3,1.2,68,65
109,墨田区横網2-3横網町公園,35.699745,139.796921,JGD2011,都道上野月島線（清澄通り）,b,2013-10-21,2013-10-25,4,4,4,1.2,67,64
110,墨田区錦糸4-15錦糸公園,35.698555,139.815033,JGD2011,都道深川吾嬬町線（四ツ目通り）,b,2013-11-11,2013-11-15,4,4,4,1.5,65,61
111,墨田区東駒形4-15大横川親水公園,35.707531,139.807663,JGD2011,都道本郷亀戸線（浅草通り）,c,2013-11-01,2013-11-08,4,4,6,1.2,65,61
112,墨田区堤通2-5隅田川神社入り口,35.731106,139.814011,JGD2011,都道吾妻橋伊興線（墨堤通り）,b,2013-10-07,2013-10-11,4,4,6,1.2,66,62
113,墨田区八広4-12-3,35.722626,139.826523,JGD2011,区道墨120（八広中央通り）,c,2013-10-28,2013-11-01,6,2,2,1.2,67,62
114,墨田区八広6-53　西吾嬬公園,35.724098,139.830521,JGD2011,区道墨121（八広はなみずき通り）,c,2013-10-28,2013-11-01,6,2,3,1.2,68,63
115,墨田区八広1-7-4,35.721535,139.821991,JGD2011,区道墨119（曳舟川通り）,c,2013-11-25,2013-11-29,6,2,4,1.6,66,63
116,墨田区向島2-18,35.714775,139.808182,JGD2011,国道6号,C,2013-10-17,2013-10-18,3,4,4.6,1.2,72,70
117,墨田区緑1-19,35.694881,139.798691,JGD2011,国道14号,C,2013-10-17,2013-10-18,3,4,5.9,1.2,71,70
118,墨田区江東橋1-11,35.695526,139.810257,JGD2011,国道14号,C,2013-10-17,2013-10-18,3,6,6.5,1.2,68,66
119,墨田区本所4-1,35.702679,139.805069,JGD2011,都道環状3号線,C,2013-10-17,2013-10-18,4,4,3.7,1.2,67,65
120,墨田区京島3-17,35.716209,139.824081,JGD2011,都道王子千住南砂町線,C,2013-10-17,2013-10-18,4,4,4.1,1.2,67,63
121,墨田区吾妻橋2-3,35.708782,139.803726,JGD2011,都道本郷亀戸線,C,2013-10-17,2013-10-18,4,6,6.2,1.2,66,62
122,墨田区業平5-10,35.707935,139.816772,JGD2011,都道本郷亀戸線,C,2013-10-17,2013-10-18,4,4,2.7,1.2,69,65
123,墨田区横川4-8,35.704826,139.815033,JGD2011,都道深川吾嬬線,C,2013-10-17,2013-10-18,4,4,4.8,1.2,67,63
