一連番号,測定地点住所,緯度,経度,座標系,道  路  名,環境基準類型,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離,地上からの高さ,昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
1,千代田区神田神保町2-1,35.695614,139.757889,JGD2011,都道301号（白山通り）,c,2013-07-08,2013-07-10,4,4,5.2,1.2,71,69
3,千代田区九段南1-1,35.693378,139.754913,JGD2011,都道401号（内堀通り）,b,2013-07-08,2013-07-10,4,4,1.7,1.2,67,64
4,千代田区飯田橋4-5-14,35.700638,139.747498,JGD2011,都道8号（目白通り）,c,2013-07-08,2013-07-10,4,5,4.4,1.2,70,68
6,千代田区九段南3-8-14,35.692982,139.742935,JGD2011,都道302号線（靖国通り）,c,2013-09-09,2013-09-11,4,4,4.5,1.2,69,66
7,千代田区神田須田町1-3,35.696018,139.769287,JGD2011,都道302号線（靖国通り）,c,2013-09-09,2013-09-11,4,6,7.2,1.2,68,66
8,千代田区東神田2-10-18,35.695507,139.780655,JGD2011,都道302号線（靖国通り）,c,2013-09-09,2013-09-11,4,6,6.3,1.2,72,70
9,千代田区神田神保町2-14,35.696980,139.757339,JGD2011,都道301号線（白山通り）,c,2013-09-09,2013-09-11,4,4,4.2,1.2,68,67
10,千代田区一ツ橋2-2,35.693314,139.757553,JGD2011,都道301号線（白山通り）,c,2013-09-09,2013-09-11,4,4,4.5,1.2,69,67
11,千代田区神田神保町2-1,35.695614,139.757889,JGD2011,都道301号線（白山通り）,c,2013-09-09,2013-09-11,4,4,5.2,1.2,71,69
15,千代田区内神田1-1,35.689434,139.765686,JGD2011,都道402号錦町有楽町線,c,2013-11-11,2013-11-13,4,3,4.6,1.2,66,63
19,千代田区内神田2-3,35.689632,139.768265,JGD2011,都道405号外濠環状線,C,2013-12-11,2013-12-12,4,5,4.5,1.2,67,64
20,千代田区外神田6-15,35.704056,139.771591,JGD2011,都道437号,C,2013-12-11,2013-12-12,4,6,5.5,1.2,64,62
22,中央区月島4-1,35.662067,139.782181,JGD2011,都道上野月島線（清澄通り）,c,2013-06-04,2013-06-07,4,6,7,1.2,63,60
24,中央区日本橋本町2-2,35.687996,139.775497,JGD2011,都道日本橋芝浦大森線（昭和通り）,c,2013-06-04,2013-06-07,4,7,6,1.2,72,70
25,中央区築地6-1,35.665749,139.772690,JGD2011,都道日比谷豊洲埠頭東雲町線（晴海通り）,c,2013-07-02,2013-07-05,4,6,5,1.6,71,69
26,中央区京橋3-11,35.674385,139.771667,JGD2011,都道日本橋芝浦大森線（昭和通り）,c,2013-11-12,2013-11-15,4,10,6,1.2,69,68
27,中央区日本橋人形町2-36,35.685848,139.786469,JGD2011,都道東京市川線（新大橋通り）,c,2013-10-08,2013-10-11,4,6,5.5,1.2,68,65
29,中央区新富2-15,35.671257,139.775208,JGD2011,都道東京市川線（新大橋通り）,c,2013-11-12,2013-11-15,4,6,5.5,1.2,69,66
30,中央区晴海3-1,35.656456,139.779572,JGD2011,都道日比谷豊洲埠頭東雲町線（晴海通り）,c,2013-12-03,2013-12-06,4,9,8.7,1.2,66,65
31,中央区日本橋茅場町1-14,35.680141,139.781479,JGD2011,都道東京市川線（新大橋通り）,c,2014-02-04,2014-02-07,4,6,5.4,1.2,67,65
32,中央区日本橋馬喰町2-2,35.695366,139.783188,JGD2011,都道302号（新宿両国線）,C,2013-11-19,2013-11-20,4,6,7.8,1.2,67,65
33,中央区築地6-15,35.664047,139.773560,JGD2011,都道304号（日比谷豊洲埠頭東雲町線）,C,2013-11-19,2013-11-20,4,6,5.5,1.2,68,65
34,中央区晴海2-5,35.655460,139.782700,JGD2011,都道304号（日比谷豊洲埠頭東雲町線）,C,2013-11-19,2013-11-20,4,4,12.2,1.2,61,57
35,中央区日本橋本石町3-2,35.687450,139.770630,JGD2011,都道407号（丸の内室町線）,C,2013-11-19,2013-11-20,4,4,5.1,1.2,65,62
36,中央区月島4-13,35.661507,139.781418,JGD2011,都道463号（上野月島線）,C,2013-11-19,2013-11-20,4,6,7.7,1.2,63,60
37,中央区日本橋箱崎町27,35.680027,139.787079,JGD2011,都道475号（永代葛西橋線）,C,2013-11-19,2013-11-20,4,6,4,1.2,68,64
