"一連番号
(４車線以上の区市道)",測定地点住所,緯度,経度,座標系,道  路  名,環境基準類型,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離,地上からの高さ,昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
14,千代田区神田錦町3-18,35.693203,139.761337,JGD2011,区道101号（千代田通り）,c,2013-11-11,2013-11-13,5,4,4,1.2,68,64
21,千代田区西神田3-8,35.698326,139.753738,JGD2011,区道千第319号,C,2013-12-11,2013-12-12,5,4,4.7,1.2,64,61
38,中央区日本橋馬喰町1-4,35.692814,139.781235,JGD2011,区道中日第2号線,C,2013-11-19,2013-11-20,5,4,4.5,1.2,63,58
39,中央区八丁堀1-9,35.677292,139.777100,JGD2011,区道中京第401号線,C,2013-11-19,2013-11-20,5,6,6,1.2,65,62
40,中央区銀座8-18,35.665993,139.764603,JGD2011,区道中京第407号線,C,2013-11-19,2013-11-20,5,4,4.8,1.2,64,62
41,中央区明石町7,35.667721,139.778976,JGD2011,区道中京第412号線,B,2013-11-19,2013-11-20,5,4,14,1.2,59,54
58,港区芝4-1,35.649269,139.749573,JGD2011,区道821号,C,2014-02-05,2014-02-06,5,4,4.6,1.2,69,64
59,港区港南2-3,35.629086,139.743881,JGD2011,区道243号,C,2014-02-05,2014-02-06,5,4,5.5,1.2,65,60
74,新宿区新宿1-7-3,35.688770,139.710327,JGD2011,区道41-900(新宿通り),c,2014-01-28,2014-01-31,5,4,0.4,1.2,70,69
160,品川区大井1-21,35.606804,139.731628,JGD2011,区道83号,c,2013-10-28,2013-11-01,5,4,4.9,1.2,58,52
402,八王子市元本郷町1-3-9先,35.662304,139.321259,JGD2011,市道17号線(国道20号ﾊﾞｲﾊﾟｽ),c,2013-11-26,2013-11-27,5,4,2.9,1.2,72,68
460,青梅市新町8-20,35.784454,139.309372,JGD2011,市道幹12号線,b,2014-01-14,2014-01-17,5,4,4.5,1.2,67,64
