一連番号,測定地点住所,緯度,経度,座標系,道  路  名,環境基準類型,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離,地上からの高さ,昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
547,小平市大沼町4-44-27,35.743082,139.502906,JGD2011,都道府中清瀬線,B,2013-11-20,2013-11-21,4,2,5,1.2,64,63
551,日野市石田1－11－1,35.668066,139.420638,JGD2011,都道503号線  （相模原立川線）,a,2013-12-04,2013-12-11,4,3,4,1.3,69,64
552,日野市平山1－17－1,35.642484,139.388026,JGD2011,都道155号線  （町田平山八王子線）,a,2014-01-15,2014-01-22,4,2,2,1.3,67,64
553,日野市平山5－12－16,35.647003,139.383423,JGD2011,都道173号線  （北野街道）,c,2014-01-08,2014-01-15,4,2,2,1.3,71,67
554,日野市旭が丘1－8,35.657703,139.375183,JGD2011,都道155号線  （町田平山八王子線）,a,2013-12-18,2013-12-25,4,3,3,1.3,64,60
555,日野市三沢1－19－1,35.659542,139.421097,JGD2011,都道稲城日野線  （川崎街道）,a,2013-12-11,2013-12-18,4,2,5,1.3,63,60
556,日野市落川,35.658367,139.429825,JGD2011,都道府中相模原線,B,2013-10-30,2013-10-31,4,4,9.7,1.2,66,62
557,日野市三沢3-24,35.658882,139.418762,JGD2011,都道稲城日野線,A,2013-10-30,2013-10-31,4,2,2.6,1.2,71,67
558,東村山市本町2-6-5,35.762195,139.467231,JGD2011,都道第16号線（府中街道）,c,2013-12-12,2013-12-13,4,2,3.1,1.2,67,68
561,東村山市本町2-21地先,35.758385,139.467758,JGD2011,都道東村山東久留米線,C,2013-12-17,2013-12-18,4,2,1.4,1.2,64,60
562,東村山市恩多町4-10地先,35.757023,139.474426,JGD2011,都道東村山東久留米線,A,2013-12-17,2013-12-18,4,2,0,1.2,57,49
563,東村山市野口町2-31地先,35.760757,139.456879,JGD2011,都道東村山東大和線,C,2013-12-17,2013-12-18,4,2,1.2,1.2,67,63
564,国分寺市並木町2-33-15,35.716751,139.450421,JGD2011,都道7号杉並あきる野線（五日市街道）,a,2013-12-24,2013-12-25,4,2,2,1.5,69,67
565,国分寺市東恋ヶ窪5-16-5,35.712213,139.467212,JGD2011,都道17号所沢府中線（府中街道）,c,2013-12-24,2013-12-25,4,2,1.5,1.5,69,67
566,国分寺市南町2-5,35.697422,139.482513,JGD2011,都道133号小川山府中線（国分寺街道）,c,2013-12-24,2013-12-25,4,2,1.2,1.5,67,64
570,国分寺市内藤1-6,35.693974,139.458237,JGD2011,都道145号線立川国分寺線（多喜窪通り）,c,2013-12-24,2013-12-25,4,2,1.5,1.5,66,61
571,国分寺東恋ヶ窪5-16,35.711868,139.467545,JGD2011,都道所沢府中線,C,2013-12-16,2013-12-17,4,2,20,1.2,69,68
573,国立市中3-11,35.687656,139.444794,JGD2011,都道国立停車場谷保線（大学通り）,a,2013-11-26,2013-11-27,4,4,15.7,1.2,58,52
574,国立市谷保7069,35.683064,139.435272,JGD2011,都道八王子国立線（甲州街道）,b,2013-11-26,2013-11-27,4,4,1.5,1.2,75,71
576,国立市谷保249,35.676632,139.445984,JGD2011,都道府中相模原線,B,2013-11-26,2013-11-27,4,4,5.1,1.2,68,64
577,国立市北3-28,35.701736,139.429291,JGD2011,都道立川東大和線,C,2013-11-26,2013-11-27,4,2,2.2,1.2,66,61
578,福生市本町5,35.738701,139.326782,JGD2011,都道立川青梅線（新奥多摩街道）,c,2013-12-04,2013-12-05,4,2,3,1.5,64,60
579,福生市牛浜163,35.733948,139.336945,JGD2011,都道杉並あきる野線（五日市街道）,a,2013-12-26,2013-12-27,4,2,3,1.5,64,60
581,福生市熊川307,35.719730,139.332642,JGD2011,都道杉並あきる野線（睦橋通り）,b,2014-01-20,2014-01-21,4,4,4,1.5,67,64
582,福生市熊川1631,35.723953,139.348816,JGD2011,都道杉並あきる野線（五日市街道）,c,2013-12-17,2013-12-18,4,2,3,1.5,68,65
585,福生市志茂208地先,35.738052,139.328247,JGD2011,都道立川青梅線,C,2013-06-04,2013-06-05,4,2,4.4,1.2,69,65
