一連番号,測定地点住所,緯度,経度,座標系,道　路　名,環境基準類型,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離,地上からの高さ,昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
475,府中市美好町2-4,35.672638,139.466782,JGD2011,国道20号（甲州街道）,c,2013-10-17,2013-10-18,3,4,3,1.5,71,68
476,府中市寿町3-1,35.673138,139.474747,JGD2011,国道20号（甲州街道）,c,2013-10-21,2013-10-22,3,4,2.8,1.5,71,68
477,府中市浅間町4-5,35.683331,139.499557,JGD2011,都道248号府中小平線（新小金井街道）,b,2013-11-05,2013-11-06,4,2,4,1.5,65,62
478,府中市分梅町3-50,35.665642,139.459076,JGD2011,都道18号府中町田線バイパス（新府中街道）,b,2013-12-12,2013-12-13,4,4,3,1.5,67,64
479,府中市矢崎町1-5,35.663582,139.479401,JGD2011,都道9号川崎府中線（府中街道）,b,2013-11-11,2013-11-12,4,2,4,1.5,69,66
480,府中市寿町3-7,35.675293,139.473862,JGD2011,都道17号所沢府中線（府中街道）,c,2014-01-14,2014-01-15,4,2,3,1.5,63,61
481,府中市緑町1-29,35.674267,139.486389,JGD2011,都道15号府中清瀬線（小金井街道）,b,2013-12-16,2013-12-17,4,2,1.8,1.5,66,63
482,府中市北山町3-5,35.688961,139.459320,JGD2011,都道17号所沢府中線（新府中街道）,a,2013-09-03,2013-09-04,4,4,9,1.5,68,63
483,府中市若松町3-39,35.675034,139.506744,JGD2011,都道110号線（人見街道）,a,2014-01-20,2014-01-21,4,2,1,1.5,64,59
484,府中市四谷5-44,35.663307,139.440155,JGD2011,市道多摩川通り,c,2013-12-02,2013-12-03,6,2,5,1.5,70,67
485,府中市押立町1-39,35.659729,139.512756,JGD2011,市道白糸台通り,a,2013-11-26,2013-11-27,6,2,3,1.5,67,64
486,府中市是政2-20,35.660870,139.495407,JGD2011,市道中央道側道,a,2013-08-27,2013-08-28,6,1,1,1.5,58,54
487,府中市是政2-19,35.660801,139.494766,JGD2011,中央自動車道富士吉田線,A,2013-12-05,2013-12-06,1,4,28,1.2,56,52
488,府中市白糸台1-37-5,35.669884,139.506317,JGD2011,国道20号,B,2013-12-05,2013-12-06,3,4,2.5,1.2,68,65
489,府中市美好町2-8-20,35.672425,139.465573,JGD2011,国道20号,C,2013-12-05,2013-12-06,3,4,2.4,1.2,70,67
490,府中市天神町2-23,35.681183,139.492935,JGD2011,都道府中清瀬線,B,2013-12-05,2013-12-06,4,2,1.6,1.2,68,64
491,府中市栄町1-3-3,35.687229,139.480240,JGD2011,都道小川山府中線,C,2013-12-05,2013-12-06,4,2,3.5,1.2,65,61
492,府中市是政1-13-10,35.662033,139.493179,JGD2011,都道府中小平線,A,2013-12-05,2013-12-06,4,2,5.2,1.2,64,59
