一連番号,測定地点住所,緯度,経度,座標系,道　路　名,環境基準類型,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離,地上からの高さ,昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
311,練馬区大泉町3-2,35.763367,139.600479,JGD2011,東京外環自動車道,B,2013-04-23,2013-04-24,1,6,19,1.2,61,56
312,練馬区大泉町2-7,35.757301,139.601166,JGD2011,関越自動車道(2),A,2013-04-23,2013-04-24,1,4,6.5,1.2,60,57
313,練馬区大泉学園町3-23,35.764153,139.579803,JGD2011,関越自動車道(2),A,2013-04-23,2013-04-24,1,6,9,1.2,65,60
314,練馬区北町3-13,35.767662,139.652328,JGD2011,国道17号,C,2013-05-15,2013-05-16,3,3,11,1.2,59,55
315,練馬区北町8-28,35.767879,139.649216,JGD2011,国道254号,C,2013-05-15,2013-05-16,3,4,4.1,1.2,67,64
316,練馬区関町南4-6,35.722366,139.576309,JGD2011,都道東京所沢線,C,2013-04-25,2013-04-26,4,4,4.5,1.2,72,70
317,練馬区豊玉北2-4,35.733707,139.666595,JGD2011,都道千代田練馬田無線(1),C,2013-05-13,2013-05-14,4,4,4.2,1.2,69,66
318,練馬区石神井台5-25,35.738548,139.586426,JGD2011,都道千代田練馬田無線(1),B,2013-05-08,2013-05-09,4,2,2.5,1.2,66,65
319,練馬区東大泉2-11,35.751392,139.594864,JGD2011,都道練馬所沢線(1),C,2013-05-08,2013-05-09,4,2,3.5,1.2,63,59
320,練馬区大泉町6-13,35.757385,139.593399,JGD2011,都道練馬所沢線(4),B,2013-04-23,2013-04-24,4,4,5,1.2,66,63
321,練馬区下石神井3-4,35.733875,139.608810,JGD2011,都道飯田橋石神井新座線,A,2013-05-08,2013-05-09,4,2,0.6,1.2,64,58
322,練馬区大泉町1-3,35.765411,139.609756,JGD2011,都道練馬川口線,C,2013-04-23,2013-04-24,4,2,1.5,1.2,66,63
323,練馬区南田中3-13,35.736877,139.618912,JGD2011,都道環状8号線,B,2013-05-13,2013-05-14,4,4,8,1.2,58,54
324,練馬区平和台4-20,35.759644,139.656967,JGD2011,都道環状8号線,C,2013-05-15,2013-05-16,4,4,4,1.2,69,67
325,練馬区豊玉上2-2,35.736355,139.664688,JGD2011,都道環状7号線,B,2013-05-13,2013-05-14,4,4,3.5,1.2,77,76
326,練馬区大泉町1-44,35.767612,139.604416,JGD2011,都道東京朝霞線,A,2013-04-23,2013-04-24,4,2,2,1.2,67,62
327,練馬区関町南3-8,35.721073,139.582687,JGD2011,都道関町吉祥寺線,C,2013-04-25,2013-04-26,4,2,2.5,1.2,66,64
328,練馬区東大泉4-18,35.751442,139.582474,JGD2011,都道東大泉田無線,B,2013-05-08,2013-05-09,4,2,0.8,1.2,68,66
329,練馬区石神井台4-5,35.730782,139.582718,JGD2011,都道杉並田無線,B,2013-04-25,2013-04-26,4,2,2.5,1.2,71,70
330,練馬区中村南3-19,35.729916,139.639267,JGD2011,都道瀬田貫井線,C,2013-05-13,2013-05-14,4,2,0.9,1.2,64,60
331,練馬区旭丘1-27,35.732967,139.676224,JGD2011,都道椎名町上石神井線,C,2013-05-13,2013-05-14,4,2,3.8,1.2,62,60
332,練馬区富士見台1-15,35.731342,139.622726,JGD2011,都道椎名町上石神井線,A,2013-05-13,2013-05-14,4,2,3.8,1.2,65,62
333,練馬区小竹町2-32,35.744553,139.676193,JGD2011,都道池袋谷原線,A,2013-05-13,2013-05-14,4,4,11,1.2,56,52
334,練馬区高野台3-15,35.744797,139.615387,JGD2011,都道南田中町旭町線(1),B,2013-05-08,2013-05-09,4,4,4.5,1.2,69,68
335,練馬区谷原3-24,35.755493,139.620148,JGD2011,都道南田中町旭町線(1),C,2013-05-15,2013-05-16,4,4,4.5,1.2,70,68
336,練馬区春日町6-10,35.753353,139.634415,JGD2011,都道南田中町旭町線(2),B,2013-05-15,2013-05-16,4,2,3.5,1.2,65,62
337,練馬区光が丘3-9,35.757977,139.625824,JGD2011,都道南田中町旭町線(3),B,2013-05-15,2013-05-16,4,4,9.8,1.2,59,53
338,練馬区下石神井5-18,35.731625,139.600052,JGD2011,都道下石神井大泉線,B,2013-05-08,2013-05-09,4,2,2,1.2,65,62
