"一連番号
",測定地点住所,緯度,経度,座標系,道  路  名,環境基準類型,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離,地上からの高さ,昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
176,大田区大森中2-1,35.568119,139.730362,JGD2011,国道15号（第一京浜）,c,2013-10-29,2013-11-01,3,4,4.2,2.3,74,72
177,大田区東六郷2-18,35.547951,139.716278,JGD2011,国道15号（第一京浜）,c,2013-10-29,2013-11-01,3,4,4.9,2.2,72,70
178,大田区南馬込5-42,35.585648,139.705750,JGD2011,国道1号（第二京浜）,b,2013-10-29,2013-11-01,3,6,2.4,2.1,73,69
179,大田区池上3-4,35.575981,139.699539,JGD2011,国道1号（第二京浜）,c,2013-10-29,2013-11-01,3,6,2.4,2,74,71
180,大田区南馬込5-42,35.585648,139.705750,JGD2011,国道1号,B,2013-10-30,2013-10-31,3,6,2,2.1,72,68
181,大田区大森中2-1,35.568119,139.730362,JGD2011,国道15号,C,2013-10-30,2013-10-31,3,4,4.2,2.3,73,71
182,大田区西糀谷3-9,35.555283,139.738342,JGD2011,国道131号,C,2013-10-21,2013-10-22,3,6,5,3.3,69,66
188,大田区北馬込2-39,35.598221,139.712006,JGD2011,国道1号,B,2013-10-17,2013-10-18,3,6,2.5,2.7,67,65
191,世田谷区太子堂１-4-24,35.645943,139.676056,JGD2011,国道246号（玉川通り）,c,2013-05-21,2013-05-31,3,6,4.4,1.2,72,73
192,世田谷区上馬4-1-3,35.635284,139.664078,JGD2011,国道246号（玉川通り）,c,2013-08-20,2013-08-30,3,6,3.2,1.2,74,73
195,世田谷区北烏山9-3-8,35.669563,139.594894,JGD2011,国道20号（甲州街道）,b,2013-10-15,2013-10-25,3,4,3,1.2,75,74
201,世田谷区太子堂2-12-2,35.644928,139.673462,JGD2011,国道246号（玉川通り）,c,2013-12-03,2013-12-04,3,7,2.6,1.2,76,76
202,世田谷区上北沢4-31-10,35.670990,139.617905,JGD2011,国道20号（甲州街道）,c,2013-12-03,2013-12-04,3,4,4.7,1.2,71,70
204,世田谷区瀬田2-31-2,35.618130,139.629593,JGD2011,国道246号（玉川通り）,b,2013-12-03,2013-12-04,3,8,3,1.2,75,73
206,世田谷区松原1-39-15,35.670254,139.651688,JGD2011,国道20号（甲州街道）,c,2013-12-03,2013-12-04,3,8,3.5,1.2,73,72
208,世田谷区大原2-27,35.671265,139.658142,JGD2011,国道20号,C,2013-11-21,2013-11-22,3,8,3.5,1.2,74,73
209,世田谷区北烏山1-12,35.673161,139.604340,JGD2011,国道20号,B,2013-11-21,2013-11-22,3,4,3,1.2,74,74
210,世田谷区新町2-8,35.629463,139.649780,JGD2011,国道246号,B,2013-11-21,2013-11-22,3,6,3.5,1.2,74,74
215,渋谷区渋谷2-9-1,35.660892,139.707596,JGD2011,国道246号,C,2014-01-16,2014-01-17,3,8,5.9,1.2,69,67
237,杉並区下高井戸3-3,35.670132,139.631882,JGD2011,国道20号（甲州街道）,c,2013-09-10,2013-09-13,3,8,4.9,1.3,70,69
254,杉並区下高井戸4-2,35.670437,139.629974,JGD2011,国道20号,C,2013-11-27,2013-11-28,3,6,8.4,1.2,74,73
263,豊島区池袋1-13,35.737099,139.713638,JGD2011,国道254号（川越街道）,c,2013-12-11,2013-12-13,3,4,5.5,1.2,73,71
264,豊島区巣鴨1-11,35.732189,139.740540,JGD2011,国道17号,C,2013-12-11,2013-12-12,3,8,5.4,1.2,69,67
265,豊島区池袋本町1-7,35.738117,139.712723,JGD2011,国道254号,C,2013-12-11,2013-12-12,3,6,5.3,1.2,71,69
270,北区岩淵町26-6,35.785576,139.721802,JGD2011,国道122号（北本通り）,c,2013-10-21,2013-10-24,3,5,4,1.2,71,69
