一連番号,測定地点住所,緯度,経度,座標系,道  路  名,環境基準類型,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離,地上からの高さ,昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
13,千代田区神田岩本町15,35.696655,139.775024,JGD2011,高速1号上野線,c,2013-11-11,2013-11-13,2,4,18.2,13.6,71,69
17,千代田区平河町2-6,35.679234,139.739197,JGD2011,高速4号新宿線,C,2013-12-11,2013-12-12,2,4,0,1.2,68,67
82,新宿区南元町15,35.679630,139.723129,JGD2011,高速4号新宿線,B,2014-02-06,2014-02-07,2,4,5,1.2,62,58
87,文京区関口3-11,35.714394,139.728363,JGD2011,高速5号池袋線,B,2014-02-05,2014-02-06,2,4,2.3,1.2,59,56
142,江東区大島7-30,35.693832,139.841415,JGD2011,高速7号小松川線,c,2013-12-24,2013-12-25,2,4,23,25.8,66,64
143,江東区枝川2-1,35.659821,139.805649,JGD2011,高速9号深川線,c,2013-05-28,2013-05-29,2,4,28,27,71,69
149,江東区亀戸6-33,35.693974,139.829132,JGD2011,高速7号小松川線,C,2013-12-03,2013-12-04,2,4,4.7,1.2,64,62
189,大田区羽田4-18,35.549213,139.744705,JGD2011,高速神奈川1号横羽線,C,2013-10-21,2013-10-22,2,4,4.6,2.5,66,63
262,豊島区池袋1-13,35.737099,139.713638,JGD2011,高速5号池袋線,c,2013-12-11,2013-12-13,2,4,7.4,22,74,74
350,足立区神明南1-11,35.788830,139.828140,JGD2011,高速6号線（三郷線）,B,2013-10-30,2013-10-31,2,4,25.6,1.2,67,65
351,足立区加賀2-20,35.792164,139.758179,JGD2011,高速川口線,C,2013-10-30,2013-10-31,2,4,6.6,1.2,71,68
352,足立区入谷7-19,35.799240,139.760376,JGD2011,高速川口線,C,2013-10-30,2013-10-31,2,6,6.6,1.2,72,69
359,葛飾区堀切2-4,35.742863,139.825012,JGD2011,高速中央環状線,b,2013-10-01,2013-10-08,2,4,17.2,19.7,64,63
