"一連番号
(国道)",測定地点住所,緯度,経度,座標系,道  路  名,環境基準類型,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離,地上からの高さ,昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
363,葛飾区金町1-19,35.764439,139.867157,JGD2011,国道6号(水戸街道),C,2013-12-02,2013-12-03,3,4,4.2,1.2,73,72
364,葛飾区東金町8-8,35.780422,139.884430,JGD2011,国道298号,A,2013-12-02,2013-12-03,3,4,23,1.2,62,59
384,八王子市片倉町2416先,35.640305,139.338898,JGD2011,国道16号(東京環状),b,2013-11-28,2013-11-29,3,2,1.8,1.2,71,70
385,八王子市中野山王1-8-7先,35.670620,139.331345,JGD2011,国道16号(東京環状),c,2013-11-26,2013-11-27,3,2,2.6,1.2,69,66
386,八王子市北野町549-5先,35.646130,139.353210,JGD2011,国道16号八王子バイパス,c,2013-11-26,2013-11-27,3,6,8.3,1.2,70,69
387,八王子市大谷町355-1先,35.677241,139.354245,JGD2011,国道16号八王子バイパス,b,2013-11-26,2013-11-27,3,6,0,1.2,72,71
388,八王子市明神町4-21-1先,35.660000,139.345459,JGD2011,国道20号(甲州街道),c,2013-11-26,2013-11-27,3,4,3.7,1.2,69,66
389,八王子市八日町6-2先,35.660316,139.329941,JGD2011,国道20号(甲州街道),c,2013-11-28,2013-11-29,3,4,5,1.2,69,67
390,八王子市並木町15-15先,35.651310,139.300201,JGD2011,国道20号(甲州街道),b,2013-11-28,2013-11-29,3,4,4.4,1.2,69,65
391,八王子市加住町1-170-2先,35.700542,139.316833,JGD2011,国道411号(滝山街道),a,2013-11-26,2013-11-27,3,2,1.5,1.2,69,63
408,八王子市左入町130-1先,35.681875,139.344343,JGD2011,国道16号,C,2013-12-02,2013-12-03,3,4,6,1.2,73,72
409,八王子市片倉町2416先,35.640305,139.338898,JGD2011,国道16号,B,2013-11-28,2013-11-29,3,2,2.4,1.2,71,70
410,八王子市八日町6-2先,35.660316,139.329941,JGD2011,国道16号,C,2013-11-28,2013-11-29,3,4,5,1.2,69,67
411,八王子市北野台3-43-8先,35.626202,139.348076,JGD2011,国道16号,A,2013-12-02,2013-12-03,3,4,24.3,1.2,52,50
412,八王子市並木町15-15先,35.651310,139.300201,JGD2011,国道20号,B,2013-11-28,2013-11-29,3,4,4.9,1.2,69,65
413,八王子市川口町72-1先,35.696079,139.267505,JGD2011,国道468号,B,2013-12-02,2013-12-03,3,4,14.9,1.2,49,47
414,八王子市戸吹町196先,35.709473,139.296097,JGD2011,国道411号,A,2013-12-02,2013-12-03,3,2,1.9,1.2,65,58
463,青梅市日向和田3-706,35.786888,139.230652,JGD2011,国道411号（青梅街道）,a,2013-10-08,2013-10-11,3,2,2,1.6,68,62
475,府中市美好町2-4,35.672638,139.466782,JGD2011,国道20号（甲州街道）,c,2013-10-17,2013-10-18,3,4,3,1.5,71,68
476,府中市寿町3-1,35.673138,139.474747,JGD2011,国道20号（甲州街道）,c,2013-10-21,2013-10-22,3,4,2.8,1.5,71,68
488,府中市白糸台1-37-5,35.669884,139.506317,JGD2011,国道20号,B,2013-12-05,2013-12-06,3,4,2.5,1.2,68,65
489,府中市美好町2-8-20,35.672425,139.465573,JGD2011,国道20号,C,2013-12-05,2013-12-06,3,4,2.4,1.2,70,67
494,昭島市緑町4-25-11,35.710136,139.341843,JGD2011,国道16号,b,2013-07-23,2013-07-26,3,5,5.2,1.2,72,70
495,昭島市田中町2-28-31,35.705593,139.349838,JGD2011,国道16号,b,2013-11-19,2013-11-22,3,5,8.5,1.2,70,70
503,昭島市拝島町4-7,35.702877,139.347549,JGD2011,国道16号,B,2013-10-08,2013-10-09,3,2,6.4,1.2,71,70
