一連番号,測定地点住所,緯度,経度,座標系,道　路　名,環境基準類型,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離,地上からの高さ,昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
609,武蔵村山市三ツ木3-23-11,35.760361,139.371445,JGD2011,都道新宿青梅線（旧青梅街道）,b,2013-10-30,2013-10-31,4,2,2.5,1.2,66,62
610,武蔵村山市中藤4-18-1,35.757717,139.403427,JGD2011,都道新宿青梅線（旧青梅街道）,b,2013-10-30,2013-10-31,4,2,2,1.2,65,59
611,武蔵村山市三ツ藤3-7-8,35.756331,139.371374,JGD2011,都道新宿青梅線（新青梅街道）,b,2013-10-30,2013-10-31,4,4,2.8,1.2,75,71
612,武蔵村山市学園3-24-1,35.748326,139.405331,JGD2011,都道新宿青梅線（新青梅街道）,b,2013-10-30,2013-10-31,4,4,2.8,1.2,75,72
613,武蔵村山市残堀5-8-1,35.749798,139.373489,JGD2011,都道162号三ツ木八王子線（残堀街道）,b,2013-10-30,2013-10-31,4,2,4,1.2,68,64
614,武蔵村山市榎3-113-6,35.749404,139.383198,JGD2011,都道59号線（八王子村山線）,b,2013-10-30,2013-10-31,4,2,3.9,1.2,69,67
615,武蔵村山市伊奈平2-19-1,35.740856,139.382156,JGD2011,都道59号線（八王子村山線）,c,2013-10-30,2013-10-31,4,2,3.9,1.2,67,65
616,武蔵村山市大南1-148,35.736668,139.395889,JGD2011,都道55号線（所沢武蔵村山線）,c,2013-10-30,2013-10-31,4,2,3.1,1.2,69,67
617,武蔵村山市榎1-2-8,35.745819,139.389862,JGD2011,市道第2号線（江戸街道）,c,2013-10-30,2013-10-31,6,2,4.1,1.2,65,57
618,武蔵村山市三ツ藤1-72,35.749630,139.382645,JGD2011,都道八王子武蔵村山線,B,2013-10-08,2013-10-09,4,2,5.6,1.2,68,66
