地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字名,地域名称,事業所数（事業所）,事業所数／法人（事業所）,事業所数／個人（事業所）,従業者数（人）,年間商品販売額（百万円）,売場面積（m2）,事業所数／従業者2人以下（事業所）,事業所数／従業者3～4人（事業所）,事業所数／従業者5～9人（事業所）,事業所数／従業者10～19人（事業所）,事業所数／従業者20～29人（事業所）,事業所数／従業者30～49人（事業所）,事業所数／従業者50～99人（事業所）,事業所数／従業者100人以上（事業所）
4,13115,1311500000,杉並区,,,杉並区,2468,1550,918,17698,315444,213552,1103,484,417,299,92,38,23,12
5,13115,1311501400,杉並区,杉並区阿佐谷北,,杉並区阿佐谷北,130,68,62,832,15312,8776,73,18,21,12,2,2,1,1
6,13115,1311501401,杉並区,杉並区阿佐谷北,1丁目,杉並区阿佐谷北1丁目,40,21,19,350,8520,3528,18,7,8,5,-,1,-,1
6,13115,1311501402,杉並区,杉並区阿佐谷北,2丁目,杉並区阿佐谷北2丁目,39,25,14,242,3766,2959,22,4,9,3,-,-,1,-
6,13115,1311501403,杉並区,杉並区阿佐谷北,3丁目,杉並区阿佐谷北3丁目,17,8,9,92,1420,1085,11,3,1,-,1,1,-,-
6,13115,1311501404,杉並区,杉並区阿佐谷北,4丁目,杉並区阿佐谷北4丁目,23,8,15,91,1039,811,15,3,1,4,-,-,-,-
6,13115,1311501405,杉並区,杉並区阿佐谷北,5丁目,杉並区阿佐谷北5丁目,4,1,3,31,237,161,2,1,-,-,1,-,-,-
6,13115,1311501406,杉並区,杉並区阿佐谷北,6丁目,杉並区阿佐谷北6丁目,7,5,2,26,330,232,5,-,2,-,-,-,-,-
5,13115,1311501300,杉並区,杉並区阿佐谷南,,杉並区阿佐谷南,200,158,42,1355,18025,13754,67,49,48,26,5,2,2,1
6,13115,1311501301,杉並区,杉並区阿佐谷南,1丁目,杉並区阿佐谷南1丁目,119,90,29,625,8750,8865,48,32,23,10,4,1,1,-
6,13115,1311501302,杉並区,杉並区阿佐谷南,2丁目,杉並区阿佐谷南2丁目,14,12,2,120,1756,1085,2,4,2,5,1,-,-,-
6,13115,1311501303,杉並区,杉並区阿佐谷南,3丁目,杉並区阿佐谷南3丁目,67,56,11,610,7519,3804,17,13,23,11,-,1,1,1
5,13115,1311501500,杉並区,杉並区天沼,,杉並区天沼,64,43,21,397,8523,4422,28,13,6,13,3,1,-,-
6,13115,1311501501,杉並区,杉並区天沼,1丁目,杉並区天沼1丁目,5,2,3,8,15,240,5,-,-,-,-,-,-,-
6,13115,1311501502,杉並区,杉並区天沼,2丁目,杉並区天沼2丁目,8,5,3,76,3152,305,3,1,-,3,-,1,-,-
6,13115,1311501503,杉並区,杉並区天沼,3丁目,杉並区天沼3丁目,51,36,15,313,5356,3877,20,12,6,10,3,-,-,-
5,13115,1311502700,杉並区,杉並区井草,,杉並区井草,39,29,10,320,10917,7215,12,5,8,10,3,1,-,-
6,13115,1311502701,杉並区,杉並区井草,1丁目,杉並区井草1丁目,11,7,4,96,2075,1074,5,2,1,1,1,1,-,-
