地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字名,地域名称,事業所数（事業所）,事業所数／法人（事業所）,事業所数／個人（事業所）,従業者数（人）,年間商品販売額（百万円）,売場面積（m2）,事業所数／従業者2人以下（事業所）,事業所数／従業者3～4人（事業所）,事業所数／従業者5～9人（事業所）,事業所数／従業者10～19人（事業所）,事業所数／従業者20～29人（事業所）,事業所数／従業者30～49人（事業所）,事業所数／従業者50～99人（事業所）,事業所数／従業者100人以上（事業所）
4,13106,1310600000,台東区,,,台東区,2647,1842,805,15793,403400,223911,1101,648,540,249,49,39,13,8
5,13106,1310600200,台東区,台東区秋葉原,,台東区秋葉原,3,3,-,32,1289,613,2,-,-,-,-,1,-,-
5,13106,1310602800,台東区,台東区浅草,,台東区浅草,528,357,171,2386,37029,27418,231,138,110,38,6,4,1,-
6,13106,1310602801,台東区,台東区浅草,1丁目,台東区浅草1丁目,263,220,43,1348,20192,16536,81,85,71,19,4,2,1,-
6,13106,1310602802,台東区,台東区浅草,2丁目,台東区浅草2丁目,144,74,70,511,5857,5138,77,31,28,8,-,-,-,-
6,13106,1310602803,台東区,台東区浅草,3丁目,台東区浅草3丁目,34,21,13,159,1215,1638,19,7,3,4,-,1,-,-
6,13106,1310602804,台東区,台東区浅草,4丁目,台東区浅草4丁目,22,12,10,106,2279,1823,13,3,3,2,1,-,-,-
6,13106,1310602805,台東区,台東区浅草,5丁目,台東区浅草5丁目,45,19,26,178,6193,1591,31,6,5,1,1,1,-,-
6,13106,1310602806,台東区,台東区浅草,6丁目,台東区浅草6丁目,18,11,7,71,X,X,9,6,-,3,-,-,-,-
6,13106,1310602807,台東区,台東区浅草,7丁目,台東区浅草7丁目,2,-,2,13,X,X,1,-,-,1,-,-,-,-
5,13106,1310601600,台東区,台東区浅草橋,,台東区浅草橋,121,86,35,611,19120,8259,56,26,20,16,2,1,-,-
6,13106,1310601601,台東区,台東区浅草橋,1丁目,台東区浅草橋1丁目,54,42,12,338,7867,5599,19,11,10,13,1,-,-,-
6,13106,1310601602,台東区,台東区浅草橋,2丁目,台東区浅草橋2丁目,29,21,8,122,7977,1514,15,6,5,3,-,-,-,-
