地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字名,地域名称,事業所数（事業所）,事業所数／法人（事業所）,事業所数／個人（事業所）,従業者数（人）,年間商品販売額（百万円）,事業所数／従業者2人以下（事業所）,事業所数／従業者3～4人（事業所）,事業所数／従業者5～9人（事業所）,事業所数／従業者10～19人（事業所）,事業所数／従業者20～29人（事業所）,事業所数／従業者30～49人（事業所）,事業所数／従業者50～99人（事業所）,事業所数／従業者100人以上（事業所）
6,13202,1320200903,立川市,立川市若葉町,3丁目,立川市若葉町3丁目,1,1,-,8,X,-,-,1,-,-,-,-,-
6,13202,1320200904,立川市,立川市若葉町,4丁目,立川市若葉町4丁目,3,3,-,6,654,1,2,-,-,-,-,-,-
5,13202,1320200200,立川市,立川市一番町,,立川市一番町,7,7,-,47,5919,1,2,2,2,-,-,-,-
6,13202,1320200201,立川市,立川市一番町,1丁目,立川市一番町1丁目,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13202,1320200202,立川市,立川市一番町,2丁目,立川市一番町2丁目,1,1,-,4,X,-,1,-,-,-,-,-,-
6,13202,1320200203,立川市,立川市一番町,3丁目,立川市一番町3丁目,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13202,1320200204,立川市,立川市一番町,4丁目,立川市一番町4丁目,4,4,-,24,4981,1,1,1,1,-,-,-,-
6,13202,1320200205,立川市,立川市一番町,5丁目,立川市一番町5丁目,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13202,1320200206,立川市,立川市一番町,6丁目,立川市一番町6丁目,2,2,-,19,X,-,-,1,1,-,-,-,-
5,13202,1320200100,立川市,立川市西砂町,,立川市西砂町,6,4,2,27,1014,2,2,1,1,-,-,-,-
6,13202,1320200101,立川市,立川市西砂町,1丁目,立川市西砂町1丁目,2,1,1,7,X,-,2,-,-,-,-,-,-
6,13202,1320200102,立川市,立川市西砂町,2丁目,立川市西砂町2丁目,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13202,1320200103,立川市,立川市西砂町,3丁目,立川市西砂町3丁目,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13202,1320200104,立川市,立川市西砂町,4丁目,立川市西砂町4丁目,1,1,-,6,X,-,-,1,-,-,-,-,-
6,13202,1320200105,立川市,立川市西砂町,5丁目,立川市西砂町5丁目,2,1,1,12,X,1,-,-,1,-,-,-,-
6,13202,1320200106,立川市,立川市西砂町,6丁目,立川市西砂町6丁目,1,1,-,2,X,1,-,-,-,-,-,-,-
6,13202,1320200107,立川市,立川市西砂町,7丁目,立川市西砂町7丁目,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,
平成26年商業統計調査報告（町丁目別集計）,,,,,,,,,,,,,,,,,,,
第1-1表　町丁目別　卸売業事業所数(法人・個人別）、従業者数、年間商品販売額及び従業者規模別事業所数,,,,,,,,,,,,,,,,,,,
地域階層（4:区市町村　5:町・大字　6:丁目・字）,,,,,,,,,,,,,,,,,,,
